,Modality,ID,Test Name,p_val
0,dMRI,sub-381543_ses-1,Homophily,5.50555775921429e-98
1,dMRI,sub-381543_ses-1,Homotopy,4.790908758339389e-07
2,dMRI,sub-205826_ses-1,Homophily,4.126076895041223e-87
3,dMRI,sub-205826_ses-1,Homotopy,2.1264005420816456e-08
4,dMRI,sub-206828_ses-1,Homophily,6.652131051027416e-124
5,dMRI,sub-206828_ses-1,Homotopy,6.960767841797902e-06
6,dMRI,sub-547046_ses-1,Homophily,1.3146596694499632e-149
7,dMRI,sub-547046_ses-1,Homotopy,1.1557005340655544e-08
8,dMRI,sub-459453_ses-1,Homophily,4.177632909644698e-110
9,dMRI,sub-459453_ses-1,Homotopy,1.9458234601065877e-06
10,dMRI,sub-604537_ses-1,Homophily,5.552021863055593e-122
11,dMRI,sub-604537_ses-1,Homotopy,5.830200798295917e-06
12,dMRI,sub-103414_ses-1,Homophily,1.4615199650671318e-85
13,dMRI,sub-103414_ses-1,Homotopy,9.23307753542591e-08
14,dMRI,sub-135528_ses-1,Homophily,2.276575170404286e-108
15,dMRI,sub-135528_ses-1,Homotopy,1.9966384857627026e-06
16,dMRI,sub-395756_ses-1,Homophily,1.3531343856795876e-92
17,dMRI,sub-395756_ses-1,Homotopy,5.18555656701185e-08
18,dMRI,sub-200513_ses-1,Homophily,7.144468021496976e-149
19,dMRI,sub-200513_ses-1,Homotopy,5.0487676562504476e-06
20,dMRI,sub-979984_ses-1,Homophily,1.0477562824582468e-141
21,dMRI,sub-979984_ses-1,Homotopy,4.5725124356824155e-05
22,dMRI,sub-971160_ses-1,Homophily,3.3255422498254337e-95
23,dMRI,sub-971160_ses-1,Homotopy,4.325956002115835e-07
24,dMRI,sub-108525_ses-1,Homophily,2.3615389995846815e-140
25,dMRI,sub-108525_ses-1,Homotopy,6.085909238120719e-06
26,dMRI,sub-102614_ses-1,Homophily,1.1203430012560413e-170
27,dMRI,sub-102614_ses-1,Homotopy,0.0002828708965159837
28,dMRI,sub-167440_ses-1,Homophily,1.2599834709045958e-92
29,dMRI,sub-167440_ses-1,Homotopy,1.3532823749704908e-06
30,dMRI,sub-112112_ses-1,Homophily,1.2013316147061336e-119
31,dMRI,sub-112112_ses-1,Homotopy,0.0017191363539351167
32,dMRI,sub-189450_ses-1,Homophily,4.251263425568051e-155
33,dMRI,sub-189450_ses-1,Homotopy,5.489613947509222e-05
34,dMRI,sub-566454_ses-1,Homophily,3.982941681246431e-96
35,dMRI,sub-566454_ses-1,Homotopy,2.677824178223591e-07
36,dMRI,sub-207123_ses-1,Homophily,2.9877719105768873e-178
37,dMRI,sub-207123_ses-1,Homotopy,0.0001318491328333199
38,dMRI,sub-432332_ses-1,Homophily,7.247873559575534e-140
39,dMRI,sub-432332_ses-1,Homotopy,3.2317654963536938e-06
40,dMRI,sub-548250_ses-1,Homophily,1.77385385847741e-85
41,dMRI,sub-548250_ses-1,Homotopy,6.743635410428699e-06
42,dMRI,sub-169747_ses-1,Homophily,3.08876013129868e-45
43,dMRI,sub-169747_ses-1,Homotopy,4.229024656951123e-09
44,dMRI,sub-330324_ses-1,Homophily,3.864751382773342e-140
45,dMRI,sub-330324_ses-1,Homotopy,1.4885772478332152e-05
46,dMRI,sub-153732_ses-1,Homophily,1.9659676600014428e-157
47,dMRI,sub-153732_ses-1,Homotopy,3.2050473958345734e-06
48,dMRI,sub-833249_ses-1,Homophily,9.920617803066227e-84
49,dMRI,sub-833249_ses-1,Homotopy,6.880494657531535e-08
50,dMRI,sub-198047_ses-1,Homophily,1.9550901599366355e-151
51,dMRI,sub-198047_ses-1,Homotopy,1.1211403955860355e-06
52,dMRI,sub-122418_ses-1,Homophily,1.8577291284956676e-107
53,dMRI,sub-122418_ses-1,Homotopy,1.3576348382536911e-06
54,dMRI,sub-145632_ses-1,Homophily,1.1179898726909257e-130
55,dMRI,sub-145632_ses-1,Homotopy,6.149284378944472e-06
56,dMRI,sub-227533_ses-1,Homophily,4.28036596219431e-186
57,dMRI,sub-227533_ses-1,Homotopy,0.00024325729474035274
58,dMRI,sub-123521_ses-1,Homophily,2.163774356310946e-126
59,dMRI,sub-123521_ses-1,Homotopy,5.830627588817997e-06
60,dMRI,sub-576255_ses-1,Homophily,9.871926435224704e-108
61,dMRI,sub-576255_ses-1,Homotopy,3.6170627695686434e-07
62,dMRI,sub-206525_ses-1,Homophily,8.478491407601544e-109
63,dMRI,sub-206525_ses-1,Homotopy,1.3144244215838736e-07
64,dMRI,sub-760551_ses-1,Homophily,5.781206661643085e-243
65,dMRI,sub-760551_ses-1,Homotopy,0.0649221198822412
66,dMRI,sub-654552_ses-1,Homophily,6.561804852527005e-89
67,dMRI,sub-654552_ses-1,Homotopy,1.279053321583073e-08
68,dMRI,sub-174841_ses-1,Homophily,2.736243872625474e-90
69,dMRI,sub-174841_ses-1,Homotopy,6.433024151058259e-06
70,dMRI,sub-206727_ses-1,Homophily,8.61874641699945e-137
71,dMRI,sub-206727_ses-1,Homotopy,0.00028539518267430404
72,dMRI,sub-131217_ses-1,Homophily,4.429384935376728e-136
73,dMRI,sub-131217_ses-1,Homotopy,1.5426802388358345e-06
74,dMRI,sub-207426_ses-1,Homophily,4.220053259539255e-107
75,dMRI,sub-207426_ses-1,Homotopy,0.0001692939312958279
76,dMRI,sub-562345_ses-1,Homophily,1.062521521903837e-112
77,dMRI,sub-562345_ses-1,Homotopy,3.4024733589938187e-07
78,dMRI,sub-185442_ses-1,Homophily,9.022157313680138e-102
79,dMRI,sub-185442_ses-1,Homotopy,3.079848611267778e-07
80,dMRI,sub-481042_ses-1,Homophily,8.546643512844829e-134
81,dMRI,sub-481042_ses-1,Homotopy,6.816204757729078e-06
82,dMRI,sub-299154_ses-1,Homophily,1.1517050739325397e-123
83,dMRI,sub-299154_ses-1,Homotopy,3.854084246029542e-05
84,dMRI,sub-837964_ses-1,Homophily,2.203947507194424e-119
85,dMRI,sub-837964_ses-1,Homotopy,2.606365841538866e-06
86,dMRI,sub-987074_ses-1,Homophily,6.553290919229625e-111
87,dMRI,sub-987074_ses-1,Homotopy,0.001316107992984243
88,dMRI,sub-782561_ses-1,Homophily,8.628338245274938e-99
89,dMRI,sub-782561_ses-1,Homotopy,1.7851026677044257e-07
90,dMRI,sub-486759_ses-1,Homophily,6.899197494130659e-158
91,dMRI,sub-486759_ses-1,Homotopy,0.000129204368485976
92,dMRI,sub-105216_ses-1,Homophily,1.7381612691828113e-98
93,dMRI,sub-105216_ses-1,Homotopy,1.7585180536474622e-06
94,dMRI,sub-117324_ses-1,Homophily,9.706386267604005e-118
95,dMRI,sub-117324_ses-1,Homotopy,1.4573941154075634e-06
96,dMRI,sub-749058_ses-1,Homophily,4.124768016449063e-83
97,dMRI,sub-749058_ses-1,Homotopy,3.875245197439939e-07
98,dMRI,sub-114217_ses-1,Homophily,3.891019075734692e-121
99,dMRI,sub-114217_ses-1,Homotopy,0.0004234748471107179
100,dMRI,sub-112516_ses-1,Homophily,8.807131565760935e-105
101,dMRI,sub-112516_ses-1,Homotopy,0.0014053497964922178
102,dMRI,sub-280739_ses-1,Homophily,1.1973629042319276e-181
103,dMRI,sub-280739_ses-1,Homotopy,0.00116418686924554
104,dMRI,sub-146735_ses-1,Homophily,5.343906614734874e-106
105,dMRI,sub-146735_ses-1,Homotopy,1.0043232960171062e-07
106,dMRI,sub-177746_ses-1,Homophily,6.437496366465909e-145
107,dMRI,sub-177746_ses-1,Homotopy,0.0003645516697557991
108,dMRI,sub-395251_ses-1,Homophily,2.991563971137633e-129
109,dMRI,sub-395251_ses-1,Homotopy,2.8941339455752325e-05
110,dMRI,sub-759869_ses-1,Homophily,2.166900236875716e-132
111,dMRI,sub-759869_ses-1,Homotopy,2.2264726496980475e-08
112,dMRI,sub-385046_ses-1,Homophily,7.15246651557018e-189
113,dMRI,sub-385046_ses-1,Homotopy,0.0009215388343456264
114,dMRI,sub-208630_ses-1,Homophily,7.098520937138513e-115
115,dMRI,sub-208630_ses-1,Homotopy,1.6832246452042365e-05
