,Test,Effect_Size,n,Weighting,Simulation,power,power_stderr
159,PT,0.667,38,Unweighted,SBM,1.0,0.0
160,WT,0.667,38,Unweighted,SBM,1.0,0.0
161,rLRT,0.667,38,Unweighted,SBM,1.0,0.0
162,FET,0.778,38,Unweighted,SBM,1.0,0.0
163,LRT,0.778,38,Unweighted,SBM,1.0,0.0
164,MWW,0.778,38,Unweighted,SBM,1.0,0.0
165,PT,0.778,38,Unweighted,SBM,1.0,0.0
166,WT,0.778,38,Unweighted,SBM,1.0,0.0
167,rLRT,0.778,38,Unweighted,SBM,1.0,0.0
168,FET,0.889,38,Unweighted,SBM,1.0,0.0
169,LRT,0.889,38,Unweighted,SBM,1.0,0.0
170,MWW,0.889,38,Unweighted,SBM,1.0,0.0
171,PT,0.889,38,Unweighted,SBM,1.0,0.0
172,WT,0.889,38,Unweighted,SBM,1.0,0.0
173,rLRT,0.889,38,Unweighted,SBM,1.0,0.0
174,FET,1.0,38,Unweighted,SBM,1.0,0.0
175,LRT,1.0,38,Unweighted,SBM,1.0,0.0
176,MWW,1.0,38,Unweighted,SBM,1.0,0.0
177,PT,1.0,38,Unweighted,SBM,1.0,0.0
178,WT,1.0,38,Unweighted,SBM,1.0,0.0
179,rLRT,1.0,38,Unweighted,SBM,1.0,0.0
180,FET,0.0,47,Unweighted,SBM,0.04,0.0019595917942265423
181,LRT,0.0,47,Unweighted,SBM,0.04,0.0019595917942265423
182,MWW,0.0,47,Unweighted,SBM,0.04,0.0019595917942265423
183,PT,0.0,47,Unweighted,SBM,0.05,0.0021794494717703367
184,WT,0.0,47,Unweighted,SBM,0.04,0.0019595917942265423
185,rLRT,0.0,47,Unweighted,SBM,0.04,0.0019595917942265423
186,FET,0.111,47,Unweighted,SBM,0.16,0.003666060555964672
187,LRT,0.111,47,Unweighted,SBM,0.17,0.00375632799419859
188,MWW,0.111,47,Unweighted,SBM,0.17,0.00375632799419859
189,PT,0.111,47,Unweighted,SBM,0.15,0.003570714214271425
190,WT,0.111,47,Unweighted,SBM,0.17,0.00375632799419859
191,rLRT,0.111,47,Unweighted,SBM,0.17,0.00375632799419859
192,FET,0.222,47,Unweighted,SBM,0.49,0.004998999899979995
193,LRT,0.222,47,Unweighted,SBM,0.5,0.005
194,MWW,0.222,47,Unweighted,SBM,0.5,0.005
195,PT,0.222,47,Unweighted,SBM,0.5,0.005
196,WT,0.222,47,Unweighted,SBM,0.5,0.005
197,rLRT,0.222,47,Unweighted,SBM,0.5,0.005
198,FET,0.333,47,Unweighted,SBM,0.85,0.003570714214271425
199,LRT,0.333,47,Unweighted,SBM,0.85,0.003570714214271425
200,MWW,0.333,47,Unweighted,SBM,0.85,0.003570714214271425
201,PT,0.333,47,Unweighted,SBM,0.87,0.0033630343441600472
202,WT,0.333,47,Unweighted,SBM,0.85,0.003570714214271425
203,rLRT,0.333,47,Unweighted,SBM,0.85,0.003570714214271425
204,FET,0.444,47,Unweighted,SBM,0.99,0.00099498743710662
205,LRT,0.444,47,Unweighted,SBM,0.99,0.00099498743710662
206,MWW,0.444,47,Unweighted,SBM,0.99,0.00099498743710662
207,PT,0.444,47,Unweighted,SBM,0.98,0.0013999999999999998
208,WT,0.444,47,Unweighted,SBM,0.99,0.00099498743710662
209,rLRT,0.444,47,Unweighted,SBM,0.99,0.00099498743710662
210,FET,0.556,47,Unweighted,SBM,1.0,0.0
211,LRT,0.556,47,Unweighted,SBM,1.0,0.0
212,MWW,0.556,47,Unweighted,SBM,1.0,0.0
213,PT,0.556,47,Unweighted,SBM,1.0,0.0
214,WT,0.556,47,Unweighted,SBM,1.0,0.0
215,rLRT,0.556,47,Unweighted,SBM,1.0,0.0
216,FET,0.667,47,Unweighted,SBM,1.0,0.0
217,LRT,0.667,47,Unweighted,SBM,1.0,0.0
218,MWW,0.667,47,Unweighted,SBM,1.0,0.0
219,PT,0.667,47,Unweighted,SBM,1.0,0.0
220,WT,0.667,47,Unweighted,SBM,1.0,0.0
221,rLRT,0.667,47,Unweighted,SBM,1.0,0.0
222,FET,0.778,47,Unweighted,SBM,1.0,0.0
223,LRT,0.778,47,Unweighted,SBM,1.0,0.0
224,MWW,0.778,47,Unweighted,SBM,1.0,0.0
225,PT,0.778,47,Unweighted,SBM,1.0,0.0
226,WT,0.778,47,Unweighted,SBM,1.0,0.0
227,rLRT,0.778,47,Unweighted,SBM,1.0,0.0
228,FET,0.889,47,Unweighted,SBM,1.0,0.0
229,LRT,0.889,47,Unweighted,SBM,1.0,0.0
230,MWW,0.889,47,Unweighted,SBM,1.0,0.0
231,PT,0.889,47,Unweighted,SBM,1.0,0.0
232,WT,0.889,47,Unweighted,SBM,1.0,0.0
233,rLRT,0.889,47,Unweighted,SBM,1.0,0.0
234,FET,1.0,47,Unweighted,SBM,1.0,0.0
235,LRT,1.0,47,Unweighted,SBM,1.0,0.0
236,MWW,1.0,47,Unweighted,SBM,1.0,0.0
237,PT,1.0,47,Unweighted,SBM,1.0,0.0
238,WT,1.0,47,Unweighted,SBM,1.0,0.0
239,rLRT,1.0,47,Unweighted,SBM,1.0,0.0
240,FET,0.0,56,Unweighted,SBM,0.06,0.0023748684174075834
241,LRT,0.0,56,Unweighted,SBM,0.06,0.0023748684174075834
242,MWW,0.0,56,Unweighted,SBM,0.06,0.0023748684174075834
243,PT,0.0,56,Unweighted,SBM,0.06,0.0023748684174075834
244,WT,0.0,56,Unweighted,SBM,0.06,0.0023748684174075834
245,rLRT,0.0,56,Unweighted,SBM,0.06,0.0023748684174075834
246,FET,0.111,56,Unweighted,SBM,0.22,0.004142463035441597
247,LRT,0.111,56,Unweighted,SBM,0.23,0.004208325082500163
248,MWW,0.111,56,Unweighted,SBM,0.23,0.004208325082500163
249,PT,0.111,56,Unweighted,SBM,0.26,0.004386342439892262
250,WT,0.111,56,Unweighted,SBM,0.23,0.004208325082500163
251,rLRT,0.111,56,Unweighted,SBM,0.23,0.004208325082500163
252,FET,0.222,56,Unweighted,SBM,0.7,0.00458257569495584
253,LRT,0.222,56,Unweighted,SBM,0.72,0.004489988864128729
254,MWW,0.222,56,Unweighted,SBM,0.72,0.004489988864128729
255,PT,0.222,56,Unweighted,SBM,0.73,0.004439594576084623
256,WT,0.222,56,Unweighted,SBM,0.72,0.004489988864128729
257,rLRT,0.222,56,Unweighted,SBM,0.72,0.004489988864128729
258,FET,0.333,56,Unweighted,SBM,0.93,0.0025514701644346145
259,LRT,0.333,56,Unweighted,SBM,0.94,0.0023748684174075834
260,MWW,0.333,56,Unweighted,SBM,0.94,0.0023748684174075834
261,PT,0.333,56,Unweighted,SBM,0.95,0.0021794494717703376
262,WT,0.333,56,Unweighted,SBM,0.94,0.0023748684174075834
263,rLRT,0.333,56,Unweighted,SBM,0.94,0.0023748684174075834
264,FET,0.444,56,Unweighted,SBM,1.0,0.0
265,LRT,0.444,56,Unweighted,SBM,1.0,0.0
266,MWW,0.444,56,Unweighted,SBM,1.0,0.0
267,PT,0.444,56,Unweighted,SBM,1.0,0.0
268,WT,0.444,56,Unweighted,SBM,1.0,0.0
269,rLRT,0.444,56,Unweighted,SBM,1.0,0.0
270,FET,0.556,56,Unweighted,SBM,1.0,0.0
271,LRT,0.556,56,Unweighted,SBM,1.0,0.0
272,MWW,0.556,56,Unweighted,SBM,1.0,0.0
273,PT,0.556,56,Unweighted,SBM,1.0,0.0
274,WT,0.556,56,Unweighted,SBM,1.0,0.0
275,rLRT,0.556,56,Unweighted,SBM,1.0,0.0
276,FET,0.667,56,Unweighted,SBM,1.0,0.0
277,LRT,0.667,56,Unweighted,SBM,1.0,0.0
278,MWW,0.667,56,Unweighted,SBM,1.0,0.0
279,PT,0.667,56,Unweighted,SBM,1.0,0.0
280,WT,0.667,56,Unweighted,SBM,1.0,0.0
281,rLRT,0.667,56,Unweighted,SBM,1.0,0.0
282,FET,0.778,56,Unweighted,SBM,1.0,0.0
283,LRT,0.778,56,Unweighted,SBM,1.0,0.0
284,MWW,0.778,56,Unweighted,SBM,1.0,0.0
285,PT,0.778,56,Unweighted,SBM,1.0,0.0
286,WT,0.778,56,Unweighted,SBM,1.0,0.0
287,rLRT,0.778,56,Unweighted,SBM,1.0,0.0
288,FET,0.889,56,Unweighted,SBM,1.0,0.0
289,LRT,0.889,56,Unweighted,SBM,1.0,0.0
290,MWW,0.889,56,Unweighted,SBM,1.0,0.0
291,PT,0.889,56,Unweighted,SBM,1.0,0.0
292,WT,0.889,56,Unweighted,SBM,1.0,0.0
293,rLRT,0.889,56,Unweighted,SBM,1.0,0.0
294,FET,1.0,56,Unweighted,SBM,1.0,0.0
295,LRT,1.0,56,Unweighted,SBM,1.0,0.0
296,MWW,1.0,56,Unweighted,SBM,1.0,0.0
297,PT,1.0,56,Unweighted,SBM,1.0,0.0
298,WT,1.0,56,Unweighted,SBM,1.0,0.0
299,rLRT,1.0,56,Unweighted,SBM,1.0,0.0
300,FET,0.0,64,Unweighted,SBM,0.03,0.0017058722109231984
301,LRT,0.0,64,Unweighted,SBM,0.03,0.0017058722109231984
302,MWW,0.0,64,Unweighted,SBM,0.03,0.0017058722109231984
303,PT,0.0,64,Unweighted,SBM,0.03,0.0017058722109231984
304,WT,0.0,64,Unweighted,SBM,0.03,0.0017058722109231984
305,rLRT,0.0,64,Unweighted,SBM,0.03,0.0017058722109231984
306,FET,0.111,64,Unweighted,SBM,0.31,0.00462493243193887
307,LRT,0.111,64,Unweighted,SBM,0.33,0.004702127178203498
308,MWW,0.111,64,Unweighted,SBM,0.33,0.004702127178203498
309,PT,0.111,64,Unweighted,SBM,0.31,0.00462493243193887
310,WT,0.111,64,Unweighted,SBM,0.33,0.004702127178203498
311,rLRT,0.111,64,Unweighted,SBM,0.33,0.004702127178203498
312,FET,0.222,64,Unweighted,SBM,0.81,0.003923009049186606
313,LRT,0.222,64,Unweighted,SBM,0.81,0.003923009049186606
314,MWW,0.222,64,Unweighted,SBM,0.81,0.003923009049186606
315,PT,0.222,64,Unweighted,SBM,0.81,0.003923009049186606
316,WT,0.222,64,Unweighted,SBM,0.81,0.003923009049186606
317,rLRT,0.222,64,Unweighted,SBM,0.81,0.003923009049186606
318,FET,0.333,64,Unweighted,SBM,1.0,0.0
319,LRT,0.333,64,Unweighted,SBM,1.0,0.0
320,MWW,0.333,64,Unweighted,SBM,1.0,0.0
321,PT,0.333,64,Unweighted,SBM,0.99,0.00099498743710662
322,WT,0.333,64,Unweighted,SBM,1.0,0.0
323,rLRT,0.333,64,Unweighted,SBM,1.0,0.0
324,FET,0.444,64,Unweighted,SBM,1.0,0.0
325,LRT,0.444,64,Unweighted,SBM,1.0,0.0
326,MWW,0.444,64,Unweighted,SBM,1.0,0.0
327,PT,0.444,64,Unweighted,SBM,1.0,0.0
328,WT,0.444,64,Unweighted,SBM,1.0,0.0
329,rLRT,0.444,64,Unweighted,SBM,1.0,0.0
330,FET,0.556,64,Unweighted,SBM,1.0,0.0
331,LRT,0.556,64,Unweighted,SBM,1.0,0.0
332,MWW,0.556,64,Unweighted,SBM,1.0,0.0
333,PT,0.556,64,Unweighted,SBM,1.0,0.0
334,WT,0.556,64,Unweighted,SBM,1.0,0.0
335,rLRT,0.556,64,Unweighted,SBM,1.0,0.0
336,FET,0.667,64,Unweighted,SBM,1.0,0.0
337,LRT,0.667,64,Unweighted,SBM,1.0,0.0
338,MWW,0.667,64,Unweighted,SBM,1.0,0.0
339,PT,0.667,64,Unweighted,SBM,1.0,0.0
340,WT,0.667,64,Unweighted,SBM,1.0,0.0
341,rLRT,0.667,64,Unweighted,SBM,1.0,0.0
342,FET,0.778,64,Unweighted,SBM,1.0,0.0
343,LRT,0.778,64,Unweighted,SBM,1.0,0.0
344,MWW,0.778,64,Unweighted,SBM,1.0,0.0
345,PT,0.778,64,Unweighted,SBM,1.0,0.0
346,WT,0.778,64,Unweighted,SBM,1.0,0.0
347,rLRT,0.778,64,Unweighted,SBM,1.0,0.0
348,FET,0.889,64,Unweighted,SBM,1.0,0.0
349,LRT,0.889,64,Unweighted,SBM,1.0,0.0
350,MWW,0.889,64,Unweighted,SBM,1.0,0.0
351,PT,0.889,64,Unweighted,SBM,1.0,0.0
352,WT,0.889,64,Unweighted,SBM,1.0,0.0
353,rLRT,0.889,64,Unweighted,SBM,1.0,0.0
354,FET,1.0,64,Unweighted,SBM,1.0,0.0
355,LRT,1.0,64,Unweighted,SBM,1.0,0.0
356,MWW,1.0,64,Unweighted,SBM,1.0,0.0
357,PT,1.0,64,Unweighted,SBM,1.0,0.0
358,WT,1.0,64,Unweighted,SBM,1.0,0.0
359,rLRT,1.0,64,Unweighted,SBM,1.0,0.0
360,FET,0.0,73,Unweighted,SBM,0.08,0.002712931993250107
361,LRT,0.0,73,Unweighted,SBM,0.08,0.002712931993250107
362,MWW,0.0,73,Unweighted,SBM,0.08,0.002712931993250107
363,PT,0.0,73,Unweighted,SBM,0.09,0.0028618176042508377
364,WT,0.0,73,Unweighted,SBM,0.08,0.002712931993250107
365,rLRT,0.0,73,Unweighted,SBM,0.08,0.002712931993250107
366,FET,0.111,73,Unweighted,SBM,0.38,0.004853864439804639
367,LRT,0.111,73,Unweighted,SBM,0.38,0.004853864439804639
368,MWW,0.111,73,Unweighted,SBM,0.38,0.004853864439804639
369,PT,0.111,73,Unweighted,SBM,0.39,0.0048774993593028795
370,WT,0.111,73,Unweighted,SBM,0.38,0.004853864439804639
371,rLRT,0.111,73,Unweighted,SBM,0.39,0.0048774993593028795
372,FET,0.222,73,Unweighted,SBM,0.87,0.0033630343441600472
373,LRT,0.222,73,Unweighted,SBM,0.87,0.0033630343441600472
374,MWW,0.222,73,Unweighted,SBM,0.87,0.0033630343441600472
375,PT,0.222,73,Unweighted,SBM,0.9,0.003
376,WT,0.222,73,Unweighted,SBM,0.87,0.0033630343441600472
377,rLRT,0.222,73,Unweighted,SBM,0.88,0.0032496153618543837
378,FET,0.333,73,Unweighted,SBM,0.99,0.00099498743710662
379,LRT,0.333,73,Unweighted,SBM,0.99,0.00099498743710662
380,MWW,0.333,73,Unweighted,SBM,0.99,0.00099498743710662
381,PT,0.333,73,Unweighted,SBM,0.99,0.00099498743710662
382,WT,0.333,73,Unweighted,SBM,0.99,0.00099498743710662
383,rLRT,0.333,73,Unweighted,SBM,0.99,0.00099498743710662
384,FET,0.444,73,Unweighted,SBM,1.0,0.0
385,LRT,0.444,73,Unweighted,SBM,1.0,0.0
386,MWW,0.444,73,Unweighted,SBM,1.0,0.0
387,PT,0.444,73,Unweighted,SBM,1.0,0.0
388,WT,0.444,73,Unweighted,SBM,1.0,0.0
389,rLRT,0.444,73,Unweighted,SBM,1.0,0.0
390,FET,0.556,73,Unweighted,SBM,1.0,0.0
391,LRT,0.556,73,Unweighted,SBM,1.0,0.0
392,MWW,0.556,73,Unweighted,SBM,1.0,0.0
393,PT,0.556,73,Unweighted,SBM,1.0,0.0
394,WT,0.556,73,Unweighted,SBM,1.0,0.0
395,rLRT,0.556,73,Unweighted,SBM,1.0,0.0
396,FET,0.667,73,Unweighted,SBM,1.0,0.0
397,LRT,0.667,73,Unweighted,SBM,1.0,0.0
398,MWW,0.667,73,Unweighted,SBM,1.0,0.0
399,PT,0.667,73,Unweighted,SBM,1.0,0.0
400,WT,0.667,73,Unweighted,SBM,1.0,0.0
401,rLRT,0.667,73,Unweighted,SBM,1.0,0.0
402,FET,0.778,73,Unweighted,SBM,1.0,0.0
403,LRT,0.778,73,Unweighted,SBM,1.0,0.0
404,MWW,0.778,73,Unweighted,SBM,1.0,0.0
405,PT,0.778,73,Unweighted,SBM,1.0,0.0
406,WT,0.778,73,Unweighted,SBM,1.0,0.0
407,rLRT,0.778,73,Unweighted,SBM,1.0,0.0
408,FET,0.889,73,Unweighted,SBM,1.0,0.0
409,LRT,0.889,73,Unweighted,SBM,1.0,0.0
410,MWW,0.889,73,Unweighted,SBM,1.0,0.0
411,PT,0.889,73,Unweighted,SBM,1.0,0.0
412,WT,0.889,73,Unweighted,SBM,1.0,0.0
413,rLRT,0.889,73,Unweighted,SBM,1.0,0.0
414,FET,1.0,73,Unweighted,SBM,1.0,0.0
415,LRT,1.0,73,Unweighted,SBM,1.0,0.0
416,MWW,1.0,73,Unweighted,SBM,1.0,0.0
417,PT,1.0,73,Unweighted,SBM,1.0,0.0
418,WT,1.0,73,Unweighted,SBM,1.0,0.0
419,rLRT,1.0,73,Unweighted,SBM,1.0,0.0
420,FET,0.0,82,Unweighted,SBM,0.03,0.0017058722109231984
421,LRT,0.0,82,Unweighted,SBM,0.03,0.0017058722109231984
422,MWW,0.0,82,Unweighted,SBM,0.03,0.0017058722109231984
423,PT,0.0,82,Unweighted,SBM,0.03,0.0017058722109231984
424,WT,0.0,82,Unweighted,SBM,0.03,0.0017058722109231984
425,rLRT,0.0,82,Unweighted,SBM,0.03,0.0017058722109231984
426,FET,0.111,82,Unweighted,SBM,0.44,0.004963869458396343
