,Test,Effect_Size,n,Weighting,Simulation,power,power_stderr
0,FET,0.0,20,Unweighted,SBM,0.07,0.0025514701644346145
1,LRT,0.0,20,Unweighted,SBM,0.1,0.003
2,MWW,0.0,20,Unweighted,SBM,0.1,0.003
3,PT,0.0,20,Unweighted,SBM,0.09,0.002861817604250837
4,WT,0.0,20,Unweighted,SBM,0.1,0.003
5,rLRT,0.0,20,Unweighted,SBM,0.1,0.003
6,FET,0.111,20,Unweighted,SBM,0.05,0.0021794494717703367
7,LRT,0.111,20,Unweighted,SBM,0.06,0.0023748684174075834
8,MWW,0.111,20,Unweighted,SBM,0.06,0.0023748684174075834
9,PT,0.111,20,Unweighted,SBM,0.08,0.002712931993250107
10,WT,0.111,20,Unweighted,SBM,0.06,0.0023748684174075834
11,rLRT,0.111,20,Unweighted,SBM,0.06,0.0023748684174075834
12,FET,0.222,20,Unweighted,SBM,0.11,0.0031288975694324034
13,LRT,0.222,20,Unweighted,SBM,0.14,0.0034698703145794947
14,MWW,0.222,20,Unweighted,SBM,0.14,0.0034698703145794947
15,PT,0.222,20,Unweighted,SBM,0.17,0.00375632799419859
16,WT,0.222,20,Unweighted,SBM,0.14,0.0034698703145794947
17,rLRT,0.222,20,Unweighted,SBM,0.14,0.0034698703145794947
18,FET,0.333,20,Unweighted,SBM,0.24,0.004270831300812525
19,LRT,0.333,20,Unweighted,SBM,0.26,0.004386342439892262
20,MWW,0.333,20,Unweighted,SBM,0.26,0.004386342439892262
21,PT,0.333,20,Unweighted,SBM,0.29,0.004537620521815371
22,WT,0.333,20,Unweighted,SBM,0.26,0.004386342439892262
23,rLRT,0.333,20,Unweighted,SBM,0.26,0.004386342439892262
24,FET,0.444,20,Unweighted,SBM,0.44,0.0049638694583963435
25,LRT,0.444,20,Unweighted,SBM,0.46,0.004983974317750844
26,MWW,0.444,20,Unweighted,SBM,0.46,0.004983974317750844
27,PT,0.444,20,Unweighted,SBM,0.49,0.0049989998999799955
28,WT,0.444,20,Unweighted,SBM,0.46,0.004983974317750844
29,rLRT,0.444,20,Unweighted,SBM,0.46,0.004983974317750844
30,FET,0.556,20,Unweighted,SBM,0.5,0.005
31,LRT,0.556,20,Unweighted,SBM,0.58,0.004935585071701228
32,MWW,0.556,20,Unweighted,SBM,0.58,0.004935585071701228
33,PT,0.556,20,Unweighted,SBM,0.6,0.004898979485566356
34,WT,0.556,20,Unweighted,SBM,0.58,0.004935585071701228
35,rLRT,0.556,20,Unweighted,SBM,0.58,0.004935585071701228
36,FET,0.667,20,Unweighted,SBM,0.74,0.004386342439892262
37,LRT,0.667,20,Unweighted,SBM,0.81,0.003923009049186606
38,MWW,0.667,20,Unweighted,SBM,0.81,0.003923009049186606
39,PT,0.667,20,Unweighted,SBM,0.79,0.00407308237088326
40,WT,0.667,20,Unweighted,SBM,0.81,0.003923009049186606
41,rLRT,0.667,20,Unweighted,SBM,0.81,0.003923009049186606
42,FET,0.778,20,Unweighted,SBM,0.85,0.0035707142142714253
43,LRT,0.778,20,Unweighted,SBM,0.89,0.0031288975694324034
44,MWW,0.778,20,Unweighted,SBM,0.89,0.0031288975694324034
45,PT,0.778,20,Unweighted,SBM,0.92,0.002712931993250107
46,WT,0.778,20,Unweighted,SBM,0.89,0.0031288975694324034
47,rLRT,0.778,20,Unweighted,SBM,0.89,0.0031288975694324034
48,FET,0.889,20,Unweighted,SBM,0.92,0.002712931993250107
49,LRT,0.889,20,Unweighted,SBM,0.94,0.0023748684174075834
50,MWW,0.889,20,Unweighted,SBM,0.94,0.0023748684174075834
51,PT,0.889,20,Unweighted,SBM,0.96,0.0019595917942265427
52,WT,0.889,20,Unweighted,SBM,0.94,0.0023748684174075834
53,rLRT,0.889,20,Unweighted,SBM,0.94,0.0023748684174075834
54,FET,1.0,20,Unweighted,SBM,0.93,0.0025514701644346145
55,LRT,1.0,20,Unweighted,SBM,0.95,0.0021794494717703367
56,MWW,1.0,20,Unweighted,SBM,0.95,0.0021794494717703367
57,PT,1.0,20,Unweighted,SBM,0.95,0.0021794494717703367
58,WT,1.0,20,Unweighted,SBM,0.95,0.0021794494717703367
59,rLRT,1.0,20,Unweighted,SBM,0.95,0.0021794494717703367
60,FET,0.0,29,Unweighted,SBM,0.04,0.0019595917942265427
61,LRT,0.0,29,Unweighted,SBM,0.06,0.0023748684174075834
62,MWW,0.0,29,Unweighted,SBM,0.06,0.0023748684174075834
63,PT,0.0,29,Unweighted,SBM,0.07,0.0025514701644346145
64,WT,0.0,29,Unweighted,SBM,0.06,0.0023748684174075834
65,rLRT,0.0,29,Unweighted,SBM,0.05,0.0021794494717703367
66,FET,0.111,29,Unweighted,SBM,0.09,0.0028618176042508377
67,LRT,0.111,29,Unweighted,SBM,0.09,0.0028618176042508377
68,MWW,0.111,29,Unweighted,SBM,0.09,0.0028618176042508377
69,PT,0.111,29,Unweighted,SBM,0.09,0.0028618176042508377
70,WT,0.111,29,Unweighted,SBM,0.09,0.0028618176042508377
71,rLRT,0.111,29,Unweighted,SBM,0.09,0.0028618176042508377
72,FET,0.222,29,Unweighted,SBM,0.24,0.004270831300812525
73,LRT,0.222,29,Unweighted,SBM,0.25,0.004330127018922193
74,MWW,0.222,29,Unweighted,SBM,0.25,0.004330127018922193
75,PT,0.222,29,Unweighted,SBM,0.28,0.004489988864128729
76,WT,0.222,29,Unweighted,SBM,0.25,0.004330127018922193
77,rLRT,0.222,29,Unweighted,SBM,0.25,0.004330127018922193
78,FET,0.333,29,Unweighted,SBM,0.46,0.004983974317750844
79,LRT,0.333,29,Unweighted,SBM,0.47,0.004990991885387112
80,MWW,0.333,29,Unweighted,SBM,0.47,0.004990991885387112
81,PT,0.333,29,Unweighted,SBM,0.46,0.004983974317750844
82,WT,0.333,29,Unweighted,SBM,0.47,0.004990991885387112
83,rLRT,0.333,29,Unweighted,SBM,0.47,0.004990991885387112
84,FET,0.444,29,Unweighted,SBM,0.75,0.004330127018922193
85,LRT,0.444,29,Unweighted,SBM,0.78,0.004142463035441596
86,MWW,0.444,29,Unweighted,SBM,0.78,0.004142463035441596
87,PT,0.444,29,Unweighted,SBM,0.76,0.004270831300812525
88,WT,0.444,29,Unweighted,SBM,0.78,0.004142463035441596
89,rLRT,0.444,29,Unweighted,SBM,0.77,0.004208325082500163
90,FET,0.556,29,Unweighted,SBM,0.87,0.0033630343441600472
91,LRT,0.556,29,Unweighted,SBM,0.91,0.002861817604250837
92,MWW,0.556,29,Unweighted,SBM,0.91,0.002861817604250837
93,PT,0.556,29,Unweighted,SBM,0.9,0.003
94,WT,0.556,29,Unweighted,SBM,0.91,0.002861817604250837
95,rLRT,0.556,29,Unweighted,SBM,0.9,0.003
96,FET,0.667,29,Unweighted,SBM,0.96,0.0019595917942265427
97,LRT,0.667,29,Unweighted,SBM,0.97,0.0017058722109231984
98,MWW,0.667,29,Unweighted,SBM,0.97,0.0017058722109231984
99,PT,0.667,29,Unweighted,SBM,0.97,0.0017058722109231984
100,WT,0.667,29,Unweighted,SBM,0.97,0.0017058722109231984
101,rLRT,0.667,29,Unweighted,SBM,0.97,0.0017058722109231984
102,FET,0.778,29,Unweighted,SBM,1.0,0.0
103,LRT,0.778,29,Unweighted,SBM,1.0,0.0
104,MWW,0.778,29,Unweighted,SBM,1.0,0.0
105,PT,0.778,29,Unweighted,SBM,1.0,0.0
106,WT,0.778,29,Unweighted,SBM,1.0,0.0
107,rLRT,0.778,29,Unweighted,SBM,1.0,0.0
108,FET,0.889,29,Unweighted,SBM,1.0,0.0
109,LRT,0.889,29,Unweighted,SBM,1.0,0.0
110,MWW,0.889,29,Unweighted,SBM,1.0,0.0
111,PT,0.889,29,Unweighted,SBM,1.0,0.0
112,WT,0.889,29,Unweighted,SBM,1.0,0.0
113,rLRT,0.889,29,Unweighted,SBM,1.0,0.0
114,FET,1.0,29,Unweighted,SBM,1.0,0.0
115,LRT,1.0,29,Unweighted,SBM,1.0,0.0
116,MWW,1.0,29,Unweighted,SBM,1.0,0.0
117,PT,1.0,29,Unweighted,SBM,1.0,0.0
118,WT,1.0,29,Unweighted,SBM,1.0,0.0
119,rLRT,1.0,29,Unweighted,SBM,1.0,0.0
120,FET,0.0,38,Unweighted,SBM,0.04,0.001959591794226542
121,LRT,0.0,38,Unweighted,SBM,0.05,0.0021794494717703367
122,MWW,0.0,38,Unweighted,SBM,0.05,0.0021794494717703367
123,PT,0.0,38,Unweighted,SBM,0.05,0.0021794494717703367
124,WT,0.0,38,Unweighted,SBM,0.05,0.0021794494717703367
125,rLRT,0.0,38,Unweighted,SBM,0.05,0.0021794494717703367
126,FET,0.111,38,Unweighted,SBM,0.16,0.003666060555964672
127,LRT,0.111,38,Unweighted,SBM,0.16,0.003666060555964672
128,MWW,0.111,38,Unweighted,SBM,0.16,0.003666060555964672
129,PT,0.111,38,Unweighted,SBM,0.17,0.00375632799419859
130,WT,0.111,38,Unweighted,SBM,0.16,0.003666060555964672
131,rLRT,0.111,38,Unweighted,SBM,0.16,0.003666060555964672
132,FET,0.222,38,Unweighted,SBM,0.38,0.004853864439804639
133,LRT,0.222,38,Unweighted,SBM,0.39,0.0048774993593028795
134,MWW,0.222,38,Unweighted,SBM,0.39,0.0048774993593028795
135,PT,0.222,38,Unweighted,SBM,0.41,0.004918333050943175
136,WT,0.222,38,Unweighted,SBM,0.39,0.0048774993593028795
137,rLRT,0.222,38,Unweighted,SBM,0.39,0.0048774993593028795
138,FET,0.333,38,Unweighted,SBM,0.69,0.004624932431938871
139,LRT,0.333,38,Unweighted,SBM,0.7,0.00458257569495584
140,MWW,0.333,38,Unweighted,SBM,0.7,0.00458257569495584
141,PT,0.333,38,Unweighted,SBM,0.72,0.00448998886412873
142,WT,0.333,38,Unweighted,SBM,0.7,0.00458257569495584
143,rLRT,0.333,38,Unweighted,SBM,0.7,0.00458257569495584
144,FET,0.444,38,Unweighted,SBM,0.88,0.0032496153618543845
145,LRT,0.444,38,Unweighted,SBM,0.88,0.0032496153618543845
146,MWW,0.444,38,Unweighted,SBM,0.88,0.0032496153618543845
147,PT,0.444,38,Unweighted,SBM,0.88,0.0032496153618543845
148,WT,0.444,38,Unweighted,SBM,0.88,0.0032496153618543845
149,rLRT,0.444,38,Unweighted,SBM,0.88,0.0032496153618543845
150,FET,0.556,38,Unweighted,SBM,0.99,0.00099498743710662
151,LRT,0.556,38,Unweighted,SBM,0.99,0.00099498743710662
152,MWW,0.556,38,Unweighted,SBM,0.99,0.00099498743710662
153,PT,0.556,38,Unweighted,SBM,0.99,0.00099498743710662
154,WT,0.556,38,Unweighted,SBM,0.99,0.00099498743710662
155,rLRT,0.556,38,Unweighted,SBM,0.99,0.00099498743710662
156,FET,0.667,38,Unweighted,SBM,1.0,0.0
157,LRT,0.667,38,Unweighted,SBM,1.0,0.0
158,MWW,0.667,38,Unweighted,SBM,1.0,0.0
