,Test,Effect_Size,n,Weighting,Simulation,power,power_stderr
600,MWW,0.0,20,Weighted,SBM,0.04,0.0019595917942265423
601,PT,0.0,20,Weighted,SBM,0.01,0.00099498743710662
602,WT,0.0,20,Weighted,SBM,0.04,0.0019595917942265423
603,MWW,0.111,20,Weighted,SBM,0.08,0.002712931993250107
604,PT,0.111,20,Weighted,SBM,0.05,0.0021794494717703367
605,WT,0.111,20,Weighted,SBM,0.1,0.003
606,MWW,0.222,20,Weighted,SBM,0.16,0.0036660605559646715
607,PT,0.222,20,Weighted,SBM,0.11,0.0031288975694324034
608,WT,0.222,20,Weighted,SBM,0.17,0.00375632799419859
609,MWW,0.333,20,Weighted,SBM,0.35,0.004769696007084728
610,PT,0.333,20,Weighted,SBM,0.26,0.004386342439892262
611,WT,0.333,20,Weighted,SBM,0.32,0.004664761515876239
612,MWW,0.444,20,Weighted,SBM,0.35,0.004769696007084728
613,PT,0.444,20,Weighted,SBM,0.23,0.004208325082500163
614,WT,0.444,20,Weighted,SBM,0.37,0.004828043081829324
615,MWW,0.556,20,Weighted,SBM,0.61,0.0048774993593028795
616,PT,0.556,20,Weighted,SBM,0.47,0.004990991885387112
617,WT,0.556,20,Weighted,SBM,0.65,0.004769696007084728
618,MWW,0.667,20,Weighted,SBM,0.69,0.00462493243193887
619,PT,0.667,20,Weighted,SBM,0.58,0.004935585071701228
620,WT,0.667,20,Weighted,SBM,0.73,0.0044395945760846225
621,MWW,0.778,20,Weighted,SBM,0.84,0.0036660605559646724
622,PT,0.778,20,Weighted,SBM,0.69,0.004624932431938871
623,WT,0.778,20,Weighted,SBM,0.83,0.00375632799419859
624,MWW,0.889,20,Weighted,SBM,0.9,0.003
625,PT,0.889,20,Weighted,SBM,0.86,0.0034698703145794947
626,WT,0.889,20,Weighted,SBM,0.94,0.0023748684174075834
627,MWW,1.0,20,Weighted,SBM,1.0,0.0
628,PT,1.0,20,Weighted,SBM,0.89,0.003128897569432403
629,WT,1.0,20,Weighted,SBM,1.0,0.0
630,MWW,0.0,29,Weighted,SBM,0.04,0.0019595917942265427
631,PT,0.0,29,Weighted,SBM,0.02,0.0013999999999999998
632,WT,0.0,29,Weighted,SBM,0.04,0.0019595917942265423
633,MWW,0.111,29,Weighted,SBM,0.08,0.002712931993250107
634,PT,0.111,29,Weighted,SBM,0.05,0.0021794494717703367
635,WT,0.111,29,Weighted,SBM,0.07,0.0025514701644346145
636,MWW,0.222,29,Weighted,SBM,0.23,0.004208325082500163
637,PT,0.222,29,Weighted,SBM,0.16,0.0036660605559646724
638,WT,0.222,29,Weighted,SBM,0.21,0.004073082370883261
639,MWW,0.333,29,Weighted,SBM,0.36,0.0048
640,PT,0.333,29,Weighted,SBM,0.29,0.004537620521815371
641,WT,0.333,29,Weighted,SBM,0.38,0.004853864439804639
642,MWW,0.444,29,Weighted,SBM,0.76,0.004270831300812525
643,PT,0.444,29,Weighted,SBM,0.53,0.004990991885387112
644,WT,0.444,29,Weighted,SBM,0.79,0.004073082370883261
645,MWW,0.556,29,Weighted,SBM,0.88,0.0032496153618543845
646,PT,0.556,29,Weighted,SBM,0.75,0.004330127018922193
647,WT,0.556,29,Weighted,SBM,0.89,0.003128897569432403
648,MWW,0.667,29,Weighted,SBM,0.99,0.00099498743710662
649,PT,0.667,29,Weighted,SBM,0.93,0.0025514701644346145
650,WT,0.667,29,Weighted,SBM,0.99,0.00099498743710662
651,MWW,0.778,29,Weighted,SBM,0.99,0.00099498743710662
652,PT,0.778,29,Weighted,SBM,0.97,0.0017058722109231984
653,WT,0.778,29,Weighted,SBM,0.99,0.00099498743710662
654,MWW,0.889,29,Weighted,SBM,1.0,0.0
655,PT,0.889,29,Weighted,SBM,0.99,0.00099498743710662
656,WT,0.889,29,Weighted,SBM,1.0,0.0
657,MWW,1.0,29,Weighted,SBM,1.0,0.0
658,PT,1.0,29,Weighted,SBM,1.0,0.0
659,WT,1.0,29,Weighted,SBM,1.0,0.0
660,MWW,0.0,38,Weighted,SBM,0.05,0.0021794494717703367
661,PT,0.0,38,Weighted,SBM,0.06,0.0023748684174075834
662,WT,0.0,38,Weighted,SBM,0.06,0.0023748684174075834
663,MWW,0.111,38,Weighted,SBM,0.06,0.0023748684174075834
664,PT,0.111,38,Weighted,SBM,0.09,0.002861817604250837
665,WT,0.111,38,Weighted,SBM,0.09,0.002861817604250837
666,MWW,0.222,38,Weighted,SBM,0.43,0.004950757517794625
667,PT,0.222,38,Weighted,SBM,0.29,0.004537620521815371
668,WT,0.222,38,Weighted,SBM,0.41,0.004918333050943175
669,MWW,0.333,38,Weighted,SBM,0.7,0.00458257569495584
670,PT,0.333,38,Weighted,SBM,0.59,0.004918333050943175
671,WT,0.333,38,Weighted,SBM,0.72,0.00448998886412873
672,MWW,0.444,38,Weighted,SBM,0.93,0.002551470164434615
673,PT,0.444,38,Weighted,SBM,0.85,0.0035707142142714253
674,WT,0.444,38,Weighted,SBM,0.93,0.002551470164434615
675,MWW,0.556,38,Weighted,SBM,0.99,0.00099498743710662
676,PT,0.556,38,Weighted,SBM,0.87,0.0033630343441600472
