delta,m,fraction_correct,all_correct
0.0,10.0,0.0502,0.0
0.010101010101010102,10.0,0.0514,0.0
0.020202020202020204,10.0,0.051199999999999996,0.0
0.030303030303030304,10.0,0.050199999999999995,0.0
0.04040404040404041,10.0,0.0574,0.0
0.05050505050505051,10.0,0.061,0.0
0.06060606060606061,10.0,0.06520000000000001,0.0
0.07070707070707072,10.0,0.0644,0.0
0.08080808080808081,10.0,0.0746,0.0
0.09090909090909091,10.0,0.0834,0.0
0.10101010101010102,10.0,0.081,0.0
0.11111111111111112,10.0,0.0874,0.0
0.12121212121212122,10.0,0.097,0.0
0.13131313131313133,10.0,0.11220000000000001,0.0
0.14141414141414144,10.0,0.12020000000000002,0.0
0.15151515151515152,10.0,0.12660000000000002,0.0
0.16161616161616163,10.0,0.13119999999999998,0.0
0.17171717171717174,10.0,0.15700000000000003,0.0
0.18181818181818182,10.0,0.15860000000000002,0.0
0.19191919191919193,10.0,0.1718,0.0
0.20202020202020204,10.0,0.18580000000000002,0.0
0.21212121212121213,10.0,0.18740000000000004,0.0
0.22222222222222224,10.0,0.2102,0.0
0.23232323232323235,10.0,0.2342,0.0
0.24242424242424243,10.0,0.24280000000000002,0.0
0.25252525252525254,10.0,0.252,0.0
0.26262626262626265,10.0,0.267,0.0
0.27272727272727276,10.0,0.298,0.0
0.2828282828282829,10.0,0.3058,0.0
0.29292929292929293,10.0,0.3282,0.0
0.30303030303030304,10.0,0.3552,0.0
0.31313131313131315,10.0,0.381,0.0
0.32323232323232326,10.0,0.37839999999999996,0.0
0.33333333333333337,10.0,0.4092,0.0
0.3434343434343435,10.0,0.42419999999999997,0.002
0.3535353535353536,10.0,0.462,0.0
0.36363636363636365,10.0,0.4714,0.0
0.37373737373737376,10.0,0.4866,0.002
0.38383838383838387,10.0,0.5142,0.004
0.393939393939394,10.0,0.533,0.002
0.4040404040404041,10.0,0.5455999999999999,0.002
0.4141414141414142,10.0,0.5804000000000001,0.004
0.42424242424242425,10.0,0.5868,0.014
0.43434343434343436,10.0,0.6152000000000001,0.008
0.4444444444444445,10.0,0.6134,0.01
0.4545454545454546,10.0,0.634,0.004
0.4646464646464647,10.0,0.6794,0.024
0.4747474747474748,10.0,0.6784000000000001,0.022
0.48484848484848486,10.0,0.7068,0.034
0.494949494949495,10.0,0.711,0.028
0.5050505050505051,10.0,0.7212000000000001,0.04
0.5151515151515152,10.0,0.7303999999999999,0.036
0.5252525252525253,10.0,0.7555999999999999,0.064
0.5353535353535354,10.0,0.7706000000000001,0.074
0.5454545454545455,10.0,0.7858,0.092
0.5555555555555556,10.0,0.794,0.096
0.5656565656565657,10.0,0.8152,0.122
0.5757575757575758,10.0,0.8244000000000001,0.128
0.5858585858585859,10.0,0.8334000000000001,0.162
0.595959595959596,10.0,0.8464,0.166
0.6060606060606061,10.0,0.8528000000000001,0.206
0.6161616161616162,10.0,0.8706000000000002,0.26
0.6262626262626263,10.0,0.8728,0.246
0.6363636363636365,10.0,0.8842000000000001,0.294
0.6464646464646465,10.0,0.8932,0.328
0.6565656565656566,10.0,0.9028000000000002,0.352
0.6666666666666667,10.0,0.9026000000000002,0.376
0.6767676767676768,10.0,0.9142,0.422
0.686868686868687,10.0,0.9192,0.45
0.696969696969697,10.0,0.929,0.48
0.7070707070707072,10.0,0.9326000000000001,0.508
0.7171717171717172,10.0,0.9398,0.546
0.7272727272727273,10.0,0.9386000000000001,0.536
0.7373737373737375,10.0,0.9484000000000001,0.6
0.7474747474747475,10.0,0.9548000000000001,0.622
0.7575757575757577,10.0,0.9586,0.65
0.7676767676767677,10.0,0.9596,0.662
0.7777777777777778,10.0,0.9576,0.656
0.787878787878788,10.0,0.966,0.708
0.797979797979798,10.0,0.9678,0.728
0.8080808080808082,10.0,0.9713999999999999,0.756
0.8181818181818182,10.0,0.9760000000000001,0.78
0.8282828282828284,10.0,0.9762000000000001,0.798
0.8383838383838385,10.0,0.976,0.788
0.8484848484848485,10.0,0.9812000000000001,0.826
0.8585858585858587,10.0,0.9832000000000001,0.852
0.8686868686868687,10.0,0.9806,0.82
0.8787878787878789,10.0,0.9846000000000001,0.866
0.888888888888889,10.0,0.9866000000000001,0.87
0.8989898989898991,10.0,0.9896000000000001,0.898
0.9090909090909092,10.0,0.9900000000000001,0.904
0.9191919191919192,10.0,0.989,0.896
0.9292929292929294,10.0,0.9916,0.916
0.9393939393939394,10.0,0.9926,0.928
0.9494949494949496,10.0,0.992,0.924
0.9595959595959597,10.0,0.9942000000000001,0.942
0.9696969696969697,10.0,0.9938,0.94
0.9797979797979799,10.0,0.9942000000000001,0.946
0.98989898989899,10.0,0.996,0.96
1.0,10.0,0.995,0.95
0.0,20.0,0.048799999999999996,0.0
0.010101010101010102,20.0,0.0434,0.0
0.020202020202020204,20.0,0.0486,0.0
0.030303030303030304,20.0,0.053200000000000004,0.0
0.04040404040404041,20.0,0.0562,0.0
