p,delta,m,power_1,power_2,power_3
0.5,0.33,40.0,1.0,0.06,0.04
0.5,0.34,40.0,1.0,0.06,0.07
0.5,0.35000000000000003,40.0,1.0,0.06,0.08
0.5,0.36,40.0,1.0,0.03,0.05
0.5,0.37,40.0,1.0,0.05,0.04
0.5,0.38,40.0,1.0,0.06,0.06
0.5,0.39,40.0,1.0,0.02,0.09
0.5,0.4,40.0,1.0,0.07,0.08
0.5,0.41000000000000003,40.0,1.0,0.05,0.03
0.5,0.42,40.0,1.0,0.05,0.04
0.5,0.43,40.0,1.0,0.07,0.07
0.5,0.44,40.0,1.0,0.08,0.06
0.5,0.45,40.0,1.0,0.01,0.06
0.5,0.46,40.0,1.0,0.04,0.02
0.5,0.47000000000000003,40.0,1.0,0.08,0.04
0.5,0.48,40.0,1.0,0.06,0.07
0.5,0.49,40.0,1.0,0.03,0.09
0.5,0.5,40.0,1.0,0.04,0.02
0.5,0.01,50.0,0.06,0.05,0.04
0.5,0.02,50.0,0.15,0.01,0.02
0.5,0.03,50.0,0.2,0.03,0.03
0.5,0.04,50.0,0.23,0.03,0.07
0.5,0.05,50.0,0.33,0.08,0.01
0.5,0.06,50.0,0.48,0.01,0.07
0.5,0.07,50.0,0.56,0.04,0.06
0.5,0.08,50.0,0.72,0.03,0.04
0.5,0.09,50.0,0.85,0.06,0.09
0.5,0.1,50.0,0.85,0.06,0.04
0.5,0.11,50.0,0.89,0.02,0.07
0.5,0.12,50.0,0.96,0.04,0.05
0.5,0.13,50.0,0.98,0.09,0.06
0.5,0.14,50.0,1.0,0.04,0.07
0.5,0.15,50.0,1.0,0.05,0.04
0.5,0.16,50.0,1.0,0.05,0.04
0.5,0.17,50.0,1.0,0.05,0.04
0.5,0.18,50.0,1.0,0.06,0.04
0.5,0.19,50.0,1.0,0.06,0.05
0.5,0.2,50.0,1.0,0.06,0.02
0.5,0.21,50.0,1.0,0.05,0.06
0.5,0.22,50.0,1.0,0.06,0.02
0.5,0.23,50.0,1.0,0.03,0.04
0.5,0.24,50.0,1.0,0.06,0.06
0.5,0.25,50.0,1.0,0.05,0.07
0.5,0.26,50.0,1.0,0.04,0.02
0.5,0.27,50.0,1.0,0.03,0.03
0.5,0.28,50.0,1.0,0.05,0.05
0.5,0.29,50.0,1.0,0.02,0.04
0.5,0.3,50.0,1.0,0.07,0.04
0.5,0.31,50.0,1.0,0.04,0.06
0.5,0.32,50.0,1.0,0.06,0.08
0.5,0.33,50.0,1.0,0.02,0.03
0.5,0.34,50.0,1.0,0.05,0.02
0.5,0.35000000000000003,50.0,1.0,0.05,0.08
0.5,0.36,50.0,1.0,0.02,0.07
0.5,0.37,50.0,1.0,0.05,0.08
0.5,0.38,50.0,1.0,0.1,0.07
0.5,0.39,50.0,1.0,0.03,0.08
0.5,0.4,50.0,1.0,0.03,0.05
0.5,0.41000000000000003,50.0,1.0,0.05,0.06
0.5,0.42,50.0,1.0,0.07,0.07
0.5,0.43,50.0,1.0,0.07,0.02
0.5,0.44,50.0,1.0,0.05,0.05
0.5,0.45,50.0,1.0,0.02,0.07
0.5,0.46,50.0,1.0,0.06,0.06
0.5,0.47000000000000003,50.0,1.0,0.05,0.04
0.5,0.48,50.0,1.0,0.03,0.06
0.5,0.49,50.0,1.0,0.05,0.04
0.5,0.5,50.0,1.0,0.07,0.05
0.5,0.01,60.0,0.06,0.01,0.05
0.5,0.02,60.0,0.14,0.05,0.04
0.5,0.03,60.0,0.2,0.02,0.06
0.5,0.04,60.0,0.27,0.05,0.05
0.5,0.05,60.0,0.43,0.07,0.03
0.5,0.06,60.0,0.49,0.06,0.07
0.5,0.07,60.0,0.69,0.04,0.04
0.5,0.08,60.0,0.81,0.07,0.06
0.5,0.09,60.0,0.9,0.03,0.02
0.5,0.1,60.0,0.91,0.04,0.03
0.5,0.11,60.0,0.96,0.05,0.05
0.5,0.12,60.0,1.0,0.03,0.07
0.5,0.13,60.0,0.99,0.04,0.02
0.5,0.14,60.0,1.0,0.05,0.03
0.5,0.15,60.0,1.0,0.04,0.06
0.5,0.16,60.0,1.0,0.08,0.08
0.5,0.17,60.0,1.0,0.08,0.05
0.5,0.18,60.0,1.0,0.05,0.06
0.5,0.19,60.0,1.0,0.01,0.03
0.5,0.2,60.0,1.0,0.06,0.03
0.5,0.21,60.0,1.0,0.06,0.03
0.5,0.22,60.0,1.0,0.03,0.06
0.5,0.23,60.0,1.0,0.06,0.06
0.5,0.24,60.0,1.0,0.06,0.04
0.5,0.25,60.0,1.0,0.03,0.03
0.5,0.26,60.0,1.0,0.06,0.03
0.5,0.27,60.0,1.0,0.07,0.04
0.5,0.28,60.0,1.0,0.09,0.05
0.5,0.29,60.0,1.0,0.06,0.04
0.5,0.3,60.0,1.0,0.04,0.05
0.5,0.31,60.0,1.0,0.03,0.08
0.5,0.32,60.0,1.0,0.02,0.04
0.5,0.33,60.0,1.0,0.08,0.03
0.5,0.34,60.0,1.0,0.06,0.07
0.5,0.35000000000000003,60.0,1.0,0.02,0.06
0.5,0.36,60.0,1.0,0.06,0.05
0.5,0.37,60.0,1.0,0.06,0.05
0.5,0.38,60.0,1.0,0.02,0.11
0.5,0.39,60.0,1.0,0.06,0.06
0.5,0.4,60.0,1.0,0.03,0.0
0.5,0.41000000000000003,60.0,1.0,0.04,0.09
0.5,0.42,60.0,1.0,0.02,0.04
0.5,0.43,60.0,1.0,0.05,0.06
0.5,0.44,60.0,1.0,0.07,0.06
0.5,0.45,60.0,1.0,0.06,0.02
0.5,0.46,60.0,1.0,0.07,0.06
0.5,0.47000000000000003,60.0,1.0,0.04,0.06
0.5,0.48,60.0,1.0,0.06,0.06
0.5,0.49,60.0,1.0,0.06,0.04
0.5,0.5,60.0,1.0,0.02,0.05
0.5,0.01,70.0,0.1,0.07,0.04
0.5,0.02,70.0,0.14,0.04,0.07
0.5,0.03,70.0,0.21,0.02,0.04
0.5,0.04,70.0,0.3,0.07,0.06
0.5,0.05,70.0,0.53,0.07,0.05
0.5,0.06,70.0,0.6,0.02,0.01
0.5,0.07,70.0,0.77,0.01,0.05
0.5,0.08,70.0,0.83,0.06,0.03
0.5,0.09,70.0,0.95,0.05,0.04
0.5,0.1,70.0,0.96,0.02,0.06
0.5,0.11,70.0,0.99,0.05,0.06
0.5,0.12,70.0,1.0,0.04,0.06
0.5,0.13,70.0,1.0,0.04,0.02
0.5,0.14,70.0,1.0,0.04,0.09
0.5,0.15,70.0,1.0,0.05,0.09
0.5,0.16,70.0,1.0,0.1,0.04
0.5,0.17,70.0,1.0,0.09,0.06
0.5,0.18,70.0,1.0,0.04,0.07
0.5,0.19,70.0,1.0,0.06,0.02
0.5,0.2,70.0,1.0,0.06,0.06
0.5,0.21,70.0,1.0,0.03,0.04
0.5,0.22,70.0,1.0,0.05,0.08
0.5,0.23,70.0,1.0,0.07,0.07
0.5,0.24,70.0,1.0,0.07,0.01
0.5,0.25,70.0,1.0,0.06,0.06
0.5,0.26,70.0,1.0,0.06,0.03
0.5,0.27,70.0,1.0,0.04,0.07
0.5,0.28,70.0,1.0,0.05,0.03
0.5,0.29,70.0,1.0,0.07,0.04
0.5,0.3,70.0,1.0,0.06,0.04
0.5,0.31,70.0,1.0,0.1,0.02
0.5,0.32,70.0,1.0,0.02,0.07
0.5,0.33,70.0,1.0,0.05,0.1
0.5,0.34,70.0,1.0,0.07,0.05
0.5,0.35000000000000003,70.0,1.0,0.04,0.06
0.5,0.36,70.0,1.0,0.04,0.04
0.5,0.37,70.0,1.0,0.05,0.05
0.5,0.38,70.0,1.0,0.08,0.01
0.5,0.39,70.0,1.0,0.06,0.02
0.5,0.4,70.0,1.0,0.06,0.04
0.5,0.41000000000000003,70.0,1.0,0.09,0.04
0.5,0.42,70.0,1.0,0.06,0.03
0.5,0.43,70.0,1.0,0.03,0.06
0.5,0.44,70.0,1.0,0.09,0.06
0.5,0.45,70.0,1.0,0.07,0.04
0.5,0.46,70.0,1.0,0.05,0.06
0.5,0.47000000000000003,70.0,1.0,0.03,0.04
0.5,0.48,70.0,1.0,0.04,0.01
0.5,0.49,70.0,1.0,0.04,0.08
0.5,0.5,70.0,1.0,0.04,0.03
0.5,0.01,80.0,0.08,0.04,0.06
0.5,0.02,80.0,0.09,0.06,0.03
0.5,0.03,80.0,0.26,0.02,0.06
0.5,0.04,80.0,0.38,0.11,0.03
0.5,0.05,80.0,0.61,0.05,0.04
0.5,0.06,80.0,0.71,0.05,0.01
0.5,0.07,80.0,0.77,0.03,0.03
0.5,0.08,80.0,0.86,0.05,0.05
0.5,0.09,80.0,0.93,0.04,0.04
0.5,0.1,80.0,0.99,0.04,0.07
0.5,0.11,80.0,0.98,0.03,0.03
0.5,0.12,80.0,1.0,0.05,0.05
0.5,0.13,80.0,1.0,0.1,0.03
0.5,0.14,80.0,1.0,0.1,0.03
0.5,0.15,80.0,1.0,0.06,0.04
0.5,0.16,80.0,1.0,0.03,0.04
0.5,0.17,80.0,1.0,0.05,0.05
0.5,0.18,80.0,1.0,0.03,0.11
0.5,0.19,80.0,1.0,0.01,0.08
0.5,0.2,80.0,1.0,0.09,0.05
0.5,0.21,80.0,1.0,0.04,0.04
0.5,0.22,80.0,1.0,0.04,0.03
0.5,0.23,80.0,1.0,0.09,0.06
0.5,0.24,80.0,1.0,0.09,0.03
0.5,0.25,80.0,1.0,0.01,0.07
0.5,0.26,80.0,1.0,0.03,0.08
0.5,0.27,80.0,1.0,0.06,0.01
0.5,0.28,80.0,1.0,0.04,0.05
0.5,0.29,80.0,1.0,0.03,0.06
0.5,0.3,80.0,1.0,0.04,0.08
0.5,0.31,80.0,1.0,0.08,0.06
0.5,0.32,80.0,1.0,0.03,0.04
0.5,0.33,80.0,1.0,0.09,0.08
0.5,0.34,80.0,1.0,0.08,0.07
0.5,0.35000000000000003,80.0,1.0,0.05,0.04
0.5,0.36,80.0,1.0,0.04,0.03
0.5,0.37,80.0,1.0,0.06,0.04
0.5,0.38,80.0,1.0,0.04,0.05
0.5,0.39,80.0,1.0,0.02,0.08
0.5,0.4,80.0,1.0,0.06,0.05
0.5,0.41000000000000003,80.0,1.0,0.08,0.04
0.5,0.42,80.0,1.0,0.06,0.06
0.5,0.43,80.0,1.0,0.06,0.07
0.5,0.44,80.0,1.0,0.06,0.04
0.5,0.45,80.0,1.0,0.01,0.03
0.5,0.46,80.0,1.0,0.04,0.03
0.5,0.47000000000000003,80.0,1.0,0.07,0.03
0.5,0.48,80.0,1.0,0.03,0.04
0.5,0.49,80.0,1.0,0.05,0.05
0.5,0.5,80.0,1.0,0.04,0.08
0.5,0.01,90.0,0.08,0.05,0.04
0.5,0.02,90.0,0.14,0.08,0.06
0.5,0.03,90.0,0.23,0.06,0.09
0.5,0.04,90.0,0.37,0.02,0.04
0.5,0.05,90.0,0.54,0.05,0.09
0.5,0.06,90.0,0.77,0.05,0.04
0.5,0.07,90.0,0.85,0.02,0.05
0.5,0.08,90.0,0.9,0.05,0.12
0.5,0.09,90.0,0.97,0.04,0.06
0.5,0.1,90.0,0.99,0.04,0.05
0.5,0.11,90.0,1.0,0.06,0.04
0.5,0.12,90.0,1.0,0.08,0.03
0.5,0.13,90.0,1.0,0.08,0.06
0.5,0.14,90.0,1.0,0.06,0.05
0.5,0.15,90.0,1.0,0.04,0.06
0.5,0.16,90.0,1.0,0.02,0.04
0.5,0.17,90.0,1.0,0.04,0.06
0.5,0.18,90.0,1.0,0.08,0.04
0.5,0.19,90.0,1.0,0.08,0.05
0.5,0.2,90.0,1.0,0.06,0.06
0.5,0.21,90.0,1.0,0.07,0.01
0.5,0.22,90.0,1.0,0.02,0.03
0.5,0.23,90.0,1.0,0.03,0.07
0.5,0.24,90.0,1.0,0.05,0.06
0.5,0.25,90.0,1.0,0.04,0.05
0.5,0.26,90.0,1.0,0.03,0.1
0.5,0.27,90.0,1.0,0.06,0.05
0.5,0.28,90.0,1.0,0.03,0.04
0.5,0.29,90.0,1.0,0.03,0.06
0.5,0.3,90.0,1.0,0.04,0.03
0.5,0.31,90.0,1.0,0.04,0.03
0.5,0.32,90.0,1.0,0.06,0.06
0.5,0.33,90.0,1.0,0.04,0.04
0.5,0.34,90.0,1.0,0.05,0.07
0.5,0.35000000000000003,90.0,1.0,0.06,0.03
0.5,0.36,90.0,1.0,0.07,0.0
0.5,0.37,90.0,1.0,0.03,0.1
0.5,0.38,90.0,1.0,0.01,0.09
0.5,0.39,90.0,1.0,0.09,0.05
0.5,0.4,90.0,1.0,0.06,0.03
0.5,0.41000000000000003,90.0,1.0,0.03,0.06
0.5,0.42,90.0,1.0,0.04,0.06
0.5,0.43,90.0,1.0,0.07,0.03
0.5,0.44,90.0,1.0,0.03,0.06
0.5,0.45,90.0,1.0,0.02,0.0
0.5,0.46,90.0,1.0,0.07,0.06
0.5,0.47000000000000003,90.0,1.0,0.04,0.07
0.5,0.48,90.0,1.0,0.13,0.04
0.5,0.49,90.0,1.0,0.04,0.03
0.5,0.5,90.0,1.0,0.05,0.03
0.5,0.01,100.0,0.1,0.03,0.06
0.5,0.02,100.0,0.13,0.06,0.02
0.5,0.03,100.0,0.28,0.06,0.06
0.5,0.04,100.0,0.4,0.04,0.06
0.5,0.05,100.0,0.63,0.03,0.07
0.5,0.06,100.0,0.77,0.06,0.07
0.5,0.07,100.0,0.88,0.02,0.07
0.5,0.08,100.0,0.94,0.07,0.06
0.5,0.09,100.0,0.99,0.08,0.04
0.5,0.1,100.0,1.0,0.03,0.02
0.5,0.11,100.0,1.0,0.08,0.04
0.5,0.12,100.0,1.0,0.01,0.06
0.5,0.13,100.0,1.0,0.11,0.04
0.5,0.14,100.0,1.0,0.05,0.03
0.5,0.15,100.0,1.0,0.02,0.05
0.5,0.16,100.0,1.0,0.05,0.01
0.5,0.17,100.0,1.0,0.05,0.08
0.5,0.18,100.0,1.0,0.04,0.06
0.5,0.19,100.0,1.0,0.05,0.06
0.5,0.2,100.0,1.0,0.02,0.04
0.5,0.21,100.0,1.0,0.06,0.04
0.5,0.22,100.0,1.0,0.05,0.05
0.5,0.23,100.0,1.0,0.04,0.06
0.5,0.24,100.0,1.0,0.06,0.04
0.5,0.25,100.0,1.0,0.03,0.04
0.5,0.26,100.0,1.0,0.07,0.08
0.5,0.27,100.0,1.0,0.04,0.03
0.5,0.28,100.0,1.0,0.02,0.03
0.5,0.29,100.0,1.0,0.03,0.02
0.5,0.3,100.0,1.0,0.07,0.05
0.5,0.31,100.0,1.0,0.07,0.05
0.5,0.32,100.0,1.0,0.03,0.06
0.5,0.33,100.0,1.0,0.06,0.05
0.5,0.34,100.0,1.0,0.06,0.02
0.5,0.35000000000000003,100.0,1.0,0.06,0.02
0.5,0.36,100.0,1.0,0.04,0.02
0.5,0.37,100.0,1.0,0.04,0.01
0.5,0.38,100.0,1.0,0.04,0.03
0.5,0.39,100.0,1.0,0.06,0.04
0.5,0.4,100.0,1.0,0.06,0.02
0.5,0.41000000000000003,100.0,1.0,0.06,0.08
0.5,0.42,100.0,1.0,0.06,0.05
0.5,0.43,100.0,1.0,0.04,0.09
0.5,0.44,100.0,1.0,0.01,0.05
0.5,0.45,100.0,1.0,0.05,0.05
0.5,0.46,100.0,1.0,0.03,0.06
0.5,0.47000000000000003,100.0,1.0,0.08,0.07
0.5,0.48,100.0,1.0,0.04,0.06
0.5,0.49,100.0,1.0,0.04,0.01
0.5,0.5,100.0,1.0,0.01,0.09
0.5,0.01,110.0,0.07,0.03,0.09
0.5,0.02,110.0,0.17,0.02,0.06
0.5,0.03,110.0,0.32,0.05,0.05
0.5,0.04,110.0,0.45,0.03,0.08
0.5,0.05,110.0,0.76,0.06,0.03
0.5,0.06,110.0,0.81,0.08,0.06
0.5,0.07,110.0,0.88,0.03,0.08
0.5,0.08,110.0,0.99,0.07,0.07
0.5,0.09,110.0,0.99,0.04,0.06
0.5,0.1,110.0,1.0,0.05,0.04
0.5,0.11,110.0,1.0,0.02,0.02
0.5,0.12,110.0,1.0,0.04,0.04
0.5,0.13,110.0,1.0,0.05,0.04
0.5,0.14,110.0,1.0,0.06,0.04
0.5,0.15,110.0,1.0,0.08,0.04
0.5,0.16,110.0,1.0,0.08,0.06
0.5,0.17,110.0,1.0,0.09,0.02
0.5,0.18,110.0,1.0,0.05,0.02
0.5,0.19,110.0,1.0,0.05,0.05
0.5,0.2,110.0,1.0,0.06,0.04
0.5,0.21,110.0,1.0,0.05,0.03
0.5,0.22,110.0,1.0,0.08,0.07
0.5,0.23,110.0,1.0,0.04,0.04
0.5,0.24,110.0,1.0,0.05,0.06
0.5,0.25,110.0,1.0,0.03,0.05
0.5,0.26,110.0,1.0,0.03,0.04
0.5,0.27,110.0,1.0,0.03,0.05
0.5,0.28,110.0,1.0,0.08,0.05
0.5,0.29,110.0,1.0,0.03,0.04
0.5,0.3,110.0,1.0,0.04,0.06
0.5,0.31,110.0,1.0,0.01,0.04
0.5,0.32,110.0,1.0,0.05,0.03
0.5,0.33,110.0,1.0,0.02,0.03
0.5,0.34,110.0,1.0,0.03,0.05
0.5,0.35000000000000003,110.0,1.0,0.03,0.03
0.5,0.36,110.0,1.0,0.07,0.03
0.5,0.37,110.0,1.0,0.05,0.04
0.5,0.38,110.0,1.0,0.07,0.05
0.5,0.39,110.0,1.0,0.07,0.01
0.5,0.4,110.0,1.0,0.05,0.06
0.5,0.41000000000000003,110.0,1.0,0.04,0.08
0.5,0.42,110.0,1.0,0.08,0.04
0.5,0.43,110.0,1.0,0.04,0.04
0.5,0.44,110.0,1.0,0.07,0.08
0.5,0.45,110.0,1.0,0.04,0.05
0.5,0.46,110.0,1.0,0.08,0.1
0.5,0.47000000000000003,110.0,1.0,0.01,0.07
0.5,0.48,110.0,1.0,0.07,0.04
0.5,0.49,110.0,1.0,0.04,0.04
0.5,0.5,110.0,1.0,0.04,0.06
0.5,0.01,120.0,0.05,0.07,0.04
0.5,0.02,120.0,0.18,0.06,0.04
0.5,0.03,120.0,0.23,0.07,0.04
0.5,0.04,120.0,0.5,0.06,0.02
0.5,0.05,120.0,0.65,0.07,0.04
0.5,0.06,120.0,0.89,0.07,0.04
0.5,0.07,120.0,0.96,0.04,0.09
0.5,0.08,120.0,0.96,0.02,0.05
0.5,0.09,120.0,0.99,0.07,0.02
0.5,0.1,120.0,1.0,0.03,0.06
0.5,0.11,120.0,1.0,0.05,0.05
0.5,0.12,120.0,1.0,0.06,0.07
0.5,0.13,120.0,1.0,0.04,0.04
0.5,0.14,120.0,1.0,0.02,0.06
0.5,0.15,120.0,1.0,0.04,0.06
0.5,0.16,120.0,1.0,0.07,0.04
0.5,0.17,120.0,1.0,0.08,0.02
0.5,0.18,120.0,1.0,0.04,0.07
0.5,0.19,120.0,1.0,0.03,0.02
0.5,0.2,120.0,1.0,0.06,0.04
0.5,0.21,120.0,1.0,0.02,0.07
0.5,0.22,120.0,1.0,0.08,0.03
0.5,0.23,120.0,1.0,0.05,0.04
0.5,0.24,120.0,1.0,0.04,0.07
