p,delta,m,power_1,power_2,power_3
0.5,0.01,10.0,0.05,0.06,0.05
0.5,0.02,10.0,0.08,0.03,0.08
0.5,0.03,10.0,0.08,0.05,0.13
0.5,0.04,10.0,0.11,0.04,0.08
0.5,0.05,10.0,0.09,0.06,0.08
0.5,0.06,10.0,0.13,0.04,0.06
0.5,0.07,10.0,0.14,0.08,0.04
0.5,0.08,10.0,0.19,0.09,0.03
0.5,0.09,10.0,0.25,0.02,0.02
0.5,0.1,10.0,0.32,0.08,0.03
0.5,0.11,10.0,0.37,0.02,0.05
0.5,0.12,10.0,0.29,0.08,0.07
0.5,0.13,10.0,0.37,0.06,0.06
0.5,0.14,10.0,0.52,0.03,0.04
0.5,0.15,10.0,0.46,0.02,0.04
0.5,0.16,10.0,0.61,0.07,0.03
0.5,0.17,10.0,0.73,0.04,0.0
0.5,0.18,10.0,0.67,0.04,0.04
0.5,0.19,10.0,0.74,0.07,0.04
0.5,0.2,10.0,0.79,0.12,0.06
0.5,0.21,10.0,0.92,0.06,0.08
0.5,0.22,10.0,0.88,0.06,0.07
0.5,0.23,10.0,0.92,0.06,0.01
0.5,0.24,10.0,0.91,0.03,0.03
0.5,0.25,10.0,0.97,0.01,0.06
0.5,0.26,10.0,0.95,0.05,0.03
0.5,0.27,10.0,1.0,0.03,0.05
0.5,0.28,10.0,0.98,0.08,0.09
0.5,0.29,10.0,0.99,0.08,0.02
0.5,0.3,10.0,0.98,0.06,0.09
0.5,0.31,10.0,0.99,0.03,0.03
0.5,0.32,10.0,1.0,0.04,0.02
0.5,0.33,10.0,0.99,0.05,0.03
0.5,0.34,10.0,1.0,0.03,0.06
0.5,0.35000000000000003,10.0,1.0,0.09,0.06
0.5,0.36,10.0,1.0,0.01,0.04
0.5,0.37,10.0,1.0,0.03,0.06
0.5,0.38,10.0,1.0,0.06,0.05
0.5,0.39,10.0,1.0,0.02,0.05
0.5,0.4,10.0,1.0,0.05,0.03
0.5,0.41000000000000003,10.0,1.0,0.03,0.03
0.5,0.42,10.0,1.0,0.06,0.03
0.5,0.43,10.0,1.0,0.04,0.05
0.5,0.44,10.0,1.0,0.01,0.05
0.5,0.45,10.0,1.0,0.1,0.06
0.5,0.46,10.0,1.0,0.09,0.05
0.5,0.47000000000000003,10.0,1.0,0.03,0.1
0.5,0.48,10.0,1.0,0.06,0.04
0.5,0.49,10.0,1.0,0.07,0.08
0.5,0.5,10.0,1.0,0.06,0.07
0.5,0.01,20.0,0.07,0.05,0.05
0.5,0.02,20.0,0.11,0.08,0.05
0.5,0.03,20.0,0.11,0.04,0.07
0.5,0.04,20.0,0.09,0.05,0.08
0.5,0.05,20.0,0.21,0.02,0.09
0.5,0.06,20.0,0.28,0.06,0.05
0.5,0.07,20.0,0.2,0.05,0.05
0.5,0.08,20.0,0.31,0.04,0.09
0.5,0.09,20.0,0.43,0.07,0.08
0.5,0.1,20.0,0.54,0.06,0.01
0.5,0.11,20.0,0.52,0.03,0.04
0.5,0.12,20.0,0.61,0.07,0.07
0.5,0.13,20.0,0.69,0.05,0.02
0.5,0.14,20.0,0.74,0.05,0.03
0.5,0.15,20.0,0.89,0.07,0.01
0.5,0.16,20.0,0.89,0.07,0.03
0.5,0.17,20.0,0.96,0.08,0.05
0.5,0.18,20.0,0.98,0.09,0.07
0.5,0.19,20.0,0.96,0.07,0.02
0.5,0.2,20.0,0.99,0.05,0.05
0.5,0.21,20.0,0.99,0.05,0.02
0.5,0.22,20.0,0.97,0.04,0.01
0.5,0.23,20.0,1.0,0.06,0.05
0.5,0.24,20.0,1.0,0.04,0.07
0.5,0.25,20.0,1.0,0.05,0.05
0.5,0.26,20.0,1.0,0.04,0.05
0.5,0.27,20.0,1.0,0.03,0.03
0.5,0.28,20.0,1.0,0.06,0.06
0.5,0.29,20.0,0.99,0.05,0.06
0.5,0.3,20.0,1.0,0.07,0.05
0.5,0.31,20.0,1.0,0.03,0.03
0.5,0.32,20.0,1.0,0.02,0.06
0.5,0.33,20.0,1.0,0.05,0.03
0.5,0.34,20.0,1.0,0.05,0.04
0.5,0.35000000000000003,20.0,1.0,0.05,0.06
0.5,0.36,20.0,1.0,0.09,0.03
0.5,0.37,20.0,1.0,0.07,0.03
0.5,0.38,20.0,1.0,0.05,0.06
0.5,0.39,20.0,1.0,0.04,0.05
0.5,0.4,20.0,1.0,0.07,0.07
0.5,0.41000000000000003,20.0,1.0,0.08,0.01
0.5,0.42,20.0,1.0,0.01,0.04
0.5,0.43,20.0,1.0,0.06,0.07
0.5,0.44,20.0,1.0,0.02,0.07
0.5,0.45,20.0,1.0,0.07,0.02
0.5,0.46,20.0,1.0,0.05,0.06
0.5,0.47000000000000003,20.0,1.0,0.05,0.04
0.5,0.48,20.0,1.0,0.03,0.08
0.5,0.49,20.0,1.0,0.03,0.05
0.5,0.5,20.0,1.0,0.07,0.04
0.5,0.01,30.0,0.06,0.07,0.03
0.5,0.02,30.0,0.06,0.06,0.05
0.5,0.03,30.0,0.08,0.07,0.05
0.5,0.04,30.0,0.22,0.11,0.03
0.5,0.05,30.0,0.18,0.03,0.01
0.5,0.06,30.0,0.33,0.08,0.02
0.5,0.07,30.0,0.39,0.08,0.03
0.5,0.08,30.0,0.49,0.03,0.02
0.5,0.09,30.0,0.52,0.05,0.06
0.5,0.1,30.0,0.71,0.09,0.04
0.5,0.11,30.0,0.82,0.03,0.05
0.5,0.12,30.0,0.79,0.05,0.05
0.5,0.13,30.0,0.9,0.04,0.02
0.5,0.14,30.0,0.9,0.03,0.02
0.5,0.15,30.0,0.98,0.04,0.03
0.5,0.16,30.0,0.99,0.06,0.11
0.5,0.17,30.0,0.96,0.09,0.06
0.5,0.18,30.0,0.99,0.04,0.08
0.5,0.19,30.0,1.0,0.06,0.04
0.5,0.2,30.0,1.0,0.08,0.04
0.5,0.21,30.0,1.0,0.02,0.05
0.5,0.22,30.0,1.0,0.06,0.03
0.5,0.23,30.0,1.0,0.05,0.03
0.5,0.24,30.0,1.0,0.01,0.05
0.5,0.25,30.0,1.0,0.03,0.04
0.5,0.26,30.0,1.0,0.01,0.06
0.5,0.27,30.0,1.0,0.05,0.08
0.5,0.28,30.0,1.0,0.05,0.07
0.5,0.29,30.0,1.0,0.07,0.03
0.5,0.3,30.0,1.0,0.06,0.02
0.5,0.31,30.0,1.0,0.05,0.04
0.5,0.32,30.0,1.0,0.07,0.04
0.5,0.33,30.0,1.0,0.03,0.07
0.5,0.34,30.0,1.0,0.09,0.04
0.5,0.35000000000000003,30.0,1.0,0.07,0.05
0.5,0.36,30.0,1.0,0.05,0.05
0.5,0.37,30.0,1.0,0.03,0.08
0.5,0.38,30.0,1.0,0.03,0.05
0.5,0.39,30.0,1.0,0.01,0.02
0.5,0.4,30.0,1.0,0.05,0.05
0.5,0.41000000000000003,30.0,1.0,0.03,0.06
0.5,0.42,30.0,1.0,0.05,0.04
0.5,0.43,30.0,1.0,0.02,0.05
0.5,0.44,30.0,1.0,0.02,0.02
0.5,0.45,30.0,1.0,0.06,0.03
0.5,0.46,30.0,1.0,0.05,0.01
0.5,0.47000000000000003,30.0,1.0,0.08,0.03
0.5,0.48,30.0,1.0,0.04,0.02
0.5,0.49,30.0,1.0,0.06,0.04
0.5,0.5,30.0,1.0,0.06,0.02
0.5,0.01,40.0,0.05,0.03,0.04
0.5,0.02,40.0,0.11,0.07,0.05
0.5,0.03,40.0,0.15,0.07,0.06
0.5,0.04,40.0,0.3,0.02,0.05
0.5,0.05,40.0,0.28,0.02,0.06
0.5,0.06,40.0,0.38,0.05,0.04
0.5,0.07,40.0,0.59,0.02,0.09
0.5,0.08,40.0,0.65,0.02,0.05
0.5,0.09,40.0,0.79,0.05,0.06
0.5,0.1,40.0,0.78,0.05,0.09
0.5,0.11,40.0,0.86,0.02,0.08
0.5,0.12,40.0,0.96,0.03,0.05
0.5,0.13,40.0,0.95,0.03,0.06
0.5,0.14,40.0,0.99,0.05,0.07
0.5,0.15,40.0,0.96,0.05,0.04
0.5,0.16,40.0,1.0,0.04,0.07
0.5,0.17,40.0,1.0,0.03,0.07
0.5,0.18,40.0,1.0,0.08,0.07
0.5,0.19,40.0,1.0,0.07,0.1
0.5,0.2,40.0,1.0,0.07,0.06
0.5,0.21,40.0,1.0,0.0,0.05
0.5,0.22,40.0,1.0,0.02,0.05
0.5,0.23,40.0,1.0,0.08,0.05
0.5,0.24,40.0,1.0,0.06,0.08
0.5,0.25,40.0,1.0,0.04,0.05
0.5,0.26,40.0,1.0,0.05,0.03
0.5,0.27,40.0,1.0,0.04,0.05
0.5,0.28,40.0,1.0,0.06,0.05
0.5,0.29,40.0,1.0,0.05,0.08
0.5,0.3,40.0,1.0,0.12,0.1
0.5,0.31,40.0,1.0,0.02,0.04
0.5,0.32,40.0,1.0,0.04,0.04
