p,delta,m,omni_power_1,omni_power_2,omni_power_3,mase_power_1,mase_power_2,mase_power_3
0.5,0.01,10.0,0.06,0.06,0.02,0.05,0.06,0.05
0.5,0.02,10.0,0.07,0.03,0.02,0.03,0.07,0.02
0.5,0.03,10.0,0.02,0.02,0.01,0.04,0.07,0.07
0.5,0.04,10.0,0.06,0.05,0.05,0.07,0.02,0.06
0.5,0.05,10.0,0.0,0.07,0.02,0.04,0.06,0.07
0.5,0.06,10.0,0.09,0.1,0.09,0.05,0.08,0.08
0.5,0.07,10.0,0.05,0.03,0.07,0.03,0.08,0.04
0.5,0.08,10.0,0.03,0.06,0.04,0.05,0.03,0.07
0.5,0.09,10.0,0.11,0.07,0.02,0.03,0.07,0.03
0.5,0.1,10.0,0.07,0.06,0.05,0.13,0.07,0.08
0.5,0.11,10.0,0.06,0.07,0.03,0.03,0.11,0.05
0.5,0.12,10.0,0.1,0.08,0.05,0.05,0.1,0.08
0.5,0.13,10.0,0.07,0.04,0.05,0.09,0.05,0.04
0.5,0.14,10.0,0.1,0.08,0.03,0.1,0.1,0.02
0.5,0.15,10.0,0.11,0.06,0.03,0.07,0.05,0.04
0.5,0.16,10.0,0.05,0.07,0.04,0.06,0.05,0.05
0.5,0.17,10.0,0.06,0.1,0.03,0.1,0.04,0.05
0.5,0.18,10.0,0.09,0.06,0.04,0.08,0.03,0.02
0.5,0.19,10.0,0.04,0.11,0.05,0.07,0.06,0.06
0.5,0.2,10.0,0.1,0.1,0.06,0.17,0.09,0.04
0.5,0.21,10.0,0.12,0.08,0.01,0.13,0.07,0.02
0.5,0.22,10.0,0.12,0.06,0.06,0.13,0.1,0.02
0.5,0.23,10.0,0.1,0.14,0.06,0.09,0.08,0.06
0.5,0.24,10.0,0.11,0.11,0.03,0.12,0.07,0.09
0.5,0.25,10.0,0.11,0.09,0.07,0.06,0.07,0.06
0.5,0.26,10.0,0.12,0.06,0.04,0.07,0.08,0.03
0.5,0.27,10.0,0.18,0.11,0.04,0.11,0.13,0.06
0.5,0.28,10.0,0.14,0.1,0.11,0.14,0.12,0.08
0.5,0.29,10.0,0.09,0.04,0.03,0.14,0.12,0.08
0.5,0.3,10.0,0.23,0.07,0.04,0.12,0.12,0.05
0.5,0.31,10.0,0.06,0.08,0.04,0.12,0.1,0.07
0.5,0.32,10.0,0.13,0.09,0.05,0.04,0.12,0.02
0.5,0.33,10.0,0.13,0.09,0.13,0.14,0.12,0.07
0.5,0.34,10.0,0.16,0.16,0.05,0.15,0.07,0.04
0.5,0.35000000000000003,10.0,0.11,0.18,0.05,0.18,0.13,0.04
0.5,0.36,10.0,0.11,0.14,0.09,0.14,0.07,0.09
0.5,0.37,10.0,0.17,0.13,0.09,0.21,0.21,0.06
0.5,0.38,10.0,0.18,0.17,0.06,0.25,0.15,0.06
0.5,0.39,10.0,0.19,0.13,0.05,0.21,0.15,0.06
0.5,0.4,10.0,0.23,0.12,0.03,0.22,0.17,0.07
