m,p,delta,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20
500.0,0.5,0.5,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.5156,0.4704,0.5712,0.446,0.5819999999999999,0.4932000000000001,0.5967999999999999,0.502,0.5236,0.556,0.5476,0.5588,0.5495999999999999,0.4472,0.6579999999999999
10.0,0.5,0.0,0.5356000000000001,0.444,0.4892,0.6048,0.3868,0.44480000000000003,0.5244000000000001,0.5312,0.5576000000000001,0.574,0.38520000000000004,0.47840000000000005,0.4432,0.488,0.43800000000000006,0.41839999999999994,0.5076,0.552,0.5523999999999998,0.5760000000000001
500.0,0.5,0.49,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.458,0.5239999999999999,0.5288,0.5976,0.5656,0.486,0.5184000000000001,0.45320000000000005,0.3912,0.5452,0.466,0.5068,0.4724000000000001,0.4636,0.5892000000000001
10.0,0.5,0.01,0.42480000000000007,0.47720000000000007,0.4036,0.5416000000000001,0.5652000000000001,0.4472,0.4960000000000001,0.4556000000000001,0.39280000000000004,0.4696,0.45599999999999996,0.4984,0.5304000000000001,0.4835999999999999,0.46759999999999996,0.45319999999999994,0.5592,0.4944000000000001,0.5476000000000001,0.46
500.0,0.5,0.48,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.5491999999999999,0.504,0.5131999999999999,0.6204,0.456,0.4628,0.4183999999999999,0.532,0.46760000000000007,0.49560000000000004,0.48239999999999994,0.42719999999999997,0.5519999999999999,0.48039999999999994,0.5291999999999999
10.0,0.5,0.02,0.5128,0.5851999999999999,0.5052,0.5192,0.5571999999999998,0.48039999999999994,0.5492000000000001,0.48639999999999994,0.4644,0.5015999999999999,0.5327999999999999,0.5675999999999999,0.5631999999999998,0.4811999999999999,0.5923999999999999,0.6027999999999999,0.5468,0.5164,0.5028,0.5164000000000001
500.0,0.5,0.47000000000000003,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.45159999999999995,0.4959999999999999,0.45840000000000003,0.456,0.5168,0.5871999999999999,0.4732,0.5351999999999998,0.5011999999999999,0.5072,0.5407999999999998,0.5320000000000001,0.4664,0.5204,0.368
10.0,0.5,0.03,0.4428,0.44720000000000004,0.5448,0.5276,0.3924,0.5396,0.5180000000000001,0.5288,0.602,0.33919999999999995,0.5660000000000001,0.4744,0.4544,0.4711999999999999,0.5684,0.46000000000000013,0.5344,0.48480000000000006,0.47680000000000006,0.46520000000000006
500.0,0.5,0.46,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.5828000000000002,0.4132,0.5184,0.5508,0.4548,0.4852,0.48800000000000004,0.6075999999999999,0.4971999999999999,0.5216,0.49439999999999984,0.5108,0.5492000000000001,0.4968,0.622
10.0,0.5,0.04,0.506,0.43119999999999997,0.5956000000000001,0.42599999999999993,0.46120000000000005,0.4895999999999998,0.5004,0.43559999999999993,0.37400000000000005,0.5668000000000002,0.4599999999999999,0.524,0.5616,0.5436,0.5072000000000001,0.4608,0.466,0.4887999999999998,0.5336,0.45159999999999995
500.0,0.5,0.45,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.5972,0.5756,0.4772,0.5176,0.4967999999999999,0.5508,0.5976,0.4751999999999999,0.4436,0.48919999999999986,0.5336,0.40519999999999995,0.4828,0.49120000000000014,0.4428
10.0,0.5,0.05,0.4628,0.47440000000000004,0.48,0.522,0.5263999999999999,0.5468,0.5124,0.49279999999999996,0.5172,0.512,0.48,0.4976,0.5036,0.5184,0.5644,0.4488000000000001,0.4828,0.48879999999999996,0.6295999999999999,0.5124
500.0,0.5,0.44,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.5456,0.5196000000000001,0.46440000000000015,0.5391999999999999,0.4892,0.6108,0.5892,0.4476,0.46080000000000004,0.5436,0.4084,0.484,0.4752,0.49560000000000004,0.45799999999999996
10.0,0.5,0.06,0.55,0.45239999999999997,0.5012000000000002,0.51,0.5016,0.4576,0.452,0.47600000000000003,0.5148,0.624,0.5459999999999999,0.5256000000000001,0.4596000000000002,0.5172,0.6255999999999999,0.5232000000000001,0.48280000000000006,0.5231999999999999,0.5768,0.49239999999999995
500.0,0.5,0.43,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.5631999999999998,0.5664,0.5156000000000001,0.4587999999999999,0.46,0.5604,0.5008,0.44199999999999995,0.4340000000000001,0.46759999999999996,0.5848,0.46080000000000004,0.6040000000000001,0.43520000000000003,0.4232
10.0,0.5,0.07,0.44000000000000006,0.4895999999999999,0.47239999999999993,0.456,0.5252,0.37839999999999996,0.43119999999999997,0.44760000000000005,0.5408,0.5456,0.5191999999999999,0.5828,0.5424,0.46919999999999995,0.4044,0.4684,0.43639999999999995,0.3884,0.4168,0.5232
500.0,0.5,0.42,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.3936,0.6031999999999998,0.5356,0.5932,0.606,0.576,0.5347999999999999,0.588,0.582,0.6167999999999999,0.5092000000000001,0.5188000000000001,0.46679999999999994,0.5188,0.5851999999999999
10.0,0.5,0.08,0.4247999999999999,0.38359999999999994,0.49439999999999995,0.44400000000000006,0.38239999999999996,0.5868,0.45400000000000007,0.33719999999999994,0.44599999999999995,0.5015999999999999,0.3596000000000001,0.5515999999999999,0.47159999999999996,0.43079999999999996,0.47200000000000003,0.48919999999999986,0.3752,0.5544,0.46520000000000006,0.5095999999999999
500.0,0.5,0.41000000000000003,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.6044,0.49719999999999986,0.4984,0.46279999999999993,0.39799999999999996,0.5416000000000001,0.5052,0.5344000000000001,0.5075999999999999,0.4684,0.3452,0.4235999999999999,0.5228,0.5123999999999999,0.522
10.0,0.5,0.09,0.4635999999999999,0.4824000000000001,0.3579999999999999,0.48760000000000003,0.5304,0.49439999999999995,0.5708000000000001,0.6236,0.5152,0.376,0.48560000000000003,0.5012000000000001,0.48760000000000014,0.49040000000000006,0.5227999999999999,0.5311999999999999,0.41039999999999993,0.5327999999999999,0.3332,0.48480000000000006
500.0,0.5,0.4,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.47200000000000003,0.5464000000000001,0.48440000000000005,0.5071999999999999,0.4828,0.4612000000000001,0.5015999999999999,0.49559999999999993,0.4548,0.4728,0.494,0.5464,0.48400000000000015,0.43,0.5568
10.0,0.5,0.1,0.47040000000000015,0.5052,0.43879999999999997,0.5456,0.4556,0.5751999999999999,0.606,0.5379999999999999,0.4068,0.5016000000000002,0.444,0.44800000000000006,0.456,0.51,0.48840000000000006,0.4076000000000001,0.45480000000000004,0.4924000000000001,0.5512,0.5484
500.0,0.5,0.39,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.5048,0.546,0.5347999999999999,0.4156,0.4599999999999999,0.4967999999999999,0.4152,0.5416,0.4980000000000001,0.4568000000000001,0.5104000000000002,0.4420000000000001,0.5511999999999998,0.4232,0.43760000000000004
10.0,0.5,0.11,0.4052,0.5168,0.39559999999999995,0.41800000000000004,0.5428000000000001,0.5648000000000001,0.4832,0.46360000000000007,0.47680000000000006,0.4232,0.5408,0.4779999999999999,0.5152,0.6496000000000002,0.5307999999999999,0.5892000000000001,0.5528,0.3704,0.5132,0.4847999999999999
500.0,0.5,0.38,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.42200000000000004,0.5412,0.5668000000000001,0.39840000000000003,0.4504000000000001,0.5147999999999999,0.3791999999999999,0.5704,0.5912,0.47839999999999994,0.5072,0.39840000000000003,0.3499999999999999,0.47039999999999993,0.5036
10.0,0.5,0.12,0.598,0.45399999999999996,0.44800000000000006,0.4036,0.45960000000000006,0.5096,0.5067999999999999,0.5131999999999999,0.44,0.5068,0.5332,0.5124,0.6020000000000002,0.4744,0.5332000000000001,0.5271999999999999,0.6348,0.48119999999999985,0.5771999999999999,0.554
500.0,0.5,0.37,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.5444000000000001,0.5228,0.5564000000000001,0.47800000000000004,0.6352000000000001,0.614,0.5724000000000001,0.48719999999999997,0.4463999999999999,0.5948000000000001,0.4888,0.6191999999999999,0.5868,0.4379999999999999,0.4892
10.0,0.5,0.13,0.38079999999999997,0.556,0.35279999999999995,0.34119999999999995,0.34199999999999997,0.45679999999999993,0.5191999999999999,0.3631999999999999,0.5108,0.4720000000000001,0.4844,0.518,0.456,0.5751999999999999,0.5128,0.48919999999999997,0.5184000000000001,0.4076000000000001,0.4744,0.5823999999999999
500.0,0.5,0.36,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.38919999999999993,0.4536,0.4620000000000001,0.46480000000000005,0.4128,0.4576,0.48399999999999993,0.48839999999999995,0.46919999999999995,0.5344000000000001,0.5720000000000001,0.5608,0.46720000000000006,0.5628000000000001,0.5168
10.0,0.5,0.14,0.4396,0.442,0.392,0.29119999999999996,0.4296000000000001,0.5924,0.43279999999999996,0.4204,0.5028000000000001,0.424,0.5476,0.49400000000000005,0.35400000000000015,0.43759999999999993,0.4071999999999999,0.42519999999999997,0.4764,0.5151999999999999,0.5568,0.5364
500.0,0.5,0.35000000000000003,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.4616,0.4952,0.5431999999999999,0.5948,0.6152,0.5796000000000001,0.5164,0.44360000000000005,0.5284,0.4632,0.5748000000000001,0.4663999999999999,0.6487999999999999,0.5675999999999999,0.5356000000000001
10.0,0.5,0.15,0.4151999999999999,0.45519999999999994,0.3016,0.3968,0.36560000000000004,0.4032,0.6348,0.47599999999999987,0.5200000000000001,0.5204000000000001,0.4868,0.5071999999999999,0.5984,0.3848,0.41400000000000003,0.6047999999999998,0.5532,0.44120000000000004,0.35600000000000004,0.48279999999999995
500.0,0.5,0.34,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.4544,0.5352,0.5943999999999999,0.5152,0.5196000000000001,0.5064,0.5279999999999999,0.5092,0.4808,0.5232000000000001,0.4888,0.6212,0.48119999999999996,0.42359999999999987,0.5988000000000001
10.0,0.5,0.16,0.4403999999999999,0.38960000000000017,0.3392,0.43879999999999997,0.36800000000000005,0.5864,0.5488000000000001,0.442,0.5324,0.45159999999999995,0.5648,0.48560000000000003,0.5304,0.4844,0.4692,0.44719999999999993,0.3972,0.3624000000000001,0.4816,0.4864
500.0,0.5,0.33,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.5267999999999999,0.41119999999999995,0.5604,0.51,0.41319999999999996,0.53,0.5312,0.6028000000000001,0.4948,0.452,0.5704,0.5196,0.47200000000000003,0.5092000000000002,0.5244
10.0,0.5,0.17,0.4256000000000001,0.49599999999999994,0.3116,0.34080000000000005,0.3104,0.47159999999999996,0.45199999999999996,0.5304000000000001,0.48720000000000013,0.512,0.5875999999999999,0.6552,0.43920000000000003,0.45159999999999995,0.5123999999999999,0.5252,0.5511999999999999,0.5331999999999999,0.33720000000000006,0.4867999999999999
500.0,0.5,0.32,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.45399999999999996,0.4552000000000001,0.5112000000000001,0.45399999999999996,0.494,0.4216,0.47240000000000004,0.4412000000000001,0.40360000000000007,0.4068,0.4336,0.5044,0.4619999999999999,0.46440000000000015,0.5532
10.0,0.5,0.18,0.3856000000000001,0.31799999999999995,0.3444,0.3016,0.3955999999999999,0.3712,0.4012,0.3588,0.47000000000000014,0.3379999999999999,0.486,0.3568,0.4115999999999999,0.4628,0.5103999999999999,0.4064000000000001,0.5604,0.4991999999999999,0.5219999999999999,0.5172000000000001
500.0,0.5,0.31,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.4668,0.37039999999999984,0.42879999999999996,0.4028,0.5144000000000001,0.47840000000000005,0.5276000000000001,0.45959999999999995,0.3928000000000001,0.43920000000000003,0.4844,0.5479999999999999,0.614,0.45799999999999996,0.4572
10.0,0.5,0.19,0.39959999999999996,0.4116,0.3267999999999999,0.35800000000000004,0.3944,0.4512000000000001,0.4895999999999999,0.5136,0.55,0.4663999999999999,0.49920000000000003,0.5268000000000002,0.49079999999999996,0.41119999999999995,0.6116000000000001,0.5791999999999999,0.48400000000000004,0.5095999999999998,0.44760000000000005,0.5731999999999999
500.0,0.5,0.3,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.4544,0.45679999999999993,0.666,0.5172,0.5443999999999999,0.5572,0.43760000000000004,0.5399999999999998,0.544,0.5504,0.4464,0.4572,0.5272,0.5112,0.6068
10.0,0.5,0.2,0.42800000000000005,0.3948,0.36400000000000005,0.3708000000000001,0.3308,0.40319999999999995,0.5332,0.5076000000000002,0.5992,0.59,0.41320000000000007,0.46480000000000005,0.5152,0.4575999999999999,0.5176,0.5756000000000001,0.5152,0.4935999999999999,0.4160000000000001,0.5148
500.0,0.5,0.29,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.5227999999999999,0.5223999999999998,0.43560000000000004,0.44719999999999993,0.49599999999999994,0.5608,0.5776000000000001,0.4876,0.5127999999999999,0.5536,0.4860000000000001,0.5344000000000001,0.4795999999999999,0.5768000000000001,0.48679999999999984
10.0,0.5,0.21,0.29359999999999997,0.35120000000000007,0.3475999999999999,0.27440000000000003,0.41239999999999993,0.514,0.434,0.48160000000000003,0.5968,0.4527999999999999,0.4256,0.3912,0.5244000000000001,0.45120000000000005,0.4856000000000001,0.5272000000000001,0.6792,0.41960000000000003,0.5219999999999999,0.4576
500.0,0.5,0.28,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.6035999999999999,0.48239999999999994,0.4879999999999999,0.44400000000000006,0.5476,0.5244000000000001,0.4428,0.5836,0.4836000000000001,0.5288,0.4948,0.5732,0.4804,0.5184000000000001,0.5695999999999999
10.0,0.5,0.22,0.32199999999999995,0.44959999999999994,0.25919999999999993,0.446,0.27960000000000007,0.6004,0.45280000000000004,0.506,0.5187999999999999,0.5096,0.48479999999999984,0.4228,0.47439999999999993,0.41320000000000007,0.4092,0.4252000000000002,0.5739999999999998,0.43879999999999997,0.5219999999999999,0.5100000000000001
500.0,0.5,0.27,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.4764,0.5732,0.5524,0.484,0.5176,0.5331999999999999,0.468,0.5196000000000001,0.5148,0.4664,0.5468,0.5904,0.5384,0.4348,0.5147999999999999
10.0,0.5,0.23,0.3564,0.35680000000000006,0.3984,0.26959999999999995,0.35600000000000004,0.5059999999999998,0.5100000000000001,0.5528,0.5228,0.5172,0.45239999999999997,0.5728,0.5279999999999999,0.4604,0.5503999999999999,0.5152000000000001,0.5228,0.5028,0.5208000000000002,0.568
500.0,0.5,0.26,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.494,0.5676000000000001,0.5044,0.41480000000000006,0.556,0.6012000000000001,0.4796000000000001,0.42480000000000007,0.4936,0.3636000000000001,0.48760000000000003,0.4932,0.4616000000000001,0.5420000000000001,0.6112000000000001
10.0,0.5,0.24,0.25079999999999997,0.32159999999999994,0.3203999999999999,0.3448,0.31560000000000005,0.496,0.4604,0.37999999999999995,0.5008000000000001,0.4436,0.4572,0.5244,0.4804,0.3655999999999999,0.5364,0.5616,0.6292,0.45439999999999997,0.47639999999999993,0.5432
500.0,0.5,0.25,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.5207999999999999,0.43879999999999997,0.4660000000000001,0.6204000000000001,0.488,0.4916,0.5296,0.5672,0.5416000000000001,0.5664000000000001,0.5783999999999999,0.55,0.4996000000000001,0.5783999999999999,0.512
10.0,0.5,0.25,0.296,0.27719999999999995,0.3631999999999999,0.272,0.26359999999999995,0.5228,0.43359999999999993,0.5052,0.45559999999999995,0.4603999999999999,0.458,0.452,0.5124,0.5027999999999999,0.5224,0.36839999999999995,0.47239999999999993,0.43320000000000014,0.49360000000000004,0.48480000000000006
500.0,0.5,0.24,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.5056,0.47200000000000003,0.5036,0.49479999999999996,0.48679999999999984,0.4456000000000001,0.44,0.4388,0.47279999999999994,0.5599999999999998,0.46639999999999987,0.41960000000000003,0.3940000000000001,0.4868000000000001,0.4404
