m,n,effect_size,angle,model,omni_same,mase_same,omni_diff,mase_diff
40,40,0.0,60,generate_graphs_1,0.05750000000000001,0.04,0.06700000000000002,0.0385
40,40,0.0,60,generate_graphs_4,0.05550000000000001,0.084,0.06000000000000001,0.07650000000000001
80,40,0.0,60,generate_graphs_1,0.06550000000000003,0.05850000000000001,0.05600000000000001,0.0485
80,40,0.0,60,generate_graphs_4,0.05900000000000001,0.07200000000000002,0.05300000000000001,0.08150000000000002
120,40,0.0,60,generate_graphs_1,0.06950000000000002,0.04900000000000001,0.05950000000000001,0.05700000000000001
120,40,0.0,60,generate_graphs_4,0.06800000000000002,0.0745,0.0645,0.07450000000000002
40,80,0.0,60,generate_graphs_1,0.05825,0.09225,0.064,0.059250000000000004
40,80,0.0,60,generate_graphs_4,0.0665,0.04,0.061250000000000006,0.042749999999999996
80,80,0.0,60,generate_graphs_1,0.06375,0.054000000000000006,0.06399999999999999,0.0675
80,80,0.0,60,generate_graphs_4,0.06100000000000001,0.0485,0.06224999999999999,0.021
120,80,0.0,60,generate_graphs_1,0.06575,0.03175,0.0655,0.04875
120,80,0.0,60,generate_graphs_4,0.06000000000000001,0.09175,0.052750000000000005,0.08275
40,120,0.0,60,generate_graphs_1,0.063,0.06516666666666666,0.0645,0.08166666666666668
40,120,0.0,60,generate_graphs_4,0.060333333333333336,0.06066666666666666,0.06349999999999999,0.059333333333333335
80,120,0.0,60,generate_graphs_1,0.06483333333333333,0.04266666666666666,0.06799999999999999,0.06666666666666667
80,120,0.0,60,generate_graphs_4,0.06483333333333334,0.10483333333333333,0.06483333333333333,0.06716666666666667
120,120,0.0,60,generate_graphs_1,0.06316666666666666,0.063,0.062333333333333324,0.04833333333333333
120,120,0.0,60,generate_graphs_4,0.05933333333333333,0.036,0.06566666666666666,0.08733333333333333
40,40,0.1,60,generate_graphs_1,0.0625,0.09900000000000002,0.09150000000000001,0.09600000000000002
40,40,0.1,60,generate_graphs_4,0.07300000000000002,0.0495,0.08700000000000001,0.05050000000000001
80,40,0.1,60,generate_graphs_1,0.07150000000000002,0.15999999999999998,0.10350000000000001,0.15600000000000003
80,40,0.1,60,generate_graphs_4,0.05400000000000001,0.1145,0.1155,0.10950000000000001
120,40,0.1,60,generate_graphs_1,0.06550000000000002,0.22800000000000004,0.1325,0.2705
120,40,0.1,60,generate_graphs_4,0.06200000000000001,0.141,0.13999999999999999,0.188
40,80,0.1,60,generate_graphs_1,0.0615,0.26275,0.10700000000000001,0.63925
40,80,0.1,60,generate_graphs_4,0.0615,0.175,0.11425,0.6757500000000001
80,80,0.1,60,generate_graphs_1,0.06174999999999999,0.30125,0.16125,0.961
80,80,0.1,60,generate_graphs_4,0.0625,0.19674999999999998,0.16350000000000003,0.94475
120,80,0.1,60,generate_graphs_1,0.07425,0.31375000000000003,0.20575000000000002,0.9984999999999999
120,80,0.1,60,generate_graphs_4,0.060250000000000005,0.21575000000000003,0.2285,0.99975
40,120,0.1,60,generate_graphs_1,0.0745,0.25366666666666665,0.13933333333333336,0.9883333333333334
40,120,0.1,60,generate_graphs_4,0.06616666666666667,0.13133333333333333,0.14766666666666667,0.9814999999999999
80,120,0.1,60,generate_graphs_1,0.07433333333333335,0.27516666666666667,0.20400000000000001,1.0
80,120,0.1,60,generate_graphs_4,0.064,0.24566666666666667,0.23633333333333334,1.0
120,120,0.1,60,generate_graphs_1,0.08433333333333334,0.2970000000000001,0.2916666666666667,1.0
120,120,0.1,60,generate_graphs_4,0.057499999999999996,0.257,0.33033333333333326,1.0
40,40,0.3,60,generate_graphs_1,0.07450000000000002,0.40800000000000003,0.26500000000000007,0.3945
40,40,0.3,60,generate_graphs_4,0.053500000000000006,0.3045,0.27749999999999997,0.341
80,40,0.3,60,generate_graphs_1,0.09200000000000001,0.6000000000000001,0.475,0.5974999999999999
80,40,0.3,60,generate_graphs_4,0.07350000000000002,0.4135,0.4665,0.577
120,40,0.3,60,generate_graphs_1,0.09850000000000002,0.6954999999999999,0.6619999999999999,0.7819999999999999
120,40,0.3,60,generate_graphs_4,0.06550000000000002,0.49899999999999994,0.6859999999999999,0.765
40,80,0.3,60,generate_graphs_1,0.08499999999999999,0.568,0.4734999999999999,0.9395
40,80,0.3,60,generate_graphs_4,0.06100000000000001,0.396,0.5,0.9964999999999999
80,80,0.3,60,generate_graphs_1,0.1085,0.5692499999999999,0.781,1.0
80,80,0.3,60,generate_graphs_4,0.06400000000000002,0.55,0.8052499999999998,1.0
120,80,0.3,60,generate_graphs_1,0.14725,0.649,0.92275,1.0
120,80,0.3,60,generate_graphs_4,0.071,0.61025,0.9289999999999999,1.0
40,120,0.3,60,generate_graphs_1,0.10583333333333332,0.5501666666666668,0.6571666666666668,1.0
40,120,0.3,60,generate_graphs_4,0.06866666666666667,0.5703333333333335,0.6831666666666666,1.0
80,120,0.3,60,generate_graphs_1,0.14316666666666666,0.646,0.9185,1.0
80,120,0.3,60,generate_graphs_4,0.06433333333333333,0.7721666666666667,0.9266666666666665,1.0
120,120,0.3,60,generate_graphs_1,0.18933333333333335,0.7885000000000002,0.9843333333333334,1.0
120,120,0.3,60,generate_graphs_4,0.06566666666666666,0.8916666666666667,0.9891666666666669,1.0
