m,p,delta,correct,incorrect
500.0,0.5,0.5,1.0,1.0
10.0,0.5,0.0,0.04,0.04
500.0,0.5,0.49,1.0,1.0
10.0,0.5,0.01,0.16,0.12
500.0,0.5,0.48,1.0,1.0
10.0,0.5,0.02,0.04,0.04
500.0,0.5,0.47000000000000003,1.0,1.0
10.0,0.5,0.03,0.08,0.04
500.0,0.5,0.46,1.0,1.0
10.0,0.5,0.04,0.04,0.04
500.0,0.5,0.45,1.0,1.0
10.0,0.5,0.05,0.08,0.08
500.0,0.5,0.44,1.0,1.0
10.0,0.5,0.06,0.08,0.04
500.0,0.5,0.43,1.0,1.0
10.0,0.5,0.07,0.2,0.12
500.0,0.5,0.42,1.0,1.0
10.0,0.5,0.08,0.04,0.04
500.0,0.5,0.41000000000000003,1.0,1.0
10.0,0.5,0.09,0.04,0.08
500.0,0.5,0.4,1.0,1.0
10.0,0.5,0.1,0.04,0.08
500.0,0.5,0.39,1.0,1.0
10.0,0.5,0.11,0.0,0.08
500.0,0.5,0.38,1.0,1.0
10.0,0.5,0.12,0.0,0.04
500.0,0.5,0.37,1.0,1.0
10.0,0.5,0.13,0.08,0.08
500.0,0.5,0.36,1.0,1.0
10.0,0.5,0.14,0.04,0.0
500.0,0.5,0.35000000000000003,1.0,1.0
10.0,0.5,0.15,0.0,0.04
500.0,0.5,0.34,1.0,1.0
10.0,0.5,0.16,0.08,0.0
500.0,0.5,0.33,1.0,1.0
10.0,0.5,0.17,0.04,0.12
500.0,0.5,0.32,1.0,1.0
10.0,0.5,0.18,0.04,0.0
500.0,0.5,0.31,1.0,1.0
10.0,0.5,0.19,0.08,0.08
500.0,0.5,0.3,1.0,1.0
10.0,0.5,0.2,0.04,0.04
500.0,0.5,0.29,1.0,1.0
10.0,0.5,0.21,0.04,0.04
500.0,0.5,0.28,1.0,1.0
10.0,0.5,0.22,0.04,0.0
500.0,0.5,0.27,1.0,1.0
10.0,0.5,0.23,0.08,0.08
500.0,0.5,0.26,1.0,1.0
10.0,0.5,0.24,0.08,0.08
500.0,0.5,0.25,1.0,1.0
10.0,0.5,0.25,0.04,0.0
500.0,0.5,0.24,0.96,1.0
10.0,0.5,0.26,0.04,0.08
500.0,0.5,0.23,0.92,0.96
10.0,0.5,0.27,0.08,0.04
500.0,0.5,0.22,0.96,0.96
10.0,0.5,0.28,0.04,0.08
500.0,0.5,0.21,0.96,0.96
10.0,0.5,0.29,0.08,0.04
500.0,0.5,0.2,0.88,0.92
10.0,0.5,0.3,0.08,0.04
500.0,0.5,0.19,0.8,0.84
10.0,0.5,0.31,0.08,0.12
500.0,0.5,0.18,0.72,0.76
10.0,0.5,0.32,0.0,0.08
500.0,0.5,0.17,0.84,0.76
10.0,0.5,0.33,0.12,0.08
500.0,0.5,0.16,0.68,0.84
10.0,0.5,0.34,0.04,0.04
500.0,0.5,0.15,0.56,0.56
10.0,0.5,0.35000000000000003,0.04,0.04
500.0,0.5,0.14,0.56,0.48
10.0,0.5,0.36,0.04,0.08
500.0,0.5,0.13,0.52,0.48
10.0,0.5,0.37,0.04,0.16
500.0,0.5,0.12,0.6,0.6
