m,block_1,block_2,effect_size,model,row_wise_same,omni_same,mase_same,row_wise_diff,omni_diff,mase_diff,row_wise_precision,omni_precision,mase_precision,row_wise_f1,omni_f1,mase_f1,row_wise_fp,omni_fp,mase_fp,row_wise_tp,omni_tp,mase_tp
200,69,1,1,generate_graphs_1,0.05173913043478261,0.050434782608695654,0.0472463768115942,0.64,1.0,0.07,0.23,1.0,0.03,0.24525396825396817,0.4185483405483402,0.00594929259381592,0.05099999999999994,0.04971428571428566,0.046571428571428576,0.00914285714285713,0.014285714285714256,0.001
200,69,1,1,generate_graphs_4,0.05333333333333333,0.05420289855072464,0.06391304347826086,0.05,0.05,0.05,0.01,0.03,0.0,0.01819047619047619,0.021222222222222222,0.0021325318825318822,0.05257142857142851,0.05342857142857136,0.063,0.0007142857142857143,0.0007142857142857143,0.0007142857142857143
200,68,2,1,generate_graphs_1,0.04999999999999999,0.053382352941176464,0.1316176470588235,0.625,1.0,0.16,0.45,1.0,0.025,0.3881637806637805,0.5583828393828388,0.01773989633539593,0.04857142857142851,0.051857142857142796,0.12785714285714286,0.017857142857142825,0.02857142857142851,0.004571428571428573
200,68,2,1,generate_graphs_4,0.04955882352941175,0.051323529411764705,0.058382352941176476,0.07,0.06,0.045,0.06,0.035,0.045,0.046397546897546896,0.041055555555555553,0.004265114178204694,0.0481428571428571,0.0498571428571428,0.05671428571428572,0.0020000000000000005,0.0017142857142857146,0.0012857142857142859
200,67,3,1,generate_graphs_1,0.0608955223880597,0.053432835820895516,0.16402985074626864,0.7600000000000001,1.0,0.2233333333333333,0.6200000000000002,1.0,0.07666666666666665,0.49922949272949246,0.6422275224775227,0.039374283340665964,0.05828571428571422,0.051142857142857094,0.15700000000000003,0.032571428571428515,0.042857142857142795,0.009571428571428568
200,67,3,1,generate_graphs_4,0.04791044776119403,0.0462686567164179,0.04492537313432835,0.18000000000000002,0.043333333333333335,0.043333333333333335,0.16333333333333339,0.03666666666666667,0.04,0.15334626484626485,0.03890476190476191,0.008473081891816121,0.04585714285714281,0.04428571428571423,0.043,0.0077142857142857065,0.0018571428571428576,0.0018571428571428571
200,66,4,1,generate_graphs_1,0.06121212121212121,0.05545454545454545,0.29636363636363633,0.83,1.0,0.38250000000000006,0.635,0.9975,0.09,0.5936090119031291,0.703643356643356,0.07476499608542277,0.057714285714285635,0.05228571428571421,0.2794285714285715,0.047428571428571334,0.05714285714285702,0.021857142857142856
200,66,4,1,generate_graphs_4,0.05515151515151515,0.04696969696969697,0.025,0.255,0.08750000000000001,0.035,0.245,0.0875,0.075,0.22208291708291694,0.09200305250305249,0.009665726817042607,0.05199999999999992,0.044285714285714234,0.023571428571428566,0.014571428571428555,0.005000000000000001,0.002
200,65,5,1,generate_graphs_1,0.06523076923076924,0.055846153846153844,0.436,0.8560000000000001,1.0,0.598,0.7419999999999994,1.0,0.12199999999999996,0.6426215363583782,0.7495758038830792,0.13827480109187504,0.06057142857142848,0.051857142857142796,0.4048571428571428,0.06114285714285706,0.07142857142857136,0.04271428571428571
200,65,5,1,generate_graphs_4,0.05169230769230769,0.05153846153846153,0.05476923076923077,0.386,0.144,0.064,0.36999999999999994,0.16199999999999992,0.09000000000000004,0.3612797529268117,0.1472001887001887,0.015039073497406163,0.047999999999999945,0.04785714285714279,0.050857142857142865,0.027571428571428528,0.010285714285714278,0.004571428571428572
200,64,6,1,generate_graphs_1,0.07078125,0.05328125,0.52390625,0.9133333333333332,1.0,0.7266666666666667,0.7866666666666666,0.9983333333333334,0.145,0.6923450138612669,0.7903286440082097,0.18036066271711568,0.06471428571428563,0.04871428571428567,0.47900000000000015,0.07828571428571418,0.08571428571428559,0.062285714285714215
200,64,6,1,generate_graphs_4,0.04875,0.056249999999999994,0.05578125,0.4283333333333334,0.24166666666666667,0.060000000000000005,0.43000000000000005,0.2683333333333334,0.08833333333333333,0.42850692444810107,0.24269628084333955,0.019437556423313594,0.044571428571428526,0.05142857142857137,0.051000000000000004,0.03671428571428566,0.0207142857142857,0.005142857142857143
200,63,7,1,generate_graphs_1,0.0784126984126984,0.17730158730158732,0.6630158730158731,0.9457142857142857,1.0,0.8957142857142857,0.8328571428571425,1.0,0.18285714285714286,0.723084418290314,0.5824151238216237,0.22702794649449942,0.07057142857142847,0.1595714285714284,0.5967142857142858,0.09457142857142839,0.09999999999999981,0.08957142857142843
200,63,7,1,generate_graphs_4,0.04714285714285714,0.050476190476190466,0.06317460317460317,0.5714285714285714,0.8899999999999999,0.06142857142857143,0.5814285714285714,0.8742857142857143,0.12285714285714283,0.5682133388627194,0.7489742950547904,0.019017122882550207,0.04242857142857136,0.04542857142857138,0.056857142857142856,0.05714285714285706,0.08899999999999984,0.0061428571428571435
200,62,8,1,generate_graphs_1,0.07403225806451615,0.316774193548387,0.7435483870967741,0.9512499999999999,1.0,0.9325000000000001,0.85,1.0,0.17,0.7603248153323868,0.45544176707938305,0.24421675023865078,0.06557142857142848,0.2805714285714286,0.6585714285714289,0.10871428571428549,0.11428571428571405,0.10657142857142836
200,62,8,1,generate_graphs_4,0.05274193548387096,0.04935483870967742,0.05596774193548387,0.66,1.0,0.05875,0.65125,0.99375,0.13375,0.6324811295142088,0.8446927696673275,0.019520931560523754,0.04671428571428567,0.04371428571428568,0.04957142857142857,0.07542857142857132,0.11428571428571405,0.0067142857142857134
200,61,9,1,generate_graphs_1,0.08786885245901638,0.40721311475409844,0.8242622950819674,0.9677777777777776,1.0,0.9788888888888887,0.8955555555555541,1.0,0.21555555555555525,0.7618498425180781,0.42402328243617154,0.2603478883933411,0.07657142857142847,0.3548571428571428,0.7182857142857144,0.12442857142857112,0.12857142857142825,0.12585714285714256
200,61,9,1,generate_graphs_4,0.049344262295081966,0.05442622950819671,0.07721311475409834,0.7633333333333333,1.0,0.11,0.7377777777777775,0.9966666666666666,0.1366666666666665,0.7268672743724766,0.8499271602539333,0.05049923109677346,0.04299999999999995,0.04742857142857138,0.06728571428571428,0.09814285714285695,0.12857142857142825,0.014142857142857141
200,60,10,1,generate_graphs_1,0.08733333333333333,0.45783333333333337,0.8445,0.9879999999999999,1.0,0.9880000000000001,0.9060000000000001,1.0,0.22099999999999992,0.7939736129920922,0.4246788836737996,0.2816546966395523,0.07485714285714277,0.39242857142857124,0.723857142857143,0.141142857142857,0.1428571428571427,0.14114285714285701
200,60,10,1,generate_graphs_4,0.047999999999999994,0.04766666666666666,0.09616666666666666,0.818,1.0,0.11400000000000002,0.7849999999999997,1.0,0.18199999999999997,0.7756419276906216,0.8796342851995013,0.04603872974598191,0.04114285714285709,0.04085714285714282,0.08242857142857143,0.11685714285714269,0.1428571428571427,0.016285714285714282
200,59,11,1,generate_graphs_1,0.08864406779661017,0.49576271186440685,0.866779661016949,0.990909090909091,1.0,0.9881818181818183,0.941818181818181,1.0,0.23272727272727284,0.8091535801607642,0.43105003785370904,0.2989754292487935,0.07471428571428561,0.41785714285714265,0.7305714285714286,0.15571428571428553,0.15714285714285692,0.15528571428571408
200,59,11,1,generate_graphs_4,0.05118644067796609,0.047627118644067795,0.15220338983050846,0.8672727272727273,1.0,0.20090909090909095,0.8218181818181814,1.0,0.19545454545454566,0.811032102487527,0.8899887119321908,0.09502917763036894,0.043142857142857094,0.0401428571428571,0.1282857142857143,0.13628571428571412,0.15714285714285692,0.03157142857142857
200,58,12,1,generate_graphs_1,0.1060344827586207,0.5481034482758621,0.8710344827586207,0.9925,1.0,0.995,0.9341666666666667,1.0,0.21000000000000005,0.798386435537908,0.4322153526916186,0.32194396559541294,0.08785714285714274,0.454142857142857,0.721714285714286,0.1701428571428569,0.17142857142857118,0.17057142857142832
200,58,12,1,generate_graphs_4,0.04741379310344827,0.05120689655172414,0.1932758620689655,0.9100000000000001,1.0,0.3,0.8641666666666664,1.0,0.2408333333333333,0.8516698949768501,0.8930553140840116,0.1486976816888754,0.03928571428571425,0.04242857142857138,0.16014285714285717,0.15599999999999978,0.17142857142857118,0.05142857142857142
200,57,13,1,generate_graphs_1,0.10824561403508771,0.5838596491228071,0.878421052631579,0.996923076923077,1.0,0.9923076923076923,0.9523076923076914,1.0,0.17769230769230757,0.8125750510332292,0.440438962263104,0.3407573768716813,0.08814285714285706,0.47542857142857153,0.7152857142857143,0.18514285714285705,0.18571428571428567,0.1842857142857142
200,57,13,1,generate_graphs_4,0.054035087719298255,0.05280701754385964,0.4829824561403509,0.9384615384615385,1.0,0.6330769230769231,0.9015384615384598,1.0,0.2538461538461536,0.8651043359685546,0.8984641575723333,0.26365751692301187,0.04399999999999995,0.04299999999999995,0.39328571428571435,0.17428571428571413,0.18571428571428567,0.1175714285714285
200,56,14,1,generate_graphs_1,0.11071428571428572,0.635,0.9144642857142857,0.9992857142857143,1.0,0.9978571428571429,0.9685714285714289,1.0,0.1342857142857142,0.822464207234986,0.441689681648355,0.3535258147856819,0.08857142857142847,0.5079999999999999,0.7315714285714283,0.19985714285714248,0.19999999999999962,0.1995714285714282
200,56,14,1,generate_graphs_4,0.04535714285714286,0.048214285714285716,0.8305357142857144,0.9671428571428573,1.0,0.9235714285714284,0.9300000000000007,1.0,0.15785714285714278,0.9015460683604053,0.9144007704473914,0.3360959421828404,0.03628571428571424,0.038571428571428513,0.6644285714285716,0.19342857142857114,0.19999999999999962,0.18471428571428544
200,55,15,1,generate_graphs_1,0.11490909090909089,0.6578181818181816,0.9476363636363636,1.0,1.0,0.9993333333333333,0.9706666666666669,1.0,0.15133333333333326,0.8301182815784739,0.45474061937524707,0.3656305666054582,0.09028571428571419,0.5168571428571429,0.7445714285714289,0.2142857142857143,0.2142857142857143,0.21414285714285713
200,55,15,1,generate_graphs_4,0.05145454545454545,0.055454545454545444,0.9094545454545455,0.9726666666666666,1.0,1.0,0.9366666666666663,1.0,0.14666666666666656,0.9022448242367025,0.9093966440503436,0.37520690966840126,0.04042857142857139,0.043571428571428525,0.7145714285714285,0.20842857142857138,0.2142857142857143,0.2142857142857143
200,54,16,1,generate_graphs_1,0.11462962962962962,0.6859259259259258,0.9714814814814815,0.99875,1.0,1.0,0.974375,1.0,0.198125,0.8406214650415351,0.4649443039762973,0.3791812604955377,0.08842857142857131,0.5291428571428574,0.7494285714285717,0.2282857142857138,0.2285714285714281,0.2285714285714281
200,54,16,1,generate_graphs_4,0.05037037037037035,0.04629629629629631,0.9016666666666665,0.9849999999999999,1.0,1.0,0.96,1.0,0.28125,0.9163563652682291,0.9290737159901231,0.3970356116840867,0.03885714285714282,0.03571428571428567,0.6955714285714286,0.22514285714285673,0.2285714285714281,0.2285714285714281
200,53,17,1,generate_graphs_1,0.11981132075471697,0.7216981132075472,0.969811320754717,0.9988235294117648,1.0,1.0,0.9852941176470583,1.0,0.2899999999999996,0.8451433606634171,0.4714157158341964,0.39853070403034296,0.09071428571428558,0.5464285714285715,0.7342857142857148,0.2425714285714286,0.24285714285714288,0.24285714285714288
200,53,17,1,generate_graphs_4,0.05358490566037736,0.04886792452830188,0.882264150943396,0.9923529411764707,1.0,1.0,0.9717647058823521,1.0,0.3923529411764708,0.921322776688617,0.9309983890773359,0.42140224882908583,0.04057142857142855,0.036999999999999963,0.6679999999999999,0.241,0.24285714285714288,0.24285714285714288
200,52,18,1,generate_graphs_1,0.1346153846153846,0.7419230769230769,0.9740384615384614,1.0,1.0,1.0,0.9827777777777774,1.0,0.382222222222222,0.8403336375601582,0.4835584063794537,0.4158299406153092,0.09999999999999985,0.5511428571428572,0.7235714285714283,0.2571428571428565,0.2571428571428565,0.2571428571428565
200,52,18,1,generate_graphs_4,0.05153846153846153,0.056538461538461524,0.8851923076923077,0.9955555555555554,1.0,1.0,0.9744444444444439,1.0,0.4494444444444441,0.9303859012241692,0.9261941083269852,0.4393134295279747,0.03828571428571426,0.041999999999999954,0.6575714285714285,0.25599999999999945,0.2571428571428565,0.2571428571428565
200,51,19,1,generate_graphs_1,0.13686274509803922,0.7537254901960787,0.9674509803921568,0.9994736842105264,1.0,1.0,0.9847368421052629,1.0,0.43631578947368416,0.8472323881472481,0.497740132393685,0.4355105607885247,0.09971428571428557,0.5491428571428574,0.7048571428571425,0.27128571428571485,0.271428571428572,0.271428571428572
200,51,19,1,generate_graphs_4,0.04745098039215686,0.046274509803921574,0.8882352941176471,0.9978947368421052,1.0,1.0,0.9805263157894732,1.0,0.5247368421052631,0.9403850268027807,0.9429678839154166,0.45665291066754427,0.034571428571428524,0.033714285714285676,0.6471428571428572,0.2708571428571434,0.271428571428572,0.271428571428572
200,50,20,1,generate_graphs_1,0.1466,0.7959999999999999,0.9643999999999998,1.0,1.0,1.0,0.9905000000000003,1.0,0.48399999999999993,0.8480294498064521,0.5019710323121929,0.4539070259244384,0.10471428571428558,0.5685714285714287,0.6888571428571428,0.2857142857142854,0.2857142857142854,0.2857142857142854
200,50,20,1,generate_graphs_4,0.0508,0.04619999999999999,0.8900000000000001,0.9964999999999998,1.0,1.0,0.9900000000000003,1.0,0.5554999999999995,0.939912503737284,0.946519920495666,0.4738964011359527,0.03628571428571424,0.03299999999999997,0.6357142857142862,0.28471428571428553,0.2857142857142854,0.2857142857142854
200,49,21,1,generate_graphs_1,0.15714285714285714,0.813061224489796,0.9781632653061223,1.0,1.0,1.0,0.9933333333333328,1.0,0.5385714285714287,0.8474218425097725,0.5137648210344744,0.46730506899909635,0.10999999999999988,0.5691428571428575,0.6847142857142867,0.3000000000000005,0.3000000000000005,0.3000000000000005
200,49,21,1,generate_graphs_4,0.04693877551020409,0.04673469387755103,0.9151020408163264,0.9990476190476191,1.0,1.0,0.991428571428571,1.0,0.6009523809523815,0.9485840292152927,0.9492691623144264,0.4839381335275214,0.03285714285714282,0.03271428571428568,0.6405714285714288,0.2997142857142862,0.3000000000000005,0.3000000000000005
200,48,22,1,generate_graphs_1,0.1625,0.8258333333333333,0.9733333333333333,1.0,1.0,1.0,0.9931818181818179,1.0,0.600909090909091,0.8516483305633453,0.5265800402458657,0.4853854578486328,0.11142857142857127,0.5662857142857147,0.6674285714285708,0.31428571428571384,0.31428571428571384,0.31428571428571384
200,48,22,1,generate_graphs_4,0.04708333333333333,0.052083333333333336,0.9231250000000001,0.9995454545454546,1.0,1.0,0.9927272727272726,1.0,0.6181818181818186,0.951884572049711,0.9473825236055188,0.49851754174911567,0.03228571428571423,0.03571428571428569,0.6330000000000003,0.3141428571428567,0.31428571428571384,0.31428571428571384
200,47,23,1,generate_graphs_1,0.17212765957446813,0.8493617021276597,0.9663829787234042,1.0,1.0,1.0,0.993913043478261,1.0,0.6173913043478262,0.8525901303310645,0.5358030733152728,0.5035989951259663,0.11557142857142842,0.5702857142857147,0.6488571428571427,0.32857142857142896,0.32857142857142896,0.32857142857142896
200,47,23,1,generate_graphs_4,0.05170212765957445,0.049999999999999975,0.9361702127659572,0.9995652173913043,1.0,1.0,0.993913043478261,1.0,0.6517391304347828,0.950579629200289,0.9522085281909449,0.511383526486873,0.03471428571428566,0.03357142857142851,0.628571428571429,0.32842857142857185,0.32857142857142896,0.32857142857142896
200,46,24,1,generate_graphs_1,0.17217391304347826,0.8654347826086957,0.9754347826086956,1.0,1.0,1.0,0.9954166666666666,1.0,0.6670833333333331,0.8603062082275119,0.5469908848390875,0.5171159562291314,0.11314285714285703,0.5687142857142863,0.6410000000000007,0.34285714285714236,0.34285714285714236,0.34285714285714236
200,46,24,1,generate_graphs_4,0.04891304347826087,0.05065217391304346,0.9458695652173913,1.0,1.0,1.0,0.99625,1.0,0.6700000000000002,0.9560827999792951,0.9545095799220416,0.5247634555497769,0.03214285714285711,0.03328571428571424,0.6215714285714289,0.34285714285714236,0.34285714285714236,0.34285714285714236
200,45,25,1,generate_graphs_1,0.18377777777777776,0.8826666666666666,0.9677777777777777,1.0,1.0,1.0,0.9967999999999999,1.0,0.7167999999999998,0.8599782788673328,0.5576385095360711,0.5347823394055524,0.11814285714285695,0.5674285714285717,0.6221428571428579,0.3571428571428571,0.3571428571428571,0.3571428571428571
200,45,25,1,generate_graphs_4,0.05222222222222221,0.05688888888888888,0.9533333333333333,1.0,1.0,1.0,0.9967999999999999,1.0,0.7155999999999999,0.955925936154483,0.9520287548395195,0.5383690821979435,0.033571428571428544,0.036571428571428526,0.6128571428571431,0.3571428571428571,0.3571428571428571,0.3571428571428571
200,44,26,1,generate_graphs_1,0.20113636363636367,0.895,0.966590909090909,1.0,1.0,1.0,0.9976923076923078,1.0,0.7446153846153847,0.8567193806676883,0.5692966659212663,0.5503962943261248,0.12642857142857125,0.5625714285714288,0.6075714285714283,0.37142857142857133,0.37142857142857133,0.37142857142857133
200,44,26,1,generate_graphs_4,0.045681818181818185,0.04704545454545454,0.9647727272727272,1.0,1.0,1.0,0.9996153846153846,1.0,0.7442307692307693,0.9634108100044476,0.9623073669663404,0.5506882164429503,0.02871428571428568,0.02957142857142853,0.6064285714285715,0.37142857142857133,0.37142857142857133,0.37142857142857133
200,43,27,1,generate_graphs_1,0.18883720930232561,0.9120930232558139,0.9630232558139535,1.0,1.0,1.0,0.9985185185185185,1.0,0.7748148148148145,0.8709616195820619,0.5794843938532427,0.5662721018642748,0.11599999999999983,0.5602857142857149,0.5915714285714287,0.38571428571428606,0.38571428571428606,0.38571428571428606
200,43,27,1,generate_graphs_4,0.04511627906976745,0.04976744186046511,0.9665116279069766,0.9996296296296298,1.0,1.0,0.9992592592592593,1.0,0.773703703703704,0.9658422438138836,0.9625432114103866,0.5651909079326409,0.02771428571428568,0.03057142857142854,0.5937142857142862,0.3855714285714289,0.38571428571428606,0.38571428571428606
200,42,28,1,generate_graphs_1,0.2202380952380953,0.9195238095238094,0.9714285714285715,1.0,1.0,1.0,0.9982142857142857,1.0,0.807142857142857,0.8596635960356547,0.5920517349716566,0.5787294008207259,0.13214285714285695,0.551714285714286,0.5828571428571436,0.39999999999999925,0.39999999999999925,0.39999999999999925
200,42,28,1,generate_graphs_4,0.04404761904761906,0.05,0.9721428571428571,1.0,1.0,1.0,0.9992857142857143,1.0,0.7964285714285714,0.9685769042075253,0.9645509122298609,0.5784066855344602,0.026428571428571402,0.029999999999999964,0.583285714285715,0.39999999999999925,0.39999999999999925,0.39999999999999925
200,41,29,1,generate_graphs_1,0.2058536585365854,0.9302439024390244,0.970487804878049,1.0,1.0,1.0,0.9993103448275863,1.0,0.8306896551724141,0.8742299110182534,0.6034727116868385,0.5933196191812677,0.12057142857142839,0.5448571428571433,0.5684285714285722,0.41428571428571376,0.41428571428571376,0.41428571428571376
200,41,29,1,generate_graphs_4,0.04317073170731708,0.05024390243902439,0.9717073170731708,1.0,1.0,1.0,0.9996551724137932,1.0,0.8193103448275869,0.9708272176076682,0.9662072617137639,0.5929034877147334,0.025285714285714255,0.02942857142857139,0.5691428571428577,0.41428571428571376,0.41428571428571376,0.41428571428571376
200,40,30,1,generate_graphs_1,0.23075,0.9317499999999999,0.9664999999999999,1.0,1.0,1.0,0.9996666666666667,1.0,0.8546666666666666,0.8683760903552552,0.6169946939167219,0.6084040324325164,0.13185714285714267,0.5324285714285719,0.552285714285714,0.4285714285714286,0.4285714285714286,0.4285714285714286
200,40,30,1,generate_graphs_4,0.04425,0.051000000000000004,0.97425,1.0,1.0,1.0,0.9993333333333334,1.0,0.843333333333333,0.9718068631412125,0.9675101092059707,0.6063256210938246,0.02528571428571426,0.029142857142857102,0.5567142857142858,0.4285714285714286,0.4285714285714286,0.4285714285714286
200,39,31,1,generate_graphs_1,0.22641025641025642,0.9412820512820511,0.9692307692307693,1.0,1.0,1.0,0.9990322580645161,1.0,0.874193548387097,0.8768366998331707,0.6282609387479248,0.6213922196310682,0.12614285714285695,0.5244285714285718,0.5400000000000003,0.442857142857143,0.442857142857143,0.442857142857143
