m,n,effect_size,angle,model,row_wise_same,omni_same,mase_same,row_wise_diff,omni_diff,mase_diff
40,40,0.0,0,generate_graphs_4,0.03250000000000001,0.05450000000000001,0.06150000000000001,0.042,0.05650000000000001,0.05000000000000001
40,40,0.0,60,generate_graphs_4,0.030500000000000006,0.04700000000000001,0.05450000000000001,0.0405,0.05800000000000001,0.041
80,40,0.0,0,generate_graphs_4,0.03300000000000001,0.053000000000000005,0.04700000000000001,0.03300000000000001,0.042,0.0495
80,40,0.0,60,generate_graphs_4,0.044500000000000005,0.04700000000000001,0.039500000000000014,0.043000000000000003,0.03300000000000001,0.03850000000000001
120,40,0.0,0,generate_graphs_4,0.028000000000000004,0.043500000000000004,0.05200000000000001,0.037500000000000006,0.05450000000000001,0.053500000000000006
120,40,0.0,60,generate_graphs_4,0.030500000000000006,0.046000000000000006,0.03750000000000001,0.0395,0.051000000000000004,0.05750000000000001
160,40,0.0,0,generate_graphs_4,0.031,0.043000000000000003,0.06100000000000001,0.039,0.0465,0.069
160,40,0.0,60,generate_graphs_4,0.041,0.051000000000000004,0.08100000000000002,0.043500000000000004,0.04350000000000002,0.020000000000000004
200,40,0.0,0,generate_graphs_4,0.024,0.0395,0.03250000000000001,0.032,0.0415,0.03350000000000001
200,40,0.0,60,generate_graphs_4,0.029500000000000005,0.052000000000000005,0.04000000000000001,0.029000000000000005,0.045000000000000005,0.0405
40,80,0.0,0,generate_graphs_4,0.03725,0.05625,0.06375,0.0385,0.05075,0.06300000000000001
40,80,0.0,60,generate_graphs_4,0.03475,0.04825,0.0205,0.031999999999999994,0.053500000000000006,0.04975
80,80,0.0,0,generate_graphs_4,0.0295,0.052500000000000005,0.03625,0.03275,0.04875,0.03925
80,80,0.0,60,generate_graphs_4,0.03200000000000001,0.052750000000000005,0.04425,0.03175,0.043500000000000004,0.018
120,80,0.0,0,generate_graphs_4,0.0345,0.04775,0.028500000000000004,0.030500000000000006,0.04825,0.03075
120,80,0.0,60,generate_graphs_4,0.028750000000000005,0.051000000000000004,0.0475,0.03425,0.0475,0.041
160,80,0.0,0,generate_graphs_4,0.03125,0.0455,0.05500000000000001,0.03075,0.046,0.05475000000000001
160,80,0.0,60,generate_graphs_4,0.028749999999999998,0.047,0.05,0.03125,0.0495,0.07
200,80,0.0,0,generate_graphs_4,0.029500000000000005,0.047,0.028000000000000004,0.028000000000000004,0.04775,0.028000000000000004
200,80,0.0,60,generate_graphs_4,0.03375,0.049,0.01,0.0355,0.04575,0.03
40,120,0.0,0,generate_graphs_4,0.03599999999999999,0.04983333333333333,0.05283333333333333,0.034833333333333334,0.05533333333333333,0.052999999999999985
40,120,0.0,60,generate_graphs_4,0.03383333333333333,0.053,0.0325,0.034499999999999996,0.05833333333333333,0.04999999999999998
80,120,0.0,0,generate_graphs_4,0.025166666666666667,0.04583333333333333,0.055,0.03316666666666667,0.05016666666666667,0.055833333333333325
80,120,0.0,60,generate_graphs_4,0.029500000000000005,0.051,0.04999999999999998,0.03383333333333333,0.046000000000000006,0.015333333333333336
120,120,0.0,0,generate_graphs_4,0.030500000000000006,0.052,0.04283333333333334,0.029500000000000005,0.043166666666666666,0.04
120,120,0.0,60,generate_graphs_4,0.028333333333333335,0.0535,0.07000000000000002,0.029000000000000005,0.04766666666666667,0.030000000000000002
160,120,0.0,0,generate_graphs_4,0.026500000000000003,0.04983333333333332,0.034499999999999996,0.03116666666666667,0.04966666666666666,0.03933333333333333
160,120,0.0,60,generate_graphs_4,0.029833333333333337,0.049999999999999996,0.020000000000000004,0.030000000000000002,0.04533333333333333,0.060166666666666674
200,120,0.0,0,generate_graphs_4,0.031000000000000007,0.048999999999999995,0.06933333333333333,0.029,0.04783333333333332,0.07266666666666666
200,120,0.0,60,generate_graphs_4,0.030833333333333338,0.0495,0.04000000000000001,0.02916666666666667,0.05000000000000001,0.04416666666666666
40,160,0.0,0,generate_graphs_4,0.030375000000000006,0.052125,0.0355,0.03250000000000001,0.0495,0.03725
40,160,0.0,60,generate_graphs_4,0.033499999999999995,0.052500000000000005,0.041499999999999995,0.033125,0.050375,0.07925
80,160,0.0,0,generate_graphs_4,0.0295,0.051875000000000004,0.09062499999999998,0.030125000000000002,0.053125,0.09362499999999999
80,160,0.0,60,generate_graphs_4,0.028000000000000004,0.0475,0.020749999999999998,0.031125000000000003,0.050249999999999996,0.061625000000000006
120,160,0.0,0,generate_graphs_4,0.03325,0.048,0.028875,0.032625,0.047375,0.031125000000000003
120,160,0.0,60,generate_graphs_4,0.027625,0.049624999999999996,0.039999999999999994,0.031125000000000003,0.048375,0.039999999999999994
160,160,0.0,0,generate_graphs_4,0.027125,0.051000000000000004,0.06625,0.027500000000000004,0.049125,0.06275000000000001
