m,n,effect_size,row_wise_same,omni_same,mase_same,row_wise_diff,omni_diff,mase_diff
40,40,0.0,0.03600000000000001,0.056000000000000015,0.0475,0.036,0.054500000000000014,0.05200000000000001
80,40,0.0,0.036500000000000005,0.054000000000000006,0.051500000000000004,0.040000000000000015,0.052000000000000005,0.045500000000000006
120,40,0.0,0.029000000000000005,0.043500000000000004,0.018500000000000006,0.030000000000000006,0.05750000000000001,0.015500000000000003
160,40,0.0,0.03150000000000001,0.0625,0.06150000000000001,0.026000000000000002,0.053000000000000005,0.06700000000000002
200,40,0.0,0.03550000000000001,0.0505,0.05100000000000001,0.030500000000000006,0.045000000000000005,0.05750000000000001
40,80,0.0,0.0325,0.052250000000000005,0.05475000000000001,0.0325,0.052500000000000005,0.053000000000000005
80,80,0.0,0.027500000000000004,0.052750000000000005,0.052500000000000005,0.03275,0.05,0.052500000000000005
120,80,0.0,0.03375,0.04775,0.0645,0.03175,0.052000000000000005,0.0635
160,80,0.0,0.03150000000000001,0.0485,0.04475,0.03075,0.0465,0.0405
200,80,0.0,0.02975,0.04875,0.06000000000000001,0.031999999999999994,0.051500000000000004,0.05425
40,120,0.0,0.03333333333333333,0.053666666666666654,0.04066666666666667,0.028000000000000004,0.05633333333333333,0.03566666666666665
80,120,0.0,0.0325,0.052166666666666674,0.05449999999999999,0.030000000000000006,0.048,0.05633333333333334
120,120,0.0,0.03166666666666666,0.04433333333333332,0.10049999999999999,0.03150000000000001,0.05483333333333333,0.09699999999999999
160,120,0.0,0.033166666666666664,0.04483333333333334,0.03483333333333332,0.029833333333333337,0.05000000000000001,0.03566666666666665
200,120,0.0,0.03116666666666667,0.04816666666666666,0.038000000000000006,0.029000000000000005,0.046833333333333345,0.03633333333333333
40,160,0.0,0.03125000000000001,0.0485,0.06300000000000001,0.03225,0.04687500000000001,0.06675
80,160,0.0,0.030125000000000002,0.050875000000000004,0.053625,0.02975,0.055125,0.05575
120,160,0.0,0.0305,0.049375,0.05750000000000001,0.030875000000000003,0.05062500000000001,0.057125
160,160,0.0,0.028625,0.048625,0.03325,0.030125000000000002,0.05075,0.033125
200,160,0.0,0.028875000000000005,0.04975,0.06825,0.02525,0.049,0.06875
40,200,0.0,0.031700000000000006,0.0519,0.07070000000000001,0.0326,0.0548,0.06970000000000001
80,200,0.0,0.0323,0.0508,0.0702,0.029899999999999996,0.053099999999999994,0.0693
120,200,0.0,0.0274,0.0481,0.039099999999999996,0.0282,0.04940000000000001,0.0384
160,200,0.0,0.026999999999999996,0.0522,0.10429999999999998,0.030699999999999995,0.0481,0.10419999999999999
200,200,0.0,0.0272,0.04990000000000002,0.07819999999999999,0.0302,0.04449999999999999,0.07919999999999999
40,40,0.2,0.0405,0.05700000000000001,0.06050000000000001,0.03400000000000001,0.05350000000000001,0.05800000000000001
80,40,0.2,0.03450000000000001,0.057500000000000016,0.05050000000000001,0.03500000000000001,0.04950000000000001,0.05000000000000001
120,40,0.2,0.029500000000000005,0.04700000000000001,0.042,0.035,0.0425,0.045500000000000006
160,40,0.2,0.0405,0.05000000000000001,0.03250000000000001,0.0345,0.05050000000000001,0.03450000000000001
200,40,0.2,0.030500000000000006,0.0505,0.03150000000000001,0.022500000000000003,0.05250000000000001,0.03800000000000001
40,80,0.2,0.0305,0.05125,0.05600000000000001,0.03275,0.052750000000000005,0.061
80,80,0.2,0.030000000000000006,0.046,0.03975,0.037250000000000005,0.04925,0.03725
120,80,0.2,0.029249999999999998,0.04375,0.05675,0.028000000000000004,0.051250000000000004,0.05800000000000001
160,80,0.2,0.029500000000000005,0.04775,0.0455,0.0325,0.0495,0.04725
200,80,0.2,0.0355,0.04875,0.07025,0.030250000000000006,0.052500000000000005,0.07075000000000001
