m,p,delta,omni_power_node=1,omni_power_node=2,omni_power_node=3,omni_power_node=4,omni_power_node=5,omni_power_node=6,omni_power_node=7,omni_power_node=8,omni_power_node=9,omni_power_node=10,omni_power_node=11,omni_power_node=12,omni_power_node=13,omni_power_node=14,omni_power_node=15,omni_power_node=16,omni_power_node=17,omni_power_node=18,omni_power_node=19,omni_power_node=20,mase_power_node=1,mase_power_node=2,mase_power_node=3,mase_power_node=4,mase_power_node=5,mase_power_node=6,mase_power_node=7,mase_power_node=8,mase_power_node=9,mase_power_node=10,mase_power_node=11,mase_power_node=12,mase_power_node=13,mase_power_node=14,mase_power_node=15,mase_power_node=16,mase_power_node=17,mase_power_node=18,mase_power_node=19,mase_power_node=20
10,0.5,0.0,0.04,0.16,0.0,0.04,0.08,0.2,0.0,0.08,0.04,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.12,0.08,0.08,0.12,0.08,0.08,0.08,0.08,0.04,0.08,0.08,0.08,0.08,0.08,0.08,0.04,0.08,0.04,0.04,0.08,0.08
10,0.5,0.01,0.0,0.08,0.04,0.04,0.04,0.0,0.04,0.0,0.0,0.16,0.0,0.12,0.04,0.04,0.0,0.0,0.12,0.04,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.08,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
10,0.5,0.02,0.0,0.08,0.0,0.0,0.0,0.04,0.08,0.08,0.04,0.0,0.04,0.12,0.08,0.04,0.04,0.0,0.04,0.0,0.04,0.08,0.08,0.04,0.0,0.04,0.0,0.04,0.08,0.04,0.04,0.08,0.04,0.12,0.04,0.12,0.04,0.08,0.08,0.08,0.04,0.04
10,0.5,0.03,0.08,0.0,0.04,0.0,0.12,0.04,0.08,0.08,0.08,0.08,0.08,0.16,0.0,0.04,0.0,0.12,0.04,0.08,0.04,0.0,0.12,0.12,0.08,0.16,0.04,0.08,0.08,0.16,0.08,0.08,0.08,0.0,0.12,0.08,0.04,0.12,0.12,0.08,0.08,0.12
10,0.5,0.04,0.08,0.04,0.08,0.08,0.08,0.04,0.04,0.0,0.08,0.08,0.0,0.08,0.04,0.04,0.04,0.08,0.04,0.08,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.04
10,0.5,0.05,0.08,0.08,0.08,0.04,0.16,0.0,0.0,0.08,0.08,0.0,0.12,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.08,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.04,0.04,0.0,0.04
10,0.5,0.06,0.04,0.08,0.04,0.16,0.04,0.0,0.04,0.04,0.12,0.08,0.04,0.08,0.08,0.08,0.08,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.0,0.08,0.04,0.04,0.0,0.04,0.04,0.0,0.0,0.04,0.0,0.04,0.04,0.0
10,0.5,0.07,0.04,0.08,0.08,0.08,0.08,0.04,0.12,0.0,0.04,0.0,0.0,0.0,0.04,0.04,0.12,0.12,0.04,0.0,0.0,0.04,0.12,0.16,0.04,0.12,0.12,0.08,0.12,0.12,0.12,0.08,0.04,0.08,0.0,0.0,0.12,0.12,0.04,0.12,0.12,0.12
10,0.5,0.08,0.0,0.08,0.0,0.12,0.0,0.04,0.04,0.04,0.0,0.2,0.04,0.04,0.0,0.0,0.0,0.08,0.04,0.08,0.04,0.12,0.04,0.04,0.08,0.04,0.0,0.08,0.0,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.0,0.04,0.0
10,0.5,0.09,0.04,0.08,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.0,0.08,0.04,0.0,0.0,0.0,0.08,0.08,0.12,0.08,0.04,0.04,0.16,0.04,0.12,0.08,0.08,0.04,0.04,0.08,0.08,0.04,0.04,0.04,0.08,0.08,0.04,0.08
10,0.5,0.1,0.08,0.08,0.04,0.04,0.16,0.08,0.12,0.04,0.08,0.04,0.08,0.0,0.0,0.0,0.08,0.12,0.12,0.04,0.08,0.12,0.08,0.0,0.12,0.0,0.04,0.08,0.12,0.08,0.08,0.08,0.12,0.04,0.08,0.08,0.08,0.12,0.12,0.08,0.08,0.16
10,0.5,0.11,0.0,0.04,0.08,0.12,0.0,0.04,0.04,0.04,0.0,0.08,0.08,0.0,0.12,0.04,0.0,0.04,0.04,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0
10,0.5,0.12,0.04,0.08,0.04,0.08,0.12,0.04,0.0,0.0,0.04,0.12,0.04,0.04,0.0,0.04,0.0,0.04,0.12,0.12,0.0,0.12,0.04,0.04,0.0,0.08,0.04,0.04,0.08,0.12,0.04,0.04,0.04,0.08,0.04,0.08,0.08,0.08,0.04,0.08,0.12,0.12
10,0.5,0.13,0.08,0.08,0.04,0.04,0.04,0.08,0.08,0.08,0.04,0.12,0.04,0.12,0.12,0.04,0.0,0.04,0.0,0.08,0.0,0.04,0.08,0.04,0.08,0.16,0.04,0.12,0.04,0.08,0.12,0.08,0.08,0.12,0.16,0.12,0.08,0.12,0.08,0.04,0.08,0.04
10,0.5,0.14,0.04,0.04,0.04,0.08,0.08,0.04,0.08,0.04,0.04,0.04,0.08,0.0,0.12,0.04,0.12,0.0,0.0,0.0,0.08,0.04,0.0,0.04,0.16,0.12,0.16,0.08,0.12,0.04,0.08,0.04,0.04,0.08,0.08,0.04,0.12,0.04,0.08,0.04,0.12,0.12
10,0.5,0.15,0.08,0.08,0.0,0.08,0.0,0.04,0.08,0.08,0.08,0.04,0.08,0.04,0.04,0.0,0.04,0.04,0.08,0.04,0.2,0.0,0.12,0.12,0.08,0.12,0.12,0.16,0.08,0.08,0.12,0.04,0.04,0.08,0.08,0.12,0.08,0.08,0.12,0.12,0.04,0.04
