m,n,effect_size,model,row_wise_same,omni_same,mase_same,row_wise_diff,omni_diff,mase_diff
40,40,0.0,generate_graphs_1,0.0425,0.053000000000000005,0.06750000000000002,0.03800000000000001,0.04000000000000001,0.07800000000000001
80,40,0.0,generate_graphs_1,0.0415,0.05450000000000001,0.035,0.025500000000000005,0.04750000000000001,0.040000000000000015
120,40,0.0,generate_graphs_1,0.039,0.04950000000000001,0.05800000000000001,0.03400000000000001,0.051000000000000004,0.05950000000000001
160,40,0.0,generate_graphs_1,0.03150000000000001,0.051000000000000004,0.03900000000000001,0.031000000000000007,0.043000000000000003,0.045000000000000005
200,40,0.0,generate_graphs_1,0.03600000000000001,0.046,0.0215,0.026500000000000003,0.046000000000000006,0.03250000000000001
40,80,0.0,generate_graphs_1,0.033249999999999995,0.053500000000000006,0.031000000000000007,0.03275,0.05225,0.025500000000000002
80,80,0.0,generate_graphs_1,0.0395,0.05025,0.0665,0.0385,0.05475000000000001,0.0635
120,80,0.0,generate_graphs_1,0.03675,0.05225,0.043000000000000003,0.029500000000000005,0.04925,0.0445
160,80,0.0,generate_graphs_1,0.029750000000000006,0.05325,0.050249999999999996,0.034999999999999996,0.049,0.058499999999999996
200,80,0.0,generate_graphs_1,0.03075,0.04625,0.05349999999999999,0.0355,0.0505,0.07425000000000001
40,120,0.0,generate_graphs_1,0.033666666666666664,0.05066666666666666,0.008333333333333333,0.034833333333333334,0.052,0.004666666666666667
80,120,0.0,generate_graphs_1,0.029000000000000005,0.04583333333333333,0.06083333333333333,0.033499999999999995,0.049333333333333326,0.056833333333333326
120,120,0.0,generate_graphs_1,0.0325,0.04983333333333332,0.03983333333333334,0.03283333333333334,0.0515,0.034166666666666665
160,120,0.0,generate_graphs_1,0.033,0.04599999999999999,0.11233333333333334,0.02966666666666667,0.048666666666666664,0.0515
200,120,0.0,generate_graphs_1,0.039,0.04666666666666666,0.029666666666666668,0.03266666666666666,0.04566666666666666,0.058
40,160,0.0,generate_graphs_1,0.03475,0.04875,0.07362500000000001,0.033,0.053875000000000006,0.07475000000000001
80,160,0.0,generate_graphs_1,0.033875,0.048625,0.027875000000000004,0.03175,0.04675,0.029625000000000002
120,160,0.0,generate_graphs_1,0.029625000000000002,0.0485,0.06987500000000002,0.03075,0.049875,0.023875
160,160,0.0,generate_graphs_1,0.029249999999999998,0.047875,0.029750000000000006,0.029625000000000002,0.0455,0.04312499999999999
200,160,0.0,generate_graphs_1,0.030125000000000002,0.04712500000000001,0.04512499999999999,0.03275,0.04525,0.010124999999999999
40,200,0.0,generate_graphs_1,0.03439999999999999,0.049100000000000005,0.0151,0.029999999999999995,0.051100000000000007,0.062
80,200,0.0,generate_graphs_1,0.026699999999999998,0.0484,0.08059999999999999,0.0292,0.04699999999999999,0.03619999999999999
120,200,0.0,generate_graphs_1,0.028099999999999997,0.0546,0.03,0.0326,0.052700000000000004,0.032
160,200,0.0,generate_graphs_1,0.0287,0.04739999999999999,0.0592,0.029399999999999996,0.046599999999999996,0.0358
200,200,0.0,generate_graphs_1,0.027399999999999997,0.046,0.04999999999999999,0.0274,0.0479,0.0753
40,40,0.1,generate_graphs_1,0.042499999999999996,0.0495,0.06600000000000002,0.045500000000000006,0.06650000000000002,0.06700000000000002
80,40,0.1,generate_graphs_1,0.043000000000000003,0.054500000000000014,0.11550000000000002,0.06300000000000001,0.1055,0.13299999999999998
120,40,0.1,generate_graphs_1,0.044000000000000004,0.05800000000000002,0.221,0.06450000000000002,0.10700000000000003,0.21350000000000002
