m,n,effect_size,row_wise_same,omni_same,mase_same,row_wise_diff,omni_diff,mase_diff
40,40,0.0,0.8770000000000001,0.8299999999999998,0.95,0.883,0.8430000000000002,0.9485000000000001
80,40,0.0,0.9325000000000001,0.8855000000000001,0.9844999999999999,0.9409999999999998,0.8945000000000001,0.9834999999999997
120,40,0.0,0.9555,0.9259999999999999,0.9924999999999997,0.9579999999999999,0.9195,0.9944999999999998
160,40,0.0,0.9694999999999998,0.9280000000000002,0.9814999999999998,0.9714999999999998,0.9395000000000001,0.9789999999999999
200,40,0.0,0.9784999999999998,0.954,0.9964999999999999,0.9799999999999999,0.9485000000000001,0.9949999999999999
40,80,0.0,0.9147500000000001,0.892,0.9119999999999999,0.9287500000000002,0.8844999999999998,0.9109999999999999
80,80,0.0,0.9587499999999999,0.931,0.962,0.9574999999999999,0.9237500000000001,0.96225
120,80,0.0,0.97075,0.9434999999999999,0.9894999999999999,0.96975,0.9417500000000001,0.9897500000000001
160,80,0.0,0.9795,0.959,0.992,0.97625,0.9585000000000001,0.993
200,80,0.0,0.9835,0.959,0.98375,0.98325,0.9600000000000002,0.985
40,120,0.0,0.9378333333333334,0.9073333333333333,0.9703333333333333,0.9363333333333331,0.9079999999999999,0.9703333333333334
80,120,0.0,0.9695,0.9416666666666667,0.9616666666666667,0.9651666666666667,0.9446666666666665,0.9603333333333332
120,120,0.0,0.9789999999999999,0.9511666666666666,0.9843333333333333,0.9763333333333334,0.9538333333333333,0.9821666666666666
160,120,0.0,0.9846666666666667,0.9636666666666667,0.9848333333333333,0.9821666666666666,0.9631666666666666,0.9883333333333333
200,120,0.0,0.9861666666666667,0.9638333333333334,0.9816666666666669,0.9900000000000001,0.9713333333333335,0.9816666666666668
40,160,0.0,0.94575,0.9196249999999999,0.9368749999999999,0.9465,0.9171250000000001,0.9407499999999999
80,160,0.0,0.9727499999999999,0.944125,0.975375,0.9715000000000001,0.947625,0.976125
