,$p_{ij}$,test,power
0,0.001,t-test,0.267
1,0.01108080808080808,t-test,0.241
2,0.021161616161616163,t-test,0.183
3,0.031242424242424245,t-test,0.16
4,0.041323232323232324,t-test,0.176
5,0.0514040404040404,t-test,0.153
6,0.06148484848484849,t-test,0.157
7,0.07156565656565657,t-test,0.149
8,0.08164646464646465,t-test,0.159
9,0.09172727272727273,t-test,0.122
10,0.1018080808080808,t-test,0.116
11,0.11188888888888888,t-test,0.098
12,0.12196969696969698,t-test,0.108
13,0.13205050505050506,t-test,0.109
14,0.14213131313131314,t-test,0.097
15,0.15221212121212122,t-test,0.1
16,0.1622929292929293,t-test,0.089
17,0.17237373737373737,t-test,0.095
18,0.18245454545454545,t-test,0.101
19,0.19253535353535353,t-test,0.093
20,0.2026161616161616,t-test,0.092
21,0.2126969696969697,t-test,0.089
22,0.22277777777777777,t-test,0.092
23,0.23285858585858585,t-test,0.096
24,0.24293939393939395,t-test,0.082
25,0.25302020202020203,t-test,0.09
26,0.2631010101010101,t-test,0.093
27,0.2731818181818182,t-test,0.086
28,0.28326262626262627,t-test,0.096
29,0.29334343434343435,t-test,0.072
30,0.30342424242424243,t-test,0.087
31,0.3135050505050505,t-test,0.091
32,0.3235858585858586,t-test,0.077
33,0.33366666666666667,t-test,0.084
34,0.34374747474747475,t-test,0.075
35,0.3538282828282828,t-test,0.071
36,0.3639090909090909,t-test,0.091
37,0.373989898989899,t-test,0.088
38,0.38407070707070706,t-test,0.084
39,0.39415151515151514,t-test,0.072
40,0.4042323232323232,t-test,0.088
41,0.4143131313131313,t-test,0.103
42,0.4243939393939394,t-test,0.087
43,0.43447474747474746,t-test,0.085
44,0.44455555555555554,t-test,0.084
45,0.4546363636363636,t-test,0.107
46,0.4647171717171717,t-test,0.077
47,0.4747979797979798,t-test,0.094
48,0.4848787878787879,t-test,0.085
49,0.494959595959596,t-test,0.095
50,0.5050404040404041,t-test,0.088
51,0.5151212121212121,t-test,0.073
52,0.5252020202020202,t-test,0.099
53,0.5352828282828282,t-test,0.088
54,0.5453636363636364,t-test,0.089
55,0.5554444444444444,t-test,0.096
56,0.5655252525252525,t-test,0.09
57,0.5756060606060606,t-test,0.094
58,0.5856868686868687,t-test,0.07
59,0.5957676767676767,t-test,0.077
60,0.6058484848484849,t-test,0.078
61,0.6159292929292929,t-test,0.087
62,0.626010101010101,t-test,0.079
63,0.636090909090909,t-test,0.093
64,0.6461717171717172,t-test,0.074
65,0.6562525252525253,t-test,0.083
66,0.6663333333333333,t-test,0.098
67,0.6764141414141415,t-test,0.084
68,0.6864949494949495,t-test,0.072
69,0.6965757575757576,t-test,0.082
70,0.7066565656565656,t-test,0.08
71,0.7167373737373738,t-test,0.081
72,0.7268181818181818,t-test,0.08
73,0.7368989898989899,t-test,0.077
74,0.746979797979798,t-test,0.086
75,0.7570606060606061,t-test,0.093
76,0.7671414141414141,t-test,0.081
77,0.7772222222222223,t-test,0.092
78,0.7873030303030303,t-test,0.098
79,0.7973838383838384,t-test,0.097
80,0.8074646464646464,t-test,0.106
81,0.8175454545454546,t-test,0.074
82,0.8276262626262626,t-test,0.092
83,0.8377070707070707,t-test,0.093
84,0.8477878787878788,t-test,0.099
85,0.8578686868686869,t-test,0.079
86,0.8679494949494949,t-test,0.11
87,0.878030303030303,t-test,0.089
88,0.8881111111111111,t-test,0.098
89,0.8981919191919192,t-test,0.104
90,0.9082727272727272,t-test,0.123
91,0.9183535353535354,t-test,0.12
92,0.9284343434343434,t-test,0.136
93,0.9385151515151515,t-test,0.143
94,0.9485959595959595,t-test,0.145
95,0.9586767676767677,t-test,0.154
96,0.9687575757575758,t-test,0.161
97,0.9788383838383838,t-test,0.199
98,0.988919191919192,t-test,0.224
99,0.999,t-test,0.216
100,0.001,mann-whitney,0.464
101,0.01108080808080808,mann-whitney,0.407
102,0.021161616161616163,mann-whitney,0.345
103,0.031242424242424245,mann-whitney,0.303
104,0.041323232323232324,mann-whitney,0.323
