,$p_{ij}$,test,type1
0,0.0,t-test,0.0
1,0.010101010101010102,t-test,0.009
2,0.020202020202020204,t-test,0.035
3,0.030303030303030304,t-test,0.042
4,0.04040404040404041,t-test,0.032
5,0.05050505050505051,t-test,0.044
6,0.06060606060606061,t-test,0.045
7,0.07070707070707072,t-test,0.05
8,0.08080808080808081,t-test,0.044
9,0.09090909090909091,t-test,0.057
10,0.10101010101010102,t-test,0.051
11,0.11111111111111112,t-test,0.059
12,0.12121212121212122,t-test,0.048
13,0.13131313131313133,t-test,0.047
14,0.14141414141414144,t-test,0.06
15,0.15151515151515152,t-test,0.046
16,0.16161616161616163,t-test,0.038
17,0.17171717171717174,t-test,0.056
18,0.18181818181818182,t-test,0.047
19,0.19191919191919193,t-test,0.059
20,0.20202020202020204,t-test,0.051
21,0.21212121212121213,t-test,0.051
22,0.22222222222222224,t-test,0.047
23,0.23232323232323235,t-test,0.038
24,0.24242424242424243,t-test,0.043
25,0.25252525252525254,t-test,0.051
26,0.26262626262626265,t-test,0.041
27,0.27272727272727276,t-test,0.048
28,0.2828282828282829,t-test,0.051
29,0.29292929292929293,t-test,0.055
30,0.30303030303030304,t-test,0.035
31,0.31313131313131315,t-test,0.059
32,0.32323232323232326,t-test,0.045
33,0.33333333333333337,t-test,0.056
34,0.3434343434343435,t-test,0.046
35,0.3535353535353536,t-test,0.06
36,0.36363636363636365,t-test,0.059
37,0.37373737373737376,t-test,0.05
38,0.38383838383838387,t-test,0.067
39,0.393939393939394,t-test,0.043
40,0.4040404040404041,t-test,0.042
41,0.4141414141414142,t-test,0.053
42,0.42424242424242425,t-test,0.046
43,0.43434343434343436,t-test,0.041
44,0.4444444444444445,t-test,0.045
45,0.4545454545454546,t-test,0.037
46,0.4646464646464647,t-test,0.053
47,0.4747474747474748,t-test,0.045
48,0.48484848484848486,t-test,0.033
49,0.494949494949495,t-test,0.045
50,0.5050505050505051,t-test,0.045
51,0.5151515151515152,t-test,0.04
52,0.5252525252525253,t-test,0.051
53,0.5353535353535354,t-test,0.053
54,0.5454545454545455,t-test,0.041
55,0.5555555555555556,t-test,0.045
56,0.5656565656565657,t-test,0.053
57,0.5757575757575758,t-test,0.047
58,0.5858585858585859,t-test,0.052
59,0.595959595959596,t-test,0.049
60,0.6060606060606061,t-test,0.046
61,0.6161616161616162,t-test,0.057
62,0.6262626262626263,t-test,0.058
63,0.6363636363636365,t-test,0.055
64,0.6464646464646465,t-test,0.046
65,0.6565656565656566,t-test,0.037
66,0.6666666666666667,t-test,0.041
67,0.6767676767676768,t-test,0.048
68,0.686868686868687,t-test,0.051
69,0.696969696969697,t-test,0.047
70,0.7070707070707072,t-test,0.048
71,0.7171717171717172,t-test,0.058
72,0.7272727272727273,t-test,0.054
73,0.7373737373737375,t-test,0.055
74,0.7474747474747475,t-test,0.044
75,0.7575757575757577,t-test,0.047
76,0.7676767676767677,t-test,0.049
77,0.7777777777777778,t-test,0.054
78,0.787878787878788,t-test,0.044
79,0.797979797979798,t-test,0.043
80,0.8080808080808082,t-test,0.056
81,0.8181818181818182,t-test,0.051
82,0.8282828282828284,t-test,0.046
83,0.8383838383838385,t-test,0.039
84,0.8484848484848485,t-test,0.048
85,0.8585858585858587,t-test,0.052
86,0.8686868686868687,t-test,0.054
87,0.8787878787878789,t-test,0.048
88,0.888888888888889,t-test,0.056
89,0.8989898989898991,t-test,0.049
90,0.9090909090909092,t-test,0.049
91,0.9191919191919192,t-test,0.05
