p,delta,m,fraction_correct,all_correct
0.5,0.0,10.0,0.0416,0.0
0.5,0.005050505050505051,10.0,0.041,0.0
0.5,0.010101010101010102,10.0,0.04000000000000001,0.0
0.5,0.015151515151515152,10.0,0.0442,0.0
0.5,0.020202020202020204,10.0,0.039799999999999995,0.0
0.5,0.025252525252525256,10.0,0.0432,0.0
0.5,0.030303030303030304,10.0,0.04259999999999999,0.0
0.5,0.03535353535353536,10.0,0.045200000000000004,0.0
0.5,0.04040404040404041,10.0,0.0538,0.0
0.5,0.045454545454545456,10.0,0.0432,0.0
0.5,0.05050505050505051,10.0,0.047799999999999995,0.0
0.5,0.05555555555555556,10.0,0.05240000000000001,0.0
0.5,0.06060606060606061,10.0,0.0492,0.0
0.5,0.06565656565656566,10.0,0.05,0.0
0.5,0.07070707070707072,10.0,0.053,0.0
0.5,0.07575757575757576,10.0,0.0594,0.0
0.5,0.08080808080808081,10.0,0.05240000000000001,0.0
0.5,0.08585858585858587,10.0,0.051800000000000006,0.0
0.5,0.09090909090909091,10.0,0.05919999999999999,0.0
0.5,0.09595959595959597,10.0,0.061200000000000004,0.0
0.5,0.10101010101010102,10.0,0.05959999999999999,0.0
0.5,0.10606060606060606,10.0,0.065,0.0
0.5,0.11111111111111112,10.0,0.061799999999999994,0.0
0.5,0.11616161616161617,10.0,0.0678,0.0
0.5,0.12121212121212122,10.0,0.0724,0.0
0.5,0.12626262626262627,10.0,0.075,0.0
0.5,0.13131313131313133,10.0,0.0712,0.0
0.5,0.13636363636363638,10.0,0.07619999999999999,0.0
0.5,0.14141414141414144,10.0,0.07759999999999999,0.0
0.5,0.14646464646464646,10.0,0.0862,0.0
0.5,0.15151515151515152,10.0,0.0918,0.0
0.5,0.15656565656565657,10.0,0.0902,0.0
0.5,0.16161616161616163,10.0,0.09620000000000002,0.0
0.5,0.16666666666666669,10.0,0.10080000000000001,0.0
0.5,0.17171717171717174,10.0,0.09960000000000001,0.0
0.5,0.1767676767676768,10.0,0.11,0.0
0.5,0.18181818181818182,10.0,0.12079999999999999,0.0
0.5,0.18686868686868688,10.0,0.11780000000000002,0.0
0.5,0.19191919191919193,10.0,0.11780000000000002,0.0
0.5,0.196969696969697,10.0,0.13240000000000002,0.0
0.5,0.20202020202020204,10.0,0.1274,0.0
0.5,0.2070707070707071,10.0,0.1308,0.0
0.5,0.21212121212121213,10.0,0.1434,0.0
0.5,0.21717171717171718,10.0,0.14060000000000003,0.0
0.5,0.22222222222222224,10.0,0.15080000000000002,0.0
0.5,0.2272727272727273,10.0,0.159,0.0
0.5,0.23232323232323235,10.0,0.165,0.0
0.5,0.2373737373737374,10.0,0.17260000000000003,0.0
0.5,0.24242424242424243,10.0,0.17320000000000002,0.0
0.5,0.2474747474747475,10.0,0.1756,0.0
0.5,0.25252525252525254,10.0,0.1892,0.0
0.5,0.2575757575757576,10.0,0.18480000000000002,0.0
0.5,0.26262626262626265,10.0,0.1984,0.0
0.5,0.2676767676767677,10.0,0.198,0.0
0.5,0.27272727272727276,10.0,0.22560000000000002,0.0
0.5,0.2777777777777778,10.0,0.22960000000000003,0.0
0.5,0.2828282828282829,10.0,0.2248,0.0
0.5,0.2878787878787879,10.0,0.24540000000000003,0.0
0.5,0.29292929292929293,10.0,0.24540000000000003,0.0
0.5,0.297979797979798,10.0,0.24680000000000002,0.0
0.5,0.30303030303030304,10.0,0.2522,0.0
0.5,0.3080808080808081,10.0,0.2698,0.0
0.5,0.31313131313131315,10.0,0.26580000000000004,0.0
0.5,0.31818181818181823,10.0,0.28919999999999996,0.0
0.5,0.32323232323232326,10.0,0.299,0.0
0.5,0.3282828282828283,10.0,0.2964,0.0
0.5,0.33333333333333337,10.0,0.32,0.0
0.5,0.3383838383838384,10.0,0.32680000000000003,0.0
0.5,0.3434343434343435,10.0,0.3276,0.0
0.5,0.3484848484848485,10.0,0.343,0.0
0.5,0.3535353535353536,10.0,0.3618,0.0
0.5,0.3585858585858586,10.0,0.3618,0.0
0.5,0.36363636363636365,10.0,0.3798,0.0
0.5,0.36868686868686873,10.0,0.38780000000000003,0.0
0.5,0.37373737373737376,10.0,0.4034,0.0
0.5,0.37878787878787884,10.0,0.4128,0.0
0.5,0.38383838383838387,10.0,0.4194,0.0
0.5,0.3888888888888889,10.0,0.44260000000000005,0.0
0.5,0.393939393939394,10.0,0.45359999999999995,0.0
0.5,0.398989898989899,10.0,0.4588,0.002
0.5,0.4040404040404041,10.0,0.4736,0.0
0.5,0.4090909090909091,10.0,0.4852,0.0
0.5,0.4141414141414142,10.0,0.5156000000000001,0.0
0.5,0.4191919191919192,10.0,0.5367999999999999,0.008
0.5,0.42424242424242425,10.0,0.5237999999999999,0.0
0.5,0.42929292929292934,10.0,0.5578,0.002
0.5,0.43434343434343436,10.0,0.5838,0.002
0.5,0.43939393939393945,10.0,0.5918,0.002
0.5,0.4444444444444445,10.0,0.6103999999999999,0.004
0.5,0.44949494949494956,10.0,0.6334,0.008
0.5,0.4545454545454546,10.0,0.6317999999999999,0.008
0.5,0.4595959595959596,10.0,0.6552,0.014
0.5,0.4646464646464647,10.0,0.6784,0.024
0.5,0.4696969696969697,10.0,0.6928,0.026
0.5,0.4747474747474748,10.0,0.7142000000000001,0.036
0.5,0.47979797979797983,10.0,0.7416,0.054
0.5,0.48484848484848486,10.0,0.7622000000000001,0.056
0.5,0.48989898989898994,10.0,0.7766000000000001,0.08
0.5,0.494949494949495,10.0,0.8038000000000001,0.124
0.5,0.5,10.0,0.8162,0.132
0.5,0.0,20.0,0.0414,0.0
0.5,0.005050505050505051,20.0,0.0396,0.0
0.5,0.010101010101010102,20.0,0.039200000000000006,0.0
0.5,0.015151515151515152,20.0,0.045200000000000004,0.0
0.5,0.020202020202020204,20.0,0.047200000000000006,0.0
0.5,0.025252525252525256,20.0,0.045200000000000004,0.0
0.5,0.030303030303030304,20.0,0.048,0.0
0.5,0.03535353535353536,20.0,0.047200000000000006,0.0
0.5,0.04040404040404041,20.0,0.042,0.0
0.5,0.045454545454545456,20.0,0.0494,0.0
0.5,0.05050505050505051,20.0,0.0534,0.0
0.5,0.05555555555555556,20.0,0.058,0.0
0.5,0.06060606060606061,20.0,0.06,0.0
0.5,0.06565656565656566,20.0,0.062200000000000005,0.0
0.5,0.07070707070707072,20.0,0.061200000000000004,0.0
0.5,0.07575757575757576,20.0,0.0668,0.0
0.5,0.08080808080808081,20.0,0.0678,0.0
0.5,0.08585858585858587,20.0,0.072,0.0
0.5,0.09090909090909091,20.0,0.0796,0.0
0.5,0.09595959595959597,20.0,0.08220000000000001,0.0
0.5,0.10101010101010102,20.0,0.0916,0.0
0.5,0.10606060606060606,20.0,0.09340000000000001,0.0
0.5,0.11111111111111112,20.0,0.0928,0.0
0.5,0.11616161616161617,20.0,0.1002,0.0
0.5,0.12121212121212122,20.0,0.1068,0.0
0.5,0.12626262626262627,20.0,0.11220000000000001,0.0
0.5,0.13131313131313133,20.0,0.1164,0.0
0.5,0.13636363636363638,20.0,0.131,0.0
0.5,0.14141414141414144,20.0,0.13460000000000003,0.0
0.5,0.14646464646464646,20.0,0.1468,0.0
0.5,0.15151515151515152,20.0,0.1608,0.0
0.5,0.15656565656565657,20.0,0.1592,0.0
0.5,0.16161616161616163,20.0,0.1638,0.0
0.5,0.16666666666666669,20.0,0.1738,0.0
0.5,0.17171717171717174,20.0,0.19960000000000003,0.0
0.5,0.1767676767676768,20.0,0.1926,0.0
0.5,0.18181818181818182,20.0,0.2044,0.0
0.5,0.18686868686868688,20.0,0.2144,0.0
0.5,0.19191919191919193,20.0,0.21500000000000002,0.0
0.5,0.196969696969697,20.0,0.25260000000000005,0.0
0.5,0.20202020202020204,20.0,0.25980000000000003,0.0
0.5,0.2070707070707071,20.0,0.2606,0.0
0.5,0.21212121212121213,20.0,0.26979999999999993,0.0
0.5,0.21717171717171718,20.0,0.28920000000000007,0.0
0.5,0.22222222222222224,20.0,0.29140000000000005,0.0
0.5,0.2272727272727273,20.0,0.30820000000000003,0.0
0.5,0.23232323232323235,20.0,0.32720000000000005,0.0
0.5,0.2373737373737374,20.0,0.3366,0.0
0.5,0.24242424242424243,20.0,0.3534,0.0
0.5,0.2474747474747475,20.0,0.3764,0.0
0.5,0.25252525252525254,20.0,0.387,0.0
0.5,0.2575757575757576,20.0,0.38439999999999996,0.0
0.5,0.26262626262626265,20.0,0.4058,0.0
0.5,0.2676767676767677,20.0,0.4282,0.0
0.5,0.27272727272727276,20.0,0.441,0.0
0.5,0.2777777777777778,20.0,0.45580000000000004,0.0
0.5,0.2828282828282829,20.0,0.4714,0.0
0.5,0.2878787878787879,20.0,0.487,0.0
0.5,0.29292929292929293,20.0,0.49679999999999996,0.0
0.5,0.297979797979798,20.0,0.5266,0.004
0.5,0.30303030303030304,20.0,0.537,0.0
0.5,0.3080808080808081,20.0,0.558,0.006
0.5,0.31313131313131315,20.0,0.5725999999999999,0.008
0.5,0.31818181818181823,20.0,0.5835999999999999,0.002
0.5,0.32323232323232326,20.0,0.5948,0.004
0.5,0.3282828282828283,20.0,0.6166,0.01
0.5,0.33333333333333337,20.0,0.6496000000000001,0.014
0.5,0.3383838383838384,20.0,0.6592,0.022
0.5,0.3434343434343435,20.0,0.6711999999999999,0.022
0.5,0.3484848484848485,20.0,0.6914,0.02
0.5,0.3535353535353536,20.0,0.6964,0.024
0.5,0.3585858585858586,20.0,0.7285999999999999,0.034
0.5,0.36363636363636365,20.0,0.7295999999999999,0.038
0.5,0.36868686868686873,20.0,0.7382000000000001,0.05
0.5,0.37373737373737376,20.0,0.7727999999999999,0.07
0.5,0.37878787878787884,20.0,0.7864000000000001,0.082
0.5,0.38383838383838387,20.0,0.7866000000000001,0.078
0.5,0.3888888888888889,20.0,0.808,0.136
0.5,0.393939393939394,20.0,0.8168000000000001,0.118
0.5,0.398989898989899,20.0,0.8450000000000001,0.174
0.5,0.4040404040404041,20.0,0.8556,0.254
0.5,0.4090909090909091,20.0,0.8572000000000001,0.192
0.5,0.4141414141414142,20.0,0.8676000000000001,0.242
0.5,0.4191919191919192,20.0,0.886,0.308
0.5,0.42424242424242425,20.0,0.9010000000000001,0.346
0.5,0.42929292929292934,20.0,0.9024000000000001,0.364
0.5,0.43434343434343436,20.0,0.9206000000000001,0.432
0.5,0.43939393939393945,20.0,0.9294000000000001,0.472
0.5,0.4444444444444445,20.0,0.9384000000000001,0.532
0.5,0.44949494949494956,20.0,0.9402,0.528
0.5,0.4545454545454546,20.0,0.9534000000000001,0.616
0.5,0.4595959595959596,20.0,0.958,0.646
0.5,0.4646464646464647,20.0,0.964,0.714
0.5,0.4696969696969697,20.0,0.972,0.75
0.5,0.4747474747474748,20.0,0.983,0.844
0.5,0.47979797979797983,20.0,0.9838000000000002,0.848
0.5,0.48484848484848486,20.0,0.9872000000000001,0.876
0.5,0.48989898989898994,20.0,0.993,0.934
0.5,0.494949494949495,20.0,0.9962000000000001,0.962
0.5,0.5,20.0,0.9984000000000001,0.984
0.5,0.0,30.0,0.052199999999999996,0.0
0.5,0.005050505050505051,30.0,0.049,0.0
0.5,0.010101010101010102,30.0,0.0528,0.0
0.5,0.015151515151515152,30.0,0.055,0.0
0.5,0.020202020202020204,30.0,0.047599999999999996,0.0
0.5,0.025252525252525256,30.0,0.05739999999999999,0.0
0.5,0.030303030303030304,30.0,0.0636,0.0
