m,mean1,mean2,var_1,var_2,ttest_ind_precision_at_5,ttest_ind_precision_at_6,ttest_ind_precision_at_7,ttest_ind_precision_at_8,ttest_ind_precision_at_9,ttest_ind_precision_at_10,wilcoxon_precision_at_5,wilcoxon_precision_at_6,wilcoxon_precision_at_7,wilcoxon_precision_at_8,wilcoxon_precision_at_9,wilcoxon_precision_at_10,mannwhitneyu_precision_at_5,mannwhitneyu_precision_at_6,mannwhitneyu_precision_at_7,mannwhitneyu_precision_at_8,mannwhitneyu_precision_at_9,mannwhitneyu_precision_at_10,ttest_ind_recall_at_5,ttest_ind_recall_at_6,ttest_ind_recall_at_7,ttest_ind_recall_at_8,ttest_ind_recall_at_9,ttest_ind_recall_at_10,wilcoxon_recall_at_5,wilcoxon_recall_at_6,wilcoxon_recall_at_7,wilcoxon_recall_at_8,wilcoxon_recall_at_9,wilcoxon_recall_at_10,mannwhitneyu_recall_at_5,mannwhitneyu_recall_at_6,mannwhitneyu_recall_at_7,mannwhitneyu_recall_at_8,mannwhitneyu_recall_at_9,mannwhitneyu_recall_at_10,multiscale_graphcorr_precision_at_5,multiscale_graphcorr_precision_at_6,multiscale_graphcorr_precision_at_7,multiscale_graphcorr_precision_at_8,multiscale_graphcorr_precision_at_9,multiscale_graphcorr_precision_at_10,multiscale_graphcorr_recall_at_5,multiscale_graphcorr_recall_at_6,multiscale_graphcorr_recall_at_7,multiscale_graphcorr_recall_at_8,multiscale_graphcorr_recall_at_9,multiscale_graphcorr_recall_at_10
10,0,0,0.5,0.5,0.04400000000000001,0.04666666666666666,0.045714285714285714,0.045,0.04333333333333333,0.04400000000000001,0.05600000000000002,0.046666666666666655,0.04285714285714285,0.04,0.04333333333333335,0.04300000000000001,0.04400000000000001,0.044999999999999984,0.04428571428571428,0.04125,0.040000000000000015,0.04200000000000001,0.02200000000000001,0.02800000000000001,0.032000000000000015,0.03600000000000002,0.03900000000000002,0.04400000000000001,0.02800000000000001,0.02800000000000001,0.030000000000000013,0.032000000000000015,0.03900000000000002,0.04300000000000001,0.02200000000000001,0.02700000000000001,0.031000000000000014,0.033000000000000015,0.03600000000000002,0.04200000000000001,0.06200000000000003,0.05666666666666665,0.06142857142857142,0.06125,0.05888888888888887,0.056999999999999974,0.031000000000000014,0.034000000000000016,0.04300000000000002,0.049,0.052999999999999985,0.056999999999999974
10,0,0,0.5,0.55,0.05400000000000001,0.05333333333333335,0.05571428571428574,0.05375,0.05666666666666662,0.05399999999999998,0.060000000000000026,0.05833333333333335,0.06142857142857145,0.06,0.05999999999999996,0.060999999999999964,0.06800000000000002,0.060000000000000026,0.05571428571428573,0.05375,0.05444444444444441,0.05399999999999997,0.02700000000000001,0.032000000000000015,0.03900000000000002,0.04300000000000001,0.05099999999999999,0.05399999999999998,0.030000000000000013,0.03500000000000002,0.04300000000000001,0.048,0.05399999999999999,0.060999999999999964,0.03400000000000001,0.03600000000000001,0.03900000000000002,0.04300000000000001,0.04899999999999997,0.05399999999999997,0.04,0.045,0.047142857142857146,0.0475,0.04444444444444444,0.04500000000000001,0.02,0.02700000000000001,0.033000000000000015,0.03800000000000001,0.04000000000000002,0.04500000000000001
10,0,0,0.5,0.6,0.04400000000000001,0.044999999999999984,0.04857142857142857,0.055,0.04999999999999999,0.047,0.05800000000000001,0.05666666666666668,0.05714285714285716,0.05375,0.05444444444444442,0.053999999999999986,0.04800000000000002,0.05166666666666666,0.04857142857142857,0.05125,0.051111111111111114,0.053999999999999986,0.02200000000000001,0.02700000000000001,0.034000000000000016,0.044,0.045,0.047,0.029000000000000005,0.034000000000000016,0.04000000000000002,0.04300000000000001,0.049,0.053999999999999986,0.02400000000000001,0.031000000000000014,0.034000000000000016,0.041000000000000016,0.04600000000000001,0.053999999999999986,0.07400000000000004,0.06833333333333336,0.06714285714285717,0.06125,0.05999999999999996,0.06299999999999997,0.03700000000000002,0.041000000000000016,0.046999999999999986,0.049,0.05399999999999998,0.06299999999999997
10,0,0,0.5,0.65,0.03800000000000001,0.038333333333333316,0.042857142857142864,0.03875,0.038888888888888896,0.04000000000000002,0.04800000000000002,0.04666666666666667,0.047142857142857146,0.0425,0.04999999999999998,0.046,0.04400000000000001,0.045,0.04142857142857141,0.0425,0.04444444444444444,0.04300000000000001,0.01900000000000001,0.023000000000000003,0.030000000000000013,0.031000000000000014,0.03500000000000002,0.04000000000000002,0.02400000000000001,0.02800000000000001,0.033000000000000015,0.034000000000000016,0.045,0.046,0.02200000000000001,0.02700000000000001,0.029000000000000005,0.034000000000000016,0.04000000000000002,0.04300000000000001,0.060000000000000026,0.0666666666666667,0.0628571428571429,0.06,0.05444444444444441,0.05699999999999996,0.030000000000000013,0.04000000000000002,0.044,0.048,0.049,0.05699999999999996
10,0,0,0.5,0.7,0.05600000000000003,0.055000000000000014,0.0542857142857143,0.06125,0.056666666666666636,0.054999999999999986,0.060000000000000026,0.06,0.054285714285714284,0.0525,0.053333333333333316,0.054999999999999986,0.06400000000000003,0.06166666666666669,0.0585714285714286,0.05875,0.06111111111111105,0.057999999999999975,0.02800000000000001,0.033000000000000015,0.038000000000000034,0.049,0.051,0.054999999999999986,0.030000000000000013,0.036000000000000025,0.038000000000000034,0.04200000000000003,0.04800000000000002,0.054999999999999986,0.032000000000000015,0.03700000000000002,0.041000000000000016,0.04700000000000002,0.05499999999999998,0.057999999999999975,0.060000000000000026,0.05833333333333335,0.06142857142857148,0.06125,0.061111111111111074,0.058999999999999976,0.03000000000000002,0.035000000000000024,0.04300000000000002,0.049,0.054999999999999986,0.058999999999999976
10,0,0,0.5,0.75,0.044,0.041666666666666664,0.04285714285714285,0.04125,0.046666666666666655,0.047,0.04600000000000002,0.04833333333333333,0.04857142857142858,0.0525,0.052222222222222205,0.04999999999999999,0.04600000000000001,0.03999999999999999,0.045714285714285714,0.0425,0.048888888888888885,0.04999999999999999,0.022,0.025000000000000005,0.030000000000000013,0.033000000000000015,0.04200000000000001,0.047,0.02300000000000001,0.029000000000000012,0.034000000000000016,0.04200000000000001,0.047,0.04999999999999999,0.02300000000000001,0.02400000000000001,0.032000000000000015,0.034000000000000016,0.044,0.04999999999999999,0.07600000000000004,0.06833333333333334,0.06571428571428574,0.06125,0.05888888888888885,0.054999999999999966,0.03800000000000002,0.041000000000000016,0.046000000000000006,0.049,0.052999999999999985,0.054999999999999966
10,0,0,0.5,0.8,0.07400000000000004,0.06500000000000003,0.06714285714285717,0.06875,0.06888888888888882,0.06799999999999995,0.07000000000000002,0.07166666666666671,0.06857142857142863,0.0625,0.0633333333333333,0.06399999999999997,0.06600000000000003,0.07166666666666671,0.07428571428571434,0.0675,0.06666666666666661,0.06799999999999998,0.03700000000000002,0.03900000000000002,0.047,0.054999999999999966,0.06199999999999995,0.06799999999999995,0.03500000000000002,0.04300000000000001,0.048,0.04999999999999999,0.056999999999999974,0.06399999999999997,0.033000000000000015,0.04300000000000001,0.051999999999999984,0.05399999999999999,0.05999999999999996,0.06799999999999998,0.07000000000000002,0.0716666666666667,0.06714285714285717,0.0675,0.06666666666666664,0.065,0.03500000000000002,0.04300000000000002,0.047,0.053999999999999986,0.06,0.065
10,0,0,0.5,0.8500000000000001,0.04800000000000002,0.044999999999999984,0.04714285714285713,0.04625,0.04999999999999999,0.05000000000000001,0.05000000000000001,0.05333333333333333,0.05285714285714285,0.05625,0.0511111111111111,0.048000000000000015,0.03800000000000001,0.04,0.051428571428571435,0.0475,0.04777777777777778,0.049,0.02400000000000001,0.02700000000000001,0.033000000000000015,0.03700000000000002,0.04500000000000002,0.05000000000000001,0.025000000000000005,0.032000000000000015,0.03700000000000001,0.04500000000000001,0.046000000000000006,0.048000000000000015,0.01900000000000001,0.02400000000000001,0.03600000000000002,0.03800000000000002,0.04300000000000002,0.049,0.08200000000000003,0.07833333333333335,0.07571428571428575,0.07375,0.07222222222222217,0.07299999999999995,0.041000000000000016,0.047,0.053,0.058999999999999976,0.06499999999999996,0.07299999999999995
10,0,0,0.5,0.9,0.05400000000000002,0.060000000000000026,0.060000000000000026,0.0575,0.056666666666666636,0.060999999999999985,0.054000000000000034,0.04999999999999999,0.051428571428571435,0.04875,0.04777777777777778,0.049,0.05600000000000002,0.05666666666666668,0.052857142857142866,0.05375,0.05444444444444442,0.05199999999999999,0.02700000000000001,0.03600000000000002,0.042000000000000016,0.046,0.051,0.060999999999999985,0.027000000000000014,0.030000000000000013,0.03600000000000002,0.03900000000000002,0.04300000000000001,0.049,0.02800000000000001,0.034000000000000016,0.03700000000000002,0.04300000000000002,0.04899999999999999,0.05199999999999999,0.07400000000000004,0.0666666666666667,0.07000000000000005,0.065,0.06444444444444439,0.05899999999999996,0.03700000000000002,0.04000000000000002,0.049,0.051999999999999984,0.05799999999999996,0.05899999999999996
10,0,0,0.5,0.95,0.040000000000000015,0.03499999999999999,0.034285714285714274,0.035,0.03666666666666668,0.041000000000000016,0.05600000000000002,0.05666666666666665,0.055714285714285716,0.055,0.0511111111111111,0.048000000000000015,0.040000000000000015,0.038333333333333316,0.03999999999999999,0.0375,0.041111111111111126,0.04600000000000001,0.020000000000000004,0.021000000000000005,0.02400000000000001,0.02800000000000001,0.033000000000000015,0.041000000000000016,0.02800000000000001,0.034000000000000016,0.03900000000000002,0.04400000000000002,0.04600000000000001,0.048000000000000015,0.020000000000000004,0.02300000000000001,0.02800000000000001,0.030000000000000013,0.03700000000000002,0.04600000000000001,0.06400000000000003,0.06333333333333334,0.06571428571428574,0.06625,0.0655555555555555,0.06299999999999999,0.032000000000000015,0.03800000000000002,0.046000000000000006,0.052999999999999985,0.058999999999999976,0.06299999999999999
