m,mean1,mean2,var_1,var_2,multiscale_graphcorr_precision_at_5,multiscale_graphcorr_precision_at_6,multiscale_graphcorr_precision_at_7,multiscale_graphcorr_precision_at_8,multiscale_graphcorr_precision_at_9,multiscale_graphcorr_precision_at_10,multiscale_graphcorr_recall_at_5,multiscale_graphcorr_recall_at_6,multiscale_graphcorr_recall_at_7,multiscale_graphcorr_recall_at_8,multiscale_graphcorr_recall_at_9,multiscale_graphcorr_recall_at_10
10,0,0,0.5,0.5,0.06200000000000003,0.056666666666666664,0.06142857142857143,0.06125,0.058888888888888866,0.05699999999999998,0.031000000000000014,0.034000000000000016,0.04300000000000002,0.048999999999999995,0.05299999999999998,0.05699999999999998
10,0,0,0.5,0.55,0.04,0.045,0.047142857142857146,0.0475,0.04444444444444444,0.04500000000000001,0.02,0.02700000000000001,0.033000000000000015,0.03800000000000001,0.040000000000000015,0.04500000000000001
10,0,0,0.5,0.6,0.07400000000000004,0.06833333333333336,0.06714285714285717,0.06125,0.05999999999999996,0.06299999999999997,0.03700000000000002,0.041000000000000016,0.04699999999999999,0.048999999999999995,0.05399999999999998,0.06299999999999997
10,0,0,0.5,0.65,0.060000000000000026,0.0666666666666667,0.0628571428571429,0.06,0.05444444444444441,0.056999999999999974,0.030000000000000013,0.040000000000000015,0.044000000000000004,0.048,0.048999999999999995,0.056999999999999974
10,0,0,0.5,0.7,0.06000000000000003,0.05833333333333335,0.06142857142857147,0.06125,0.061111111111111074,0.05899999999999998,0.030000000000000016,0.035000000000000024,0.04300000000000002,0.049,0.05499999999999999,0.05899999999999998
10,0,0,0.5,0.75,0.07600000000000004,0.06833333333333334,0.06571428571428574,0.06125,0.05888888888888885,0.05499999999999997,0.03800000000000002,0.041000000000000016,0.046000000000000006,0.049,0.05299999999999999,0.05499999999999997
10,0,0,0.5,0.8,0.07000000000000003,0.0716666666666667,0.06714285714285717,0.0675,0.06666666666666664,0.065,0.03500000000000002,0.04300000000000002,0.047,0.05399999999999999,0.06,0.065
10,0,0,0.5,0.8500000000000001,0.08200000000000003,0.07833333333333335,0.07571428571428575,0.07375,0.07222222222222217,0.07299999999999995,0.041000000000000016,0.047,0.053,0.05899999999999998,0.06499999999999996,0.07299999999999995
10,0,0,0.5,0.9,0.07400000000000004,0.0666666666666667,0.07000000000000005,0.065,0.06444444444444439,0.05899999999999996,0.03700000000000002,0.040000000000000015,0.048999999999999995,0.051999999999999984,0.05799999999999996,0.05899999999999996
10,0,0,0.5,0.95,0.06400000000000003,0.06333333333333334,0.06571428571428574,0.06625,0.0655555555555555,0.06299999999999999,0.032000000000000015,0.03800000000000002,0.046000000000000006,0.05299999999999999,0.058999999999999976,0.06299999999999999
10,0,0,0.5,1.0,0.07200000000000004,0.07333333333333335,0.07000000000000002,0.06875,0.0633333333333333,0.06499999999999999,0.03600000000000002,0.044000000000000004,0.048999999999999995,0.05499999999999999,0.05699999999999998,0.06499999999999999
10,0,0,0.5,1.05,0.06200000000000003,0.06833333333333334,0.0685714285714286,0.0675,0.0655555555555555,0.06599999999999996,0.031000000000000014,0.041000000000000016,0.04800000000000001,0.05399999999999999,0.058999999999999976,0.06599999999999996
10,0,0,0.5,1.1,0.07200000000000004,0.07833333333333334,0.07142857142857145,0.07375,0.06888888888888886,0.06699999999999999,0.03600000000000002,0.047000000000000014,0.05,0.05899999999999998,0.061999999999999986,0.06699999999999999
10,0,0,0.5,1.15,0.11799999999999997,0.11166666666666662,0.10714285714285715,0.0975,0.09111111111111106,0.09099999999999996,0.05899999999999998,0.06699999999999998,0.07499999999999996,0.07799999999999996,0.08199999999999996,0.09099999999999996
