,$p_{ij}$,test,type1
0,0.0,t-test,0.0
1,0.010101010101010102,t-test,0.003
2,0.020202020202020204,t-test,0.014
3,0.030303030303030304,t-test,0.024
4,0.04040404040404041,t-test,0.04
5,0.05050505050505051,t-test,0.056
6,0.06060606060606061,t-test,0.046
7,0.07070707070707072,t-test,0.038
8,0.08080808080808081,t-test,0.055
9,0.09090909090909091,t-test,0.052
10,0.10101010101010102,t-test,0.027
11,0.11111111111111112,t-test,0.047
12,0.12121212121212122,t-test,0.052
13,0.13131313131313133,t-test,0.042
14,0.14141414141414144,t-test,0.04
15,0.15151515151515152,t-test,0.046
16,0.16161616161616163,t-test,0.041
17,0.17171717171717174,t-test,0.041
18,0.18181818181818182,t-test,0.052
19,0.19191919191919193,t-test,0.056
20,0.20202020202020204,t-test,0.042
21,0.21212121212121213,t-test,0.052
22,0.22222222222222224,t-test,0.054
23,0.23232323232323235,t-test,0.049
24,0.24242424242424243,t-test,0.061
25,0.25252525252525254,t-test,0.053
26,0.26262626262626265,t-test,0.05
27,0.27272727272727276,t-test,0.057
28,0.2828282828282829,t-test,0.046
29,0.29292929292929293,t-test,0.043
30,0.30303030303030304,t-test,0.048
31,0.31313131313131315,t-test,0.048
32,0.32323232323232326,t-test,0.045
33,0.33333333333333337,t-test,0.051
34,0.3434343434343435,t-test,0.061
35,0.3535353535353536,t-test,0.05
36,0.36363636363636365,t-test,0.048
37,0.37373737373737376,t-test,0.059
38,0.38383838383838387,t-test,0.047
39,0.393939393939394,t-test,0.061
40,0.4040404040404041,t-test,0.059
41,0.4141414141414142,t-test,0.043
42,0.42424242424242425,t-test,0.063
43,0.43434343434343436,t-test,0.048
44,0.4444444444444445,t-test,0.062
45,0.4545454545454546,t-test,0.05
46,0.4646464646464647,t-test,0.058
47,0.4747474747474748,t-test,0.049
48,0.48484848484848486,t-test,0.051
49,0.494949494949495,t-test,0.064
50,0.5050505050505051,t-test,0.049
51,0.5151515151515152,t-test,0.053
52,0.5252525252525253,t-test,0.066
53,0.5353535353535354,t-test,0.065
54,0.5454545454545455,t-test,0.054
55,0.5555555555555556,t-test,0.057
56,0.5656565656565657,t-test,0.072
57,0.5757575757575758,t-test,0.055
58,0.5858585858585859,t-test,0.059
59,0.595959595959596,t-test,0.065
60,0.6060606060606061,t-test,0.047
61,0.6161616161616162,t-test,0.048
62,0.6262626262626263,t-test,0.057
63,0.6363636363636365,t-test,0.053
64,0.6464646464646465,t-test,0.054
65,0.6565656565656566,t-test,0.055
66,0.6666666666666667,t-test,0.042
67,0.6767676767676768,t-test,0.045
68,0.686868686868687,t-test,0.059
69,0.696969696969697,t-test,0.036
70,0.7070707070707072,t-test,0.058
71,0.7171717171717172,t-test,0.049
72,0.7272727272727273,t-test,0.064
73,0.7373737373737375,t-test,0.051
74,0.7474747474747475,t-test,0.047
75,0.7575757575757577,t-test,0.043
76,0.7676767676767677,t-test,0.05
77,0.7777777777777778,t-test,0.061
78,0.787878787878788,t-test,0.052
79,0.797979797979798,t-test,0.039
80,0.8080808080808082,t-test,0.055
81,0.8181818181818182,t-test,0.05
82,0.8282828282828284,t-test,0.045
83,0.8383838383838385,t-test,0.038
84,0.8484848484848485,t-test,0.048
85,0.8585858585858587,t-test,0.048
86,0.8686868686868687,t-test,0.06
87,0.8787878787878789,t-test,0.049
88,0.888888888888889,t-test,0.045
89,0.8989898989898991,t-test,0.052
90,0.9090909090909092,t-test,0.047
91,0.9191919191919192,t-test,0.072
92,0.9292929292929294,t-test,0.026
93,0.9393939393939394,t-test,0.034
94,0.9494949494949496,t-test,0.046
95,0.9595959595959597,t-test,0.032
96,0.9696969696969697,t-test,0.025
97,0.9797979797979799,t-test,0.014
98,0.98989898989899,t-test,0.003
99,1.0,t-test,0.0
100,0.0,mann-whitney,0.0
101,0.010101010101010102,mann-whitney,0.016
102,0.020202020202020204,mann-whitney,0.066
103,0.030303030303030304,mann-whitney,0.098
104,0.04040404040404041,mann-whitney,0.123
105,0.05050505050505051,mann-whitney,0.13
106,0.06060606060606061,mann-whitney,0.115
107,0.07070707070707072,mann-whitney,0.11
108,0.08080808080808081,mann-whitney,0.114
109,0.09090909090909091,mann-whitney,0.11
110,0.10101010101010102,mann-whitney,0.088
111,0.11111111111111112,mann-whitney,0.108
112,0.12121212121212122,mann-whitney,0.1
113,0.13131313131313133,mann-whitney,0.104
114,0.14141414141414144,mann-whitney,0.092
115,0.15151515151515152,mann-whitney,0.091
116,0.16161616161616163,mann-whitney,0.092
117,0.17171717171717174,mann-whitney,0.084
118,0.18181818181818182,mann-whitney,0.1
119,0.19191919191919193,mann-whitney,0.103
120,0.20202020202020204,mann-whitney,0.091
121,0.21212121212121213,mann-whitney,0.107
122,0.22222222222222224,mann-whitney,0.096
123,0.23232323232323235,mann-whitney,0.1
124,0.24242424242424243,mann-whitney,0.116
125,0.25252525252525254,mann-whitney,0.109
126,0.26262626262626265,mann-whitney,0.095
127,0.27272727272727276,mann-whitney,0.111
128,0.2828282828282829,mann-whitney,0.091
129,0.29292929292929293,mann-whitney,0.109
130,0.30303030303030304,mann-whitney,0.108
131,0.31313131313131315,mann-whitney,0.117
132,0.32323232323232326,mann-whitney,0.1
133,0.33333333333333337,mann-whitney,0.11
134,0.3434343434343435,mann-whitney,0.114
135,0.3535353535353536,mann-whitney,0.098
136,0.36363636363636365,mann-whitney,0.101
137,0.37373737373737376,mann-whitney,0.105
138,0.38383838383838387,mann-whitney,0.095
139,0.393939393939394,mann-whitney,0.09
140,0.4040404040404041,mann-whitney,0.091
141,0.4141414141414142,mann-whitney,0.081
142,0.42424242424242425,mann-whitney,0.095
143,0.43434343434343436,mann-whitney,0.075
