,$p_{ij}$,test,type1
0,0.0,t-test,0.0
1,0.010101010101010102,t-test,0.018
2,0.020202020202020204,t-test,0.048
3,0.030303030303030304,t-test,0.037
4,0.04040404040404041,t-test,0.036
5,0.05050505050505051,t-test,0.048
6,0.06060606060606061,t-test,0.049
7,0.07070707070707072,t-test,0.059
8,0.08080808080808081,t-test,0.048
9,0.09090909090909091,t-test,0.071
10,0.10101010101010102,t-test,0.045
11,0.11111111111111112,t-test,0.051
12,0.12121212121212122,t-test,0.051
13,0.13131313131313133,t-test,0.057
14,0.14141414141414144,t-test,0.057
15,0.15151515151515152,t-test,0.038
16,0.16161616161616163,t-test,0.053
17,0.17171717171717174,t-test,0.048
18,0.18181818181818182,t-test,0.054
19,0.19191919191919193,t-test,0.051
20,0.20202020202020204,t-test,0.055
21,0.21212121212121213,t-test,0.059
22,0.22222222222222224,t-test,0.048
23,0.23232323232323235,t-test,0.047
24,0.24242424242424243,t-test,0.046
25,0.25252525252525254,t-test,0.035
26,0.26262626262626265,t-test,0.034
27,0.27272727272727276,t-test,0.032
28,0.2828282828282829,t-test,0.055
29,0.29292929292929293,t-test,0.059
30,0.30303030303030304,t-test,0.043
31,0.31313131313131315,t-test,0.042
32,0.32323232323232326,t-test,0.057
33,0.33333333333333337,t-test,0.048
34,0.3434343434343435,t-test,0.034
35,0.3535353535353536,t-test,0.046
36,0.36363636363636365,t-test,0.055
37,0.37373737373737376,t-test,0.043
38,0.38383838383838387,t-test,0.048
39,0.393939393939394,t-test,0.06
40,0.4040404040404041,t-test,0.051
41,0.4141414141414142,t-test,0.046
42,0.42424242424242425,t-test,0.055
43,0.43434343434343436,t-test,0.045
44,0.4444444444444445,t-test,0.065
45,0.4545454545454546,t-test,0.051
46,0.4646464646464647,t-test,0.057
47,0.4747474747474748,t-test,0.066
48,0.48484848484848486,t-test,0.053
49,0.494949494949495,t-test,0.054
50,0.5050505050505051,t-test,0.054
51,0.5151515151515152,t-test,0.064
52,0.5252525252525253,t-test,0.072
53,0.5353535353535354,t-test,0.05
54,0.5454545454545455,t-test,0.048
55,0.5555555555555556,t-test,0.059
56,0.5656565656565657,t-test,0.058
57,0.5757575757575758,t-test,0.063
58,0.5858585858585859,t-test,0.04
59,0.595959595959596,t-test,0.048
60,0.6060606060606061,t-test,0.042
61,0.6161616161616162,t-test,0.042
62,0.6262626262626263,t-test,0.067
63,0.6363636363636365,t-test,0.049
64,0.6464646464646465,t-test,0.042
65,0.6565656565656566,t-test,0.046
66,0.6666666666666667,t-test,0.058
67,0.6767676767676768,t-test,0.048
68,0.686868686868687,t-test,0.038
69,0.696969696969697,t-test,0.05
70,0.7070707070707072,t-test,0.045
71,0.7171717171717172,t-test,0.043
72,0.7272727272727273,t-test,0.036
73,0.7373737373737375,t-test,0.053
74,0.7474747474747475,t-test,0.053
75,0.7575757575757577,t-test,0.037
76,0.7676767676767677,t-test,0.038
77,0.7777777777777778,t-test,0.043
78,0.787878787878788,t-test,0.053
79,0.797979797979798,t-test,0.05
80,0.8080808080808082,t-test,0.057
81,0.8181818181818182,t-test,0.043
82,0.8282828282828284,t-test,0.054
83,0.8383838383838385,t-test,0.05
84,0.8484848484848485,t-test,0.055
85,0.8585858585858587,t-test,0.048
86,0.8686868686868687,t-test,0.063
87,0.8787878787878789,t-test,0.054
88,0.888888888888889,t-test,0.047
89,0.8989898989898991,t-test,0.048
90,0.9090909090909092,t-test,0.05
91,0.9191919191919192,t-test,0.061
92,0.9292929292929294,t-test,0.046
93,0.9393939393939394,t-test,0.052
94,0.9494949494949496,t-test,0.046
95,0.9595959595959597,t-test,0.049
96,0.9696969696969697,t-test,0.054
97,0.9797979797979799,t-test,0.034
98,0.98989898989899,t-test,0.014
99,1.0,t-test,0.0
100,0.0,mann-whitney,0.0
101,0.010101010101010102,mann-whitney,0.057
102,0.020202020202020204,mann-whitney,0.13
103,0.030303030303030304,mann-whitney,0.118
104,0.04040404040404041,mann-whitney,0.114
105,0.05050505050505051,mann-whitney,0.115
106,0.06060606060606061,mann-whitney,0.102
107,0.07070707070707072,mann-whitney,0.123
108,0.08080808080808081,mann-whitney,0.099
109,0.09090909090909091,mann-whitney,0.125
110,0.10101010101010102,mann-whitney,0.088
111,0.11111111111111112,mann-whitney,0.104
112,0.12121212121212122,mann-whitney,0.098
113,0.13131313131313133,mann-whitney,0.109
114,0.14141414141414144,mann-whitney,0.111
115,0.15151515151515152,mann-whitney,0.098
116,0.16161616161616163,mann-whitney,0.099
117,0.17171717171717174,mann-whitney,0.099
118,0.18181818181818182,mann-whitney,0.097
119,0.19191919191919193,mann-whitney,0.11
120,0.20202020202020204,mann-whitney,0.112
121,0.21212121212121213,mann-whitney,0.112
122,0.22222222222222224,mann-whitney,0.084
123,0.23232323232323235,mann-whitney,0.1
124,0.24242424242424243,mann-whitney,0.097
125,0.25252525252525254,mann-whitney,0.088
126,0.26262626262626265,mann-whitney,0.09
127,0.27272727272727276,mann-whitney,0.081
128,0.2828282828282829,mann-whitney,0.111
129,0.29292929292929293,mann-whitney,0.122
130,0.30303030303030304,mann-whitney,0.116
131,0.31313131313131315,mann-whitney,0.083
132,0.32323232323232326,mann-whitney,0.106
133,0.33333333333333337,mann-whitney,0.101
134,0.3434343434343435,mann-whitney,0.085
135,0.3535353535353536,mann-whitney,0.102
136,0.36363636363636365,mann-whitney,0.105
137,0.37373737373737376,mann-whitney,0.088
138,0.38383838383838387,mann-whitney,0.099
139,0.393939393939394,mann-whitney,0.117
140,0.4040404040404041,mann-whitney,0.09
141,0.4141414141414142,mann-whitney,0.1
142,0.42424242424242425,mann-whitney,0.096
143,0.43434343434343436,mann-whitney,0.094
144,0.4444444444444445,mann-whitney,0.112
145,0.4545454545454546,mann-whitney,0.098
146,0.4646464646464647,mann-whitney,0.107
147,0.4747474747474748,mann-whitney,0.106
148,0.48484848484848486,mann-whitney,0.099
149,0.494949494949495,mann-whitney,0.095
150,0.5050505050505051,mann-whitney,0.112
151,0.5151515151515152,mann-whitney,0.119
152,0.5252525252525253,mann-whitney,0.116
153,0.5353535353535354,mann-whitney,0.097
154,0.5454545454545455,mann-whitney,0.09
155,0.5555555555555556,mann-whitney,0.117
156,0.5656565656565657,mann-whitney,0.093
157,0.5757575757575758,mann-whitney,0.114
158,0.5858585858585859,mann-whitney,0.097
159,0.595959595959596,mann-whitney,0.096
160,0.6060606060606061,mann-whitney,0.088
161,0.6161616161616162,mann-whitney,0.091
162,0.6262626262626263,mann-whitney,0.116
163,0.6363636363636365,mann-whitney,0.107
164,0.6464646464646465,mann-whitney,0.092
165,0.6565656565656566,mann-whitney,0.108
166,0.6666666666666667,mann-whitney,0.101
167,0.6767676767676768,mann-whitney,0.104
168,0.686868686868687,mann-whitney,0.105
169,0.696969696969697,mann-whitney,0.096
170,0.7070707070707072,mann-whitney,0.089
171,0.7171717171717172,mann-whitney,0.115
172,0.7272727272727273,mann-whitney,0.085
173,0.7373737373737375,mann-whitney,0.1
174,0.7474747474747475,mann-whitney,0.11
175,0.7575757575757577,mann-whitney,0.094
176,0.7676767676767677,mann-whitney,0.086
177,0.7777777777777778,mann-whitney,0.085
178,0.787878787878788,mann-whitney,0.091
179,0.797979797979798,mann-whitney,0.098
180,0.8080808080808082,mann-whitney,0.1
181,0.8181818181818182,mann-whitney,0.086
182,0.8282828282828284,mann-whitney,0.104
183,0.8383838383838385,mann-whitney,0.097
184,0.8484848484848485,mann-whitney,0.106
185,0.8585858585858587,mann-whitney,0.1
186,0.8686868686868687,mann-whitney,0.121
187,0.8787878787878789,mann-whitney,0.109
188,0.888888888888889,mann-whitney,0.109
189,0.8989898989898991,mann-whitney,0.099
190,0.9090909090909092,mann-whitney,0.103
191,0.9191919191919192,mann-whitney,0.116
192,0.9292929292929294,mann-whitney,0.097
193,0.9393939393939394,mann-whitney,0.134
194,0.9494949494949496,mann-whitney,0.106
195,0.9595959595959597,mann-whitney,0.137
196,0.9696969696969697,mann-whitney,0.139
197,0.9797979797979799,mann-whitney,0.105
198,0.98989898989899,mann-whitney,0.058
199,1.0,mann-whitney,0.0
200,0.0,fisher,0.0
201,0.010101010101010102,fisher,0.0
202,0.020202020202020204,fisher,0.004
203,0.030303030303030304,fisher,0.011
204,0.04040404040404041,fisher,0.014
205,0.05050505050505051,fisher,0.025
206,0.06060606060606061,fisher,0.032
207,0.07070707070707072,fisher,0.032
208,0.08080808080808081,fisher,0.024
209,0.09090909090909091,fisher,0.047
210,0.10101010101010102,fisher,0.017
211,0.11111111111111112,fisher,0.026
212,0.12121212121212122,fisher,0.029
213,0.13131313131313133,fisher,0.042
214,0.14141414141414144,fisher,0.033
215,0.15151515151515152,fisher,0.025
216,0.16161616161616163,fisher,0.035
217,0.17171717171717174,fisher,0.028
218,0.18181818181818182,fisher,0.036
219,0.19191919191919193,fisher,0.035
220,0.20202020202020204,fisher,0.029
221,0.21212121212121213,fisher,0.029
222,0.22222222222222224,fisher,0.033
223,0.23232323232323235,fisher,0.032
224,0.24242424242424243,fisher,0.032
225,0.25252525252525254,fisher,0.028
226,0.26262626262626265,fisher,0.022
227,0.27272727272727276,fisher,0.017
228,0.2828282828282829,fisher,0.047
229,0.29292929292929293,fisher,0.035
230,0.30303030303030304,fisher,0.033
231,0.31313131313131315,fisher,0.028
232,0.32323232323232326,fisher,0.038
233,0.33333333333333337,fisher,0.031
234,0.3434343434343435,fisher,0.026
235,0.3535353535353536,fisher,0.029
236,0.36363636363636365,fisher,0.035
237,0.37373737373737376,fisher,0.032
238,0.38383838383838387,fisher,0.033
239,0.393939393939394,fisher,0.049
240,0.4040404040404041,fisher,0.032
241,0.4141414141414142,fisher,0.031
242,0.42424242424242425,fisher,0.044
243,0.43434343434343436,fisher,0.032
244,0.4444444444444445,fisher,0.039
