,$p_{ij}$,test,type1
0,0.0,t-test,0.0
1,0.010101010101010102,t-test,0.003
2,0.020202020202020204,t-test,0.018
3,0.030303030303030304,t-test,0.034
4,0.04040404040404041,t-test,0.042
5,0.05050505050505051,t-test,0.044
6,0.06060606060606061,t-test,0.047
7,0.07070707070707072,t-test,0.038
8,0.08080808080808081,t-test,0.049
9,0.09090909090909091,t-test,0.051
10,0.10101010101010102,t-test,0.051
11,0.11111111111111112,t-test,0.056
12,0.12121212121212122,t-test,0.044
13,0.13131313131313133,t-test,0.04
14,0.14141414141414144,t-test,0.044
15,0.15151515151515152,t-test,0.044
16,0.16161616161616163,t-test,0.05
17,0.17171717171717174,t-test,0.042
18,0.18181818181818182,t-test,0.049
19,0.19191919191919193,t-test,0.045
20,0.20202020202020204,t-test,0.046
21,0.21212121212121213,t-test,0.04
22,0.22222222222222224,t-test,0.069
23,0.23232323232323235,t-test,0.065
24,0.24242424242424243,t-test,0.054
25,0.25252525252525254,t-test,0.048
26,0.26262626262626265,t-test,0.046
27,0.27272727272727276,t-test,0.053
28,0.2828282828282829,t-test,0.055
29,0.29292929292929293,t-test,0.05
30,0.30303030303030304,t-test,0.05
31,0.31313131313131315,t-test,0.045
32,0.32323232323232326,t-test,0.038
33,0.33333333333333337,t-test,0.04
34,0.3434343434343435,t-test,0.042
35,0.3535353535353536,t-test,0.052
36,0.36363636363636365,t-test,0.043
37,0.37373737373737376,t-test,0.051
38,0.38383838383838387,t-test,0.067
39,0.393939393939394,t-test,0.04
40,0.4040404040404041,t-test,0.058
41,0.4141414141414142,t-test,0.053
42,0.42424242424242425,t-test,0.048
43,0.43434343434343436,t-test,0.065
44,0.4444444444444445,t-test,0.059
45,0.4545454545454546,t-test,0.048
46,0.4646464646464647,t-test,0.054
47,0.4747474747474748,t-test,0.048
48,0.48484848484848486,t-test,0.054
49,0.494949494949495,t-test,0.073
50,0.5050505050505051,t-test,0.032
51,0.5151515151515152,t-test,0.051
52,0.5252525252525253,t-test,0.056
53,0.5353535353535354,t-test,0.053
54,0.5454545454545455,t-test,0.055
55,0.5555555555555556,t-test,0.059
56,0.5656565656565657,t-test,0.056
57,0.5757575757575758,t-test,0.056
58,0.5858585858585859,t-test,0.043
59,0.595959595959596,t-test,0.046
60,0.6060606060606061,t-test,0.048
61,0.6161616161616162,t-test,0.056
62,0.6262626262626263,t-test,0.047
63,0.6363636363636365,t-test,0.052
64,0.6464646464646465,t-test,0.046
65,0.6565656565656566,t-test,0.052
66,0.6666666666666667,t-test,0.051
67,0.6767676767676768,t-test,0.05
68,0.686868686868687,t-test,0.058
69,0.696969696969697,t-test,0.037
70,0.7070707070707072,t-test,0.052
71,0.7171717171717172,t-test,0.037
72,0.7272727272727273,t-test,0.048
73,0.7373737373737375,t-test,0.043
74,0.7474747474747475,t-test,0.036
75,0.7575757575757577,t-test,0.047
76,0.7676767676767677,t-test,0.051
77,0.7777777777777778,t-test,0.054
78,0.787878787878788,t-test,0.052
79,0.797979797979798,t-test,0.065
80,0.8080808080808082,t-test,0.044
81,0.8181818181818182,t-test,0.054
82,0.8282828282828284,t-test,0.045
83,0.8383838383838385,t-test,0.061
84,0.8484848484848485,t-test,0.054
85,0.8585858585858587,t-test,0.046
86,0.8686868686868687,t-test,0.042
87,0.8787878787878789,t-test,0.045
88,0.888888888888889,t-test,0.047
89,0.8989898989898991,t-test,0.052
90,0.9090909090909092,t-test,0.037
91,0.9191919191919192,t-test,0.054
92,0.9292929292929294,t-test,0.065
93,0.9393939393939394,t-test,0.046
94,0.9494949494949496,t-test,0.042
95,0.9595959595959597,t-test,0.052
96,0.9696969696969697,t-test,0.041
97,0.9797979797979799,t-test,0.022
98,0.98989898989899,t-test,0.004
99,1.0,t-test,0.0
100,0.0,mann-whitney,0.0
101,0.010101010101010102,mann-whitney,0.026
102,0.020202020202020204,mann-whitney,0.073
103,0.030303030303030304,mann-whitney,0.098
104,0.04040404040404041,mann-whitney,0.14
105,0.05050505050505051,mann-whitney,0.119
106,0.06060606060606061,mann-whitney,0.104
107,0.07070707070707072,mann-whitney,0.112
108,0.08080808080808081,mann-whitney,0.117
109,0.09090909090909091,mann-whitney,0.11
110,0.10101010101010102,mann-whitney,0.099
111,0.11111111111111112,mann-whitney,0.098
112,0.12121212121212122,mann-whitney,0.089
113,0.13131313131313133,mann-whitney,0.097
114,0.14141414141414144,mann-whitney,0.093
115,0.15151515151515152,mann-whitney,0.086
116,0.16161616161616163,mann-whitney,0.091
117,0.17171717171717174,mann-whitney,0.085
118,0.18181818181818182,mann-whitney,0.093
119,0.19191919191919193,mann-whitney,0.097
120,0.20202020202020204,mann-whitney,0.097
121,0.21212121212121213,mann-whitney,0.083
122,0.22222222222222224,mann-whitney,0.129
123,0.23232323232323235,mann-whitney,0.119
124,0.24242424242424243,mann-whitney,0.104
125,0.25252525252525254,mann-whitney,0.082
126,0.26262626262626265,mann-whitney,0.096
127,0.27272727272727276,mann-whitney,0.092
128,0.2828282828282829,mann-whitney,0.111
129,0.29292929292929293,mann-whitney,0.1
130,0.30303030303030304,mann-whitney,0.105
131,0.31313131313131315,mann-whitney,0.093
132,0.32323232323232326,mann-whitney,0.097
133,0.33333333333333337,mann-whitney,0.095
134,0.3434343434343435,mann-whitney,0.107
135,0.3535353535353536,mann-whitney,0.119
136,0.36363636363636365,mann-whitney,0.106
137,0.37373737373737376,mann-whitney,0.1
138,0.38383838383838387,mann-whitney,0.124
139,0.393939393939394,mann-whitney,0.104
140,0.4040404040404041,mann-whitney,0.12
141,0.4141414141414142,mann-whitney,0.112
142,0.42424242424242425,mann-whitney,0.097
143,0.43434343434343436,mann-whitney,0.103
