m,mean_1,mean_2,var_1,var_2,mean_delta,var_delta,omni_precision_2_ks_2samp,omni_precision_2_mannwhitneyu,omni_precision_2_ttest_ind,omni_recall_2_ks_2samp,omni_recall_2_mannwhitneyu,omni_recall_2_ttest_ind,omni_precision_3_ks_2samp,omni_precision_3_mannwhitneyu,omni_precision_3_ttest_ind,omni_recall_3_ks_2samp,omni_recall_3_mannwhitneyu,omni_recall_3_ttest_ind,omni_precision_4_ks_2samp,omni_precision_4_mannwhitneyu,omni_precision_4_ttest_ind,omni_recall_4_ks_2samp,omni_recall_4_mannwhitneyu,omni_recall_4_ttest_ind,mase_precision_2_ks_2samp,mase_precision_2_mannwhitneyu,mase_precision_2_ttest_ind,mase_recall_2_ks_2samp,mase_recall_2_mannwhitneyu,mase_recall_2_ttest_ind,mase_precision_3_ks_2samp,mase_precision_3_mannwhitneyu,mase_precision_3_ttest_ind,mase_recall_3_ks_2samp,mase_recall_3_mannwhitneyu,mase_recall_3_ttest_ind,mase_precision_4_ks_2samp,mase_precision_4_mannwhitneyu,mase_precision_4_ttest_ind,mase_recall_4_ks_2samp,mase_recall_4_mannwhitneyu,mase_recall_4_ttest_ind
250,0,0,0.25,0.25,0.98,0,0.9494594594594594,0.9394594594594594,0.9729729729729729,1.0,1.0,1.0,0.8806713524772828,0.7889945233038422,0.8528278854320221,1.0,1.0,1.0,0.6130860194791291,0.523283696879235,0.5790211214401325,1.0,1.0,1.0,0.7213403199117486,0.6978268063982351,0.7313403199117486,1.0,1.0,1.0,0.9408832804537687,0.8608155946484166,0.9506531373103942,1.0,1.0,1.0,0.7227645674796251,0.6864145962211391,0.7345590781072938,1.0,1.0,1.0
5,0,0,0.25,0.25,0.16,0,0.6540940752730302,0.5784488486088751,0.6262853618698907,0.9064666666666668,0.9659333333333333,0.9568000000000001,0.731678671132738,0.6645640796265918,0.6996702245689099,0.8936666666666667,0.9340666666666668,0.930266666666667,0.6852746999378067,0.6046449708914977,0.6625473629203278,0.9004000000000001,0.9285999999999999,0.9242,0.48785756249697976,0.43883543768573324,0.45851713543369443,0.8864666666666668,0.9263333333333336,0.9233333333333336,0.6407928900444273,0.5764520973310765,0.6297426864704767,0.8818666666666668,0.9236666666666666,0.9175333333333333,0.6295414344525764,0.5412284887060784,0.5828936355894915,0.8698,0.9226666666666666,0.9189333333333335
250,0,0,0.25,0.25,0.78,0,0.9224324324324324,0.8554054054054054,0.9259459459459458,1.0,1.0,1.0,0.8636615505884047,0.7615545328838411,0.8625479991781781,1.0,1.0,1.0,0.5994168594464413,0.5494427912972,0.5808103573902405,1.0,1.0,1.0,0.7949255377826807,0.7514120242691672,0.8084390512961943,1.0,1.0,1.0,0.8855385341830355,0.8834240327151263,0.9550429845157528,1.0,1.0,1.0,0.7637142984923696,0.7270246648408352,0.7647120597464663,1.0,1.0,1.0
5,0,0,0.25,0.25,0.36,0,0.9429729729729729,0.9024324324324323,0.9529729729729729,1.0,1.0,1.0,0.9498051662643359,0.877940927016017,0.9489811999941453,0.9998000000000001,0.9998666666666668,0.9998666666666668,0.7913023676627207,0.6921372957310767,0.767885077398482,0.9941999999999999,0.9971333333333332,0.9969333333333332,0.7008529059493128,0.6735337351514048,0.7105607621784319,0.9929333333333333,0.9953333333333333,0.9953333333333333,0.8741689204457126,0.7935817221361572,0.9406830823862725,0.9997333333333335,0.9997333333333335,0.9997333333333335,0.7121513173523831,0.6648437734770893,0.7344128182005916,0.9960000000000001,0.9966666666666668,0.9966666666666668
250,0,0,0.25,0.25,0.58,0,0.9429729729729729,0.8522283507997792,0.9143574186431329,1.0,1.0,1.0,0.909085519929702,0.8210341062246073,0.906149265082377,1.0,1.0,1.0,0.6309998872468257,0.6135337094615221,0.6779959416250284,1.0,1.0,1.0,0.7450579150579151,0.677826806398235,0.716442360728075,1.0,1.0,1.0,0.9035398915780344,0.7801007839871967,0.904521849419978,1.0,1.0,1.0,0.7088611397870197,0.6266347066868859,0.7054044033869082,1.0,1.0,1.0
5,0,0,0.25,0.25,0.56,0,0.97,0.8894594594594594,0.9564864864864865,1.0,1.0,1.0,0.935221149202345,0.8333845780571693,0.9398593406593406,0.9999333333333333,1.0,1.0,0.762320332457278,0.6799197435205044,0.761072429052614,0.9984000000000002,0.9997333333333335,0.9993333333333334,0.7193330532946571,0.658328630316208,0.7153556573432351,0.9979333333333332,0.9993333333333334,0.9993333333333334,0.9339462029105269,0.8695204677882407,0.9435583126550868,0.9999333333333333,0.9999333333333333,0.9999333333333333,0.8174918043922332,0.7355558544880221,0.789358934677702,0.9978000000000001,0.9992,0.9992
250,0,0,0.25,0.25,0.38,0,0.9429729729729729,0.8289189189189189,0.9094594594594594,1.0,1.0,1.0,0.8943104221942932,0.7840271607816202,0.8872795978215333,1.0,1.0,1.0,0.6650579255138785,0.6213765110385743,0.6694750282759074,0.9998,0.9998,0.9998,0.7701599558742417,0.6896194153337011,0.7501599558742417,1.0,1.0,1.0,0.9262105502024858,0.8037123530719354,0.8839936166112636,1.0,1.0,1.0,0.7613201050184203,0.6820200385585619,0.7344898354957284,1.0,1.0,1.0
5,0,0,0.25,0.25,0.76,0,0.9359459459459458,0.8973303916161057,0.9764864864864865,1.0,1.0,1.0,0.8974504405005098,0.8439819502510939,0.8955441373750161,1.0,1.0,1.0,0.7496419724385744,0.6784258821841466,0.7296701142263062,0.9999333333333333,1.0,1.0,0.7501015699621972,0.7149995291458705,0.7671285969892242,1.0,1.0,1.0,0.8982962373455331,0.8667795823329013,0.9476927884376161,1.0,1.0,1.0,0.7316930850764191,0.637047918517342,0.7474046056872387,0.9998666666666668,0.9985333333333333,0.9999333333333333
250,0,0,0.25,0.25,0.18,0,0.9529729729729729,0.9394594594594594,0.9664864864864865,1.0,1.0,1.0,0.9495810427779736,0.9278305280970757,0.98,1.0,1.0,1.0,0.7419456339699981,0.710460501960752,0.7679057703354677,0.9996,0.9996,0.9996,0.6753135535336858,0.6647264380904936,0.6782399516040073,0.9994,0.9997999999999999,0.9997999999999999,0.9084919794919796,0.8587415066131928,0.9609216500553711,1.0,1.0,1.0,0.792558349882315,0.6964212665999834,0.7720218169705164,0.9993333333333334,1.0,1.0
5,0,0,0.25,0.25,0.96,0,0.9629729729729729,0.9359459459459458,0.9864864864864864,1.0,1.0,1.0,0.894604503691037,0.8071667795460773,0.8913250270410501,1.0,1.0,1.0,0.6281615935801479,0.590902893523785,0.6247781285133643,1.0,1.0,1.0,0.6895919005529398,0.6490513600123993,0.6995919005529398,0.9999333333333333,0.9999333333333333,0.9999333333333333,0.9641495460334896,0.8992381348115508,0.9593400222239659,1.0,1.0,1.0,0.7653679855403962,0.692055269123754,0.7929245691666879,0.9998666666666667,0.9998666666666667,0.9998666666666667
245,0,0,0.25,0.25,1.0,0,0.9429729729729729,0.9024324324324323,0.9259459459459458,1.0,1.0,1.0,0.8551957535672251,0.8305395726076383,0.8855226857182658,1.0,1.0,1.0,0.6441678245271438,0.5583910823292139,0.6039620486287266,0.9999333333333333,1.0,1.0,0.7868505239933812,0.7733370104798677,0.7968505239933812,1.0,1.0,1.0,0.946880643963602,0.8886212622699615,0.9391445074528204,1.0,1.0,1.0,0.7220220042106007,0.6594864046741765,0.6852913735541712,1.0,1.0,1.0
10,0,0,0.25,0.25,0.14,0,0.8273048908537709,0.7750756414538347,0.8091016435448688,0.9631333333333336,0.9855333333333336,0.9848666666666668,0.839609879443673,0.7641628894947723,0.8128433782100403,0.9750000000000001,0.9858000000000002,0.9852666666666668,0.7470560346154023,0.6720453894888139,0.724188171708612,0.962066666666667,0.9744666666666667,0.9726000000000002,0.47175718176260967,0.4309060591341089,0.4444195726476224,0.9150000000000001,0.9525333333333335,0.9525333333333335,0.7481608244783317,0.6669210187313631,0.7311523901880035,0.9398666666666671,0.9628666666666669,0.9534666666666668,0.6868367411848293,0.5956921424577416,0.6346369977988787,0.9245333333333333,0.9577333333333332,0.9571999999999998
245,0,0,0.25,0.25,0.8,0,0.9564864864864865,0.9229729729729729,0.98,1.0,1.0,1.0,0.8791062225324819,0.8176534259972464,0.8963620559056438,1.0,1.0,1.0,0.7120847409597133,0.6143966070374516,0.6593026682168602,1.0,1.0,1.0,0.694649751792609,0.6711362382790955,0.7281632653061226,1.0,1.0,1.0,0.9398053895167456,0.8854847082255419,0.9300070701890144,1.0,1.0,1.0,0.7952188983893821,0.7503523368471485,0.8002016297416151,0.9999333333333333,0.9999333333333333,0.9999333333333333
