m,mean_1,mean_2,var_1,var_2,mean_delta,var_delta,omni_precision_ks_2samp,omni_precision_mannwhitneyu,omni_precision_ttest_ind,omni_recall_ks_2samp,omni_recall_mannwhitneyu,omni_recall_ttest_ind
5,0,0,0.25,0.25,0,0.0,0.34,0.3,0.32,0.34,0.3,0.32
5,0,0,0.25,0.25,0,0.06,0.58,0.24,0.28,0.58,0.24,0.28
5,0,0,0.25,0.25,0,0.12,0.84,0.46,0.46,0.84,0.46,0.46
5,0,0,0.25,0.25,0,0.18,0.96,0.44,0.42,0.96,0.44,0.42
5,0,0,0.25,0.25,0,0.24,0.96,0.22,0.24,0.96,0.22,0.24
5,0,0,0.25,0.25,0,0.3,1.0,0.28,0.28,1.0,0.28,0.28
5,0,0,0.25,0.25,0,0.36,1.0,0.34,0.32,1.0,0.34,0.32
5,0,0,0.25,0.25,0,0.42,1.0,0.22,0.24,1.0,0.22,0.24
5,0,0,0.25,0.25,0,0.48,1.0,0.34,0.38,1.0,0.34,0.38
5,0,0,0.25,0.25,0,0.54,1.0,0.36,0.36,1.0,0.36,0.36
5,0,0,0.25,0.25,0,0.6,1.0,0.46,0.42,1.0,0.46,0.42
5,0,0,0.25,0.25,0,0.6599999999999999,1.0,0.38,0.34,1.0,0.38,0.34
5,0,0,0.25,0.25,0,0.72,1.0,0.4,0.32,1.0,0.4,0.32
5,0,0,0.25,0.25,0,0.78,1.0,0.3,0.28,1.0,0.3,0.28
5,0,0,0.25,0.25,0,0.84,1.0,0.28,0.3,1.0,0.28,0.3
5,0,0,0.25,0.25,0,0.8999999999999999,1.0,0.28,0.32,1.0,0.28,0.32
5,0,0,0.25,0.25,0,0.96,1.0,0.44,0.42,1.0,0.44,0.42
5,0,0,0.25,0.25,0,1.02,1.0,0.36,0.38,1.0,0.36,0.38
5,0,0,0.25,0.25,0,1.08,1.0,0.32,0.36,1.0,0.32,0.36
5,0,0,0.25,0.25,0,1.14,1.0,0.16,0.24,1.0,0.16,0.24
5,0,0,0.25,0.25,0,1.2,1.0,0.26,0.3,1.0,0.26,0.3
5,0,0,0.25,0.25,0,1.26,1.0,0.36,0.34,1.0,0.36,0.34
5,0,0,0.25,0.25,0,1.3199999999999998,1.0,0.34,0.28,1.0,0.34,0.28
5,0,0,0.25,0.25,0,1.38,1.0,0.3,0.32,1.0,0.3,0.32
5,0,0,0.25,0.25,0,1.44,1.0,0.4,0.46,1.0,0.4,0.46
5,0,0,0.25,0.25,0,1.5,1.0,0.24,0.28,1.0,0.24,0.28
5,0,0,0.25,0.25,0,1.56,1.0,0.38,0.34,1.0,0.38,0.34
5,0,0,0.25,0.25,0,1.6199999999999999,1.0,0.36,0.28,1.0,0.36,0.28
5,0,0,0.25,0.25,0,1.68,1.0,0.24,0.3,1.0,0.24,0.3
5,0,0,0.25,0.25,0,1.74,1.0,0.4,0.4,1.0,0.4,0.4
5,0,0,0.25,0.25,0,1.7999999999999998,1.0,0.28,0.36,1.0,0.28,0.36
5,0,0,0.25,0.25,0,1.8599999999999999,1.0,0.26,0.28,1.0,0.26,0.28
5,0,0,0.25,0.25,0,1.92,1.0,0.38,0.4,1.0,0.38,0.4
5,0,0,0.25,0.25,0,1.98,1.0,0.24,0.26,1.0,0.24,0.26
5,0,0,0.25,0.25,0,2.04,1.0,0.26,0.32,1.0,0.26,0.32
5,0,0,0.25,0.25,0,2.1,1.0,0.32,0.36,1.0,0.32,0.36
