m,mean_1,mean_2,var_1,var_2,mean_delta,var_delta,omni_precision_2_ks_2samp,omni_precision_2_mannwhitneyu,omni_precision_2_ttest_ind,omni_recall_2_ks_2samp,omni_recall_2_mannwhitneyu,omni_recall_2_ttest_ind,omni_precision_3_ks_2samp,omni_precision_3_mannwhitneyu,omni_precision_3_ttest_ind,omni_recall_3_ks_2samp,omni_recall_3_mannwhitneyu,omni_recall_3_ttest_ind,omni_precision_4_ks_2samp,omni_precision_4_mannwhitneyu,omni_precision_4_ttest_ind,omni_recall_4_ks_2samp,omni_recall_4_mannwhitneyu,omni_recall_4_ttest_ind,mase_precision_2_ks_2samp,mase_precision_2_mannwhitneyu,mase_precision_2_ttest_ind,mase_recall_2_ks_2samp,mase_recall_2_mannwhitneyu,mase_recall_2_ttest_ind,mase_precision_3_ks_2samp,mase_precision_3_mannwhitneyu,mase_precision_3_ttest_ind,mase_recall_3_ks_2samp,mase_recall_3_mannwhitneyu,mase_recall_3_ttest_ind,mase_precision_4_ks_2samp,mase_precision_4_mannwhitneyu,mase_precision_4_ttest_ind,mase_recall_4_ks_2samp,mase_recall_4_mannwhitneyu,mase_recall_4_ttest_ind
250,0,0,0.25,0.25,0.88,0,0.9362824048538334,0.9078709321566464,0.9529729729729729,1.0,1.0,1.0,0.8531889160619945,0.7680645476195351,0.8378157774245245,1.0,1.0,1.0,0.6512434060863974,0.6013855385535596,0.639888711427193,1.0,1.0,1.0,0.7401139060275276,0.7115514215514216,0.7568044741466671,1.0,1.0,1.0,0.9173565172849577,0.8744118296924861,0.925009046502469,1.0,1.0,1.0,0.7304133411286706,0.6645630275657493,0.7174084685261068,1.0,1.0,1.0
5,0,0,0.25,0.25,0.06,0,0.12600349263794386,0.22653640111681025,0.2112013551840343,0.24213333333333334,0.46620000000000006,0.4422666666666666,0.2237567305312237,0.26719246884400677,0.26759176142288277,0.19859999999999997,0.37273333333333336,0.3134,0.2506689085891543,0.2884131771211711,0.25049884379996656,0.16966666666666672,0.3037333333333334,0.24586666666666676,0.16164902174173015,0.2187621494761629,0.2268259335157972,0.29519999999999996,0.4814666666666667,0.4580666666666668,0.17212076042248975,0.2506468360936686,0.23468445162941518,0.21100000000000002,0.4102000000000002,0.36260000000000003,0.23466974830198395,0.25192352307640625,0.24792548783749205,0.19526666666666667,0.3243333333333333,0.26286666666666664
250,0,0,0.25,0.25,0.68,0,0.9278709321566464,0.8862824048538335,0.93138444567016,1.0,1.0,1.0,0.9034661421020518,0.8174363936867151,0.8896866031395859,1.0,1.0,1.0,0.633509097187393,0.5639523323618159,0.6301999597315834,1.0,1.0,1.0,0.6862382790954221,0.6646497517926092,0.6897517926089357,1.0,1.0,1.0,0.9433333333333335,0.8677574084143646,0.9189441776710684,1.0,1.0,1.0,0.756028896106234,0.6699300270962658,0.7255399574625426,1.0,1.0,1.0
5,0,0,0.25,0.25,0.26,0,0.9178709321566464,0.8267898510755652,0.897330391616106,1.0,1.0,1.0,0.8992649555623751,0.838099294841467,0.91048255625414,0.9988666666666667,0.9995999999999999,0.9995999999999999,0.7617527364450205,0.6902691107460511,0.7221782522871351,0.9903333333333335,0.9942666666666666,0.9970666666666667,0.6620620201817919,0.5876551393213396,0.6348734928789789,0.9855333333333334,0.9909333333333334,0.9899333333333336,0.8504629394444316,0.7625791893760175,0.8659264761055192,0.9991999999999999,0.9995333333333334,0.9994666666666666,0.703650495358249,0.6315349618880794,0.7429712635380986,0.9857333333333334,0.9891333333333334,0.9887333333333334
250,0,0,0.25,0.25,0.48,0,0.9664864864864865,0.8603033645890789,0.9494594594594594,1.0,1.0,1.0,0.9494731934731934,0.855639733239733,0.9328397332397332,1.0,1.0,1.0,0.6118917691434247,0.5544053398356594,0.6040227482125627,1.0,1.0,1.0,0.7097517926089357,0.6270821842250416,0.7062382790954221,1.0,1.0,1.0,0.9273220358825663,0.8532061346940527,0.9394129439469147,1.0,1.0,1.0,0.7439102138605829,0.6805166449989585,0.7460336949126405,1.0,1.0,1.0
5,0,0,0.25,0.25,0.46,0,0.9494594594594594,0.9208439051296193,0.9729729729729729,1.0,1.0,1.0,0.9692307692307692,0.8929347838741347,0.9443402976951364,1.0,1.0,1.0,0.7372960695928064,0.677939556117206,0.7320771155971122,0.9973333333333333,0.9992666666666666,0.9974,0.7512969722100472,0.7213403199117486,0.7599558742415887,0.9947333333333332,1.0,1.0,0.9393529085955998,0.8662141888201224,0.9280777505718862,0.9993999999999998,0.9999333333333333,0.9998666666666667,0.8116052416119692,0.7376890962167048,0.8053765012588869,0.9983333333333333,1.0,1.0
250,0,0,0.25,0.25,0.28,0,0.9429729729729729,0.9124324324324323,0.9259459459459458,1.0,1.0,1.0,0.9048724221621248,0.8507942780839807,0.9424684087841984,1.0,1.0,1.0,0.6711677232016073,0.6286647158602611,0.6987683832746105,1.0,1.0,1.0,0.6411694225979941,0.624142395570967,0.624142395570967,1.0,1.0,1.0,0.8938657006753615,0.8509291244762964,0.9327671718709989,1.0,1.0,1.0,0.7167541639156564,0.6873972381725004,0.738892055599295,1.0,1.0,1.0
5,0,0,0.25,0.25,0.66,0,0.9059459459459458,0.8303033645890788,0.9043574186431329,1.0,1.0,1.0,0.9029217614550279,0.8454971832688868,0.935619879579115,1.0,1.0,1.0,0.6943415014770824,0.6162402868907295,0.7015147566566455,1.0,1.0,1.0,0.5891641697923362,0.5421371427653091,0.5791641697923362,0.9993333333333334,0.9993333333333334,0.9993333333333334,0.8643862653061389,0.8010544710995835,0.8654819061617063,0.9998666666666668,0.9998666666666668,0.9998666666666668,0.7522322672492863,0.7050547679610242,0.7565679679394396,0.9997333333333335,0.9997333333333335,0.9997333333333335
250,0,0,0.25,0.25,0.08,0,0.9459459459459458,0.9224324324324322,0.9494594594594594,1.0,1.0,1.0,0.9478180372886255,0.8498618813867475,0.9532497435134353,1.0,1.0,1.0,0.7728729699798861,0.7379713089950641,0.7925526365873826,0.9998,1.0,1.0,0.6236279118151176,0.6122292933176544,0.6255626266509878,0.9917333333333335,0.9933333333333334,0.9917333333333335,0.9106966516239084,0.8194828078575966,0.8616925047211441,0.9944666666666667,0.9977333333333334,0.9977333333333334,0.7435050100341617,0.6908858795288105,0.7592566111861894,0.9938666666666666,0.9959333333333332,0.9959333333333332
5,0,0,0.25,0.25,0.86,0,0.9578709321566464,0.9024324324324323,0.9394594594594594,1.0,1.0,1.0,0.9183726779608078,0.7981749180049966,0.8545363359618402,1.0,1.0,1.0,0.6833217199329495,0.6111208761989396,0.6418386798473555,1.0,1.0,1.0,0.7022196010232095,0.6661762141828588,0.6932032412098859,0.9993333333333334,1.0,1.0,0.9280866487605617,0.8360539933220119,0.9224255463190019,1.0,1.0,1.0,0.7149248147980635,0.6548308858377888,0.7075032716757069,0.9995333333333334,1.0,0.9999333333333333
