m,mean_1,mean_2,var_1,var_2,mean_delta,var_delta,omni_precision_2_ks_2samp,omni_precision_2_mannwhitneyu,omni_precision_2_ttest_ind,omni_recall_2_ks_2samp,omni_recall_2_mannwhitneyu,omni_recall_2_ttest_ind,omni_precision_3_ks_2samp,omni_precision_3_mannwhitneyu,omni_precision_3_ttest_ind,omni_recall_3_ks_2samp,omni_recall_3_mannwhitneyu,omni_recall_3_ttest_ind,omni_precision_4_ks_2samp,omni_precision_4_mannwhitneyu,omni_precision_4_ttest_ind,omni_recall_4_ks_2samp,omni_recall_4_mannwhitneyu,omni_recall_4_ttest_ind,mase_precision_2_ks_2samp,mase_precision_2_mannwhitneyu,mase_precision_2_ttest_ind,mase_recall_2_ks_2samp,mase_recall_2_mannwhitneyu,mase_recall_2_ttest_ind,mase_precision_3_ks_2samp,mase_precision_3_mannwhitneyu,mase_precision_3_ttest_ind,mase_recall_3_ks_2samp,mase_recall_3_mannwhitneyu,mase_recall_3_ttest_ind,mase_precision_4_ks_2samp,mase_precision_4_mannwhitneyu,mase_precision_4_ttest_ind,mase_recall_4_ks_2samp,mase_recall_4_mannwhitneyu,mase_recall_4_ttest_ind
250,0,0,0.25,0.25,0.8200000000000001,0,0.8973303916161057,0.8773303916161058,0.9648979591836735,1.0,1.0,1.0,0.8796313423438725,0.8227571713111098,0.8912173910259221,1.0,1.0,1.0,0.6634592644930605,0.5686098538686624,0.6212369894361487,0.9999333333333333,1.0,1.0,0.7733370104798677,0.7633370104798677,0.8238775510204083,1.0,1.0,1.0,0.9012142141348828,0.8589445498408891,0.9211211702713471,1.0,1.0,1.0,0.756159532374256,0.7163791857097488,0.7748462759700074,1.0,1.0,1.0
5,0,0,0.25,0.25,0.0,0,0.04262967130520311,0.0734167588220985,0.03344634909294352,0.08346666666666668,0.13033333333333336,0.06520000000000001,0.09834546107985316,0.1788655907491875,0.08817302347527445,0.10706666666666668,0.17026666666666668,0.07806666666666667,0.11838340234827609,0.16313791196232275,0.09580625030202379,0.08680000000000002,0.14453333333333335,0.06753333333333335,0.054474879779344676,0.08138991368831594,0.06167824581716785,0.040266666666666666,0.10933333333333334,0.09440000000000001,0.10924181519281512,0.1666203509672308,0.11668271448337572,0.09186666666666665,0.18419999999999997,0.10753333333333331,0.132245321992309,0.1736095860124033,0.11646170755380726,0.09366666666666665,0.1455333333333333,0.08159999999999998
250,0,0,0.25,0.25,0.62,0,0.9729729729729729,0.8838168781025922,0.9259459459459458,1.0,1.0,1.0,0.9181912729627166,0.8606931190247573,0.9204361141938395,1.0,1.0,1.0,0.7007602094089959,0.6126631524079855,0.6664337203591093,0.9999333333333333,1.0,1.0,0.7297517926089355,0.6641092112520685,0.6792112520683949,1.0,1.0,1.0,0.9394994191208065,0.8249675167519648,0.9378498027466636,1.0,1.0,1.0,0.7588527307019696,0.6974277484138826,0.7650413816243418,1.0,1.0,1.0
5,0,0,0.25,0.25,0.2,0,0.8151935015105575,0.7710372654656866,0.8066224220530325,0.9765333333333335,0.9923333333333333,0.9913333333333334,0.7808772159522467,0.7233941655155008,0.777619637014741,0.9873333333333334,0.9878666666666668,0.9869333333333333,0.759583716675264,0.6777398173669229,0.7447406623586856,0.9754,0.9846,0.9808666666666668,0.6448152130365508,0.5799329457173092,0.6122340709740995,0.9329333333333336,0.9635333333333337,0.9659333333333338,0.8382136726079097,0.7265972051505935,0.8335793507197112,0.9779333333333335,0.9864,0.9853333333333333,0.6918827580416859,0.598466609591563,0.6643773840089291,0.9664666666666668,0.9727333333333332,0.9722
250,0,0,0.25,0.25,0.42,0,0.9429729729729729,0.9229729729729729,0.9664864864864865,1.0,1.0,1.0,0.938896321070234,0.8461274958694314,0.9467532467532468,1.0,1.0,1.0,0.6287912753497246,0.5724870652670662,0.6315308953257156,1.0,1.0,1.0,0.6284046475430821,0.6084046475430821,0.6419181610565957,0.9999333333333333,0.9999333333333333,0.9999333333333333,0.9412457243920724,0.849170722985138,0.9217352941176469,1.0,1.0,1.0,0.7252315493955649,0.6507105817305104,0.7131001054021816,1.0,1.0,1.0
5,0,0,0.25,0.25,0.4,0,0.9024324324324324,0.8524324324324323,0.9194594594594594,1.0,1.0,1.0,0.8991502555659217,0.8061412870997521,0.8912192407625957,0.9998,0.9998,0.9998,0.7420412949905465,0.6749121933181015,0.7630735561374276,0.9996666666666667,0.9999333333333333,0.9978,0.6980901474115558,0.6639519383964994,0.7215785431856658,0.9932666666666666,0.9965333333333334,0.9951333333333333,0.8894561181115802,0.821041052804189,0.9180768875632974,0.9991333333333334,0.9996666666666668,0.9996666666666668,0.7573588581379552,0.6718248518732811,0.7537926108454086,0.9965999999999998,0.998,0.9977999999999999
250,0,0,0.25,0.25,0.22,0,0.9429729729729729,0.8522283507997792,0.9008439051296193,1.0,1.0,1.0,0.9092592830982765,0.8258396724471421,0.8694486806518025,1.0,1.0,1.0,0.7180372807950427,0.665753378353223,0.7084338663162015,0.9995999999999999,1.0,1.0,0.726105353388086,0.658136530287791,0.6974897990582459,0.9997333333333333,0.9999333333333333,0.9997333333333333,0.8999531369663633,0.8351863694536229,0.8935089199864319,1.0,1.0,1.0,0.7601824128479032,0.6999981794945804,0.7441303241406974,0.9998000000000001,0.9998000000000001,0.9998000000000001
5,0,0,0.25,0.25,0.6,0,0.9464864864864865,0.9294594594594594,0.9394594594594594,1.0,1.0,1.0,0.9251595776772246,0.8845483855470053,0.9138419491262831,1.0,1.0,1.0,0.7582379112562389,0.6948060472715214,0.7410437508473042,0.9988666666666667,0.9989333333333333,0.9989333333333333,0.7041151096733245,0.6902054376964256,0.7002054376964256,0.9974000000000001,0.9988000000000001,0.9988000000000001,0.9227126635320707,0.8931679639907775,0.9372278228164866,1.0,1.0,1.0,0.7645622339232716,0.6816159721184429,0.7253362168094877,0.9960666666666665,0.9984666666666666,0.9984666666666666
250,0,0,0.25,0.25,0.02,0,0.290349223690983,0.27739205977185327,0.28061399275425924,0.7953333333333334,0.9149333333333334,0.9016666666666668,0.365135770603085,0.31348343803166534,0.32739891439209545,0.6676000000000001,0.8531333333333333,0.8321333333333334,0.36801912720294133,0.3246131621464668,0.33723518115070183,0.6013999999999998,0.7446666666666668,0.7135999999999999,0.25693653997464755,0.24959721701067028,0.25143034090438304,0.7601333333333333,0.8902666666666669,0.8766666666666668,0.2655374821320359,0.26486197899194913,0.26743872150395676,0.5260666666666665,0.7144666666666665,0.6909333333333331,0.2699465621495803,0.26869372236963057,0.2743252134128154,0.43986666666666663,0.6326666666666667,0.6122
5,0,0,0.25,0.25,0.8,0,0.9564864864864865,0.9194594594594595,0.9564864864864865,1.0,1.0,1.0,0.9512030075187969,0.8342717553739224,0.8655519960803092,1.0,1.0,1.0,0.7082998371229193,0.6052120247581472,0.6568416852096824,0.9999333333333333,0.9990000000000001,1.0,0.6377551020408166,0.6377551020408166,0.6477551020408165,1.0,1.0,1.0,0.9191263557737261,0.8579877196248269,0.9108953325471545,0.9998666666666667,0.9999333333333333,1.0,0.7264877835258531,0.6417813189374866,0.7225553531674125,0.9994,1.0,1.0
