m,mean_1,mean_2,var_1,var_2,mean_delta,var_delta,omni_precision_2_ks_2samp,omni_precision_2_mannwhitneyu,omni_precision_2_ttest_ind,omni_recall_2_ks_2samp,omni_recall_2_mannwhitneyu,omni_recall_2_ttest_ind,mase_precision_2_ks_2samp,mase_precision_2_mannwhitneyu,mase_precision_2_ttest_ind,mase_recall_2_ks_2samp,mase_recall_2_mannwhitneyu,mase_recall_2_ttest_ind
250,0,0,0.25,0.25,1.0,0,0.9664864864864865,0.9229729729729729,0.9564864864864865,1.0,1.0,1.0,0.9362824048538334,0.8927688913403199,0.9262824048538334,1.0,1.0,1.0
5,0,0,0.25,0.25,0.02,0,0.02632471110757636,0.06436858929475216,0.028755944804441852,0.030933333333333337,0.0934,0.044,0.07823770569944244,0.10856931246482183,0.07648742273311117,0.10980000000000001,0.226,0.13713333333333336
250,0,0,0.25,0.25,0.96,0,0.9124324324324324,0.8889189189189188,0.9224324324324322,1.0,1.0,1.0,0.8682889568603853,0.8571666224047176,0.8918024703738989,1.0,1.0,1.0
5,0,0,0.25,0.25,0.06,0,0.1258413427052989,0.1713625368791023,0.13123591515022837,0.19993333333333332,0.2838,0.20046666666666668,0.11171034345270994,0.16580488652479985,0.10830433523964395,0.22499999999999998,0.3440666666666667,0.2238
250,0,0,0.25,0.25,0.92,0,0.9564864864864865,0.8624324324324324,0.9259459459459459,1.0,1.0,1.0,0.8357104723771391,0.7551296194153337,0.8051296194153338,1.0,1.0,1.0
5,0,0,0.25,0.25,0.1,0,0.19207868545906293,0.2427607772038332,0.2036016424346178,0.33799999999999997,0.49939999999999996,0.36839999999999995,0.15189651374953608,0.2099486404918266,0.18697688976451196,0.33086666666666675,0.5359333333333334,0.4580666666666666
250,0,0,0.25,0.25,0.88,0,0.9194594594594594,0.8689189189189187,0.9159459459459458,1.0,1.0,1.0,0.8175624147652347,0.777021874224694,0.8140489012517211,1.0,1.0,1.0
5,0,0,0.25,0.25,0.14,0,0.2647493515924003,0.30635869801041304,0.30153185846683617,0.5333333333333333,0.6406000000000001,0.5546,0.24610787790126154,0.2743360447773131,0.26441916578778385,0.5379333333333334,0.6962,0.6277333333333333
250,0,0,0.25,0.25,0.84,0,0.9294594594594594,0.8789189189189187,0.9294594594594594,1.0,1.0,1.0,0.8150234119061097,0.7744828713655691,0.8150234119061096,0.9998666666666667,0.9998666666666667,0.9998666666666667
5,0,0,0.25,0.25,0.18,0,0.42467072022263186,0.37597614940352136,0.39440471796676024,0.7274666666666667,0.8238,0.7785333333333334,0.3013422925004898,0.2919591984522896,0.3047458236507394,0.7020000000000002,0.8150666666666667,0.7741333333333335
250,0,0,0.25,0.25,0.8,0,0.9294594594594594,0.8759459459459458,0.9159459459459458,1.0,1.0,1.0,0.8101098206623649,0.7801098206623649,0.8101098206623649,1.0,1.0,1.0
5,0,0,0.25,0.25,0.22,0,0.4326047238889616,0.4014980946571404,0.41568665836170055,0.8888000000000003,0.9122000000000002,0.8912000000000003,0.375051579255963,0.36213970043199173,0.3787482036383975,0.8379333333333334,0.885,0.8347333333333334
250,0,0,0.25,0.25,0.76,0,0.9513844456701599,0.8894594594594594,0.98,1.0,1.0,1.0,0.8557054650287733,0.8037804788180728,0.8843210193586134,1.0,1.0,1.0
5,0,0,0.25,0.25,0.26,0,0.7024868315666977,0.612831247505263,0.6751306368209085,0.9184000000000002,0.9555333333333335,0.9409333333333335,0.37423266684068457,0.35186754410068505,0.3642718893551966,0.8872000000000001,0.9294000000000002,0.9061333333333335
250,0,0,0.25,0.25,0.72,0,0.9094594594594594,0.8303033645890787,0.9059459459459458,1.0,1.0,1.0,0.7770229302534122,0.6943533218695179,0.7599959032263851,1.0,1.0,1.0
5,0,0,0.25,0.25,0.3,0,0.793685909892117,0.7456069938793825,0.7892227938062291,0.9708000000000002,0.9824666666666669,0.9754000000000002,0.5216498103435119,0.49053210622526294,0.5070299270106757,0.9345333333333334,0.9649333333333335,0.9525333333333335
250,0,0,0.25,0.25,0.68,0,0.9629729729729729,0.9159459459459458,0.9529729729729729,1.0,1.0,1.0,0.7193315342665992,0.6958180207530857,0.7193315342665992,0.9998,0.9998,0.9998
5,0,0,0.25,0.25,0.34,0,0.8884855152068762,0.8424700596660544,0.887975264089728,0.9843333333333335,0.9875333333333336,0.9875333333333336,0.7029803965324297,0.6182654865194998,0.6859601386038108,0.9720666666666667,0.9803999999999999,0.9773999999999999
250,0,0,0.25,0.25,0.64,0,0.9143574186431329,0.8792553778268064,0.8959459459459458,1.0,1.0,1.0,0.7288614747151334,0.7037594338988069,0.7204500020179464,1.0,1.0,1.0
5,0,0,0.25,0.25,0.38,0,0.8584603407627752,0.781433313735748,0.8569385181594217,0.9968,0.9968,0.9968,0.6750827664343845,0.5994401850775174,0.661569252920871,0.9786000000000001,0.9786000000000001,0.9786000000000001
250,0,0,0.25,0.25,0.6,0,0.9529729729729729,0.9194594594594594,0.9564864864864865,1.0,1.0,1.0,0.7599558742415886,0.726442360728075,0.7499558742415886,1.0,1.0,1.0
5,0,0,0.25,0.25,0.42,0,0.9165534765534765,0.9165534765534765,0.9635805035805036,0.9968,0.9968,0.9968,0.718132904703362,0.7413028791499617,0.765230304707166,0.9903333333333335,0.9964,0.9940000000000001
250,0,0,0.25,0.25,0.56,0,0.9229729729729729,0.8424324324324324,0.9529729729729729,1.0,1.0,1.0,0.7648217491197893,0.6977947220927624,0.7748217491197894,1.0,1.0,1.0
5,0,0,0.25,0.25,0.46,0,0.9478709321566464,0.8404835447692591,0.9345375988233131,0.9968,0.9984000000000001,0.9984000000000001,0.6475874849187335,0.5890033151003392,0.6464442541710571,0.9843333333333334,0.9891333333333334,0.9867333333333335
250,0,0,0.25,0.25,0.52,0,0.8624324324324324,0.8254054054054053,0.9464864864864865,1.0,1.0,1.0,0.6703144759666501,0.6703144759666501,0.7443685300207042,1.0,1.0,1.0
5,0,0,0.25,0.25,0.5,0,0.9428089311650955,0.9022683906245548,0.9457819041380684,1.0,1.0,1.0,0.6600680431096723,0.6430114390344346,0.6630114390344346,0.9919333333333333,0.9949333333333334,0.9949333333333334
250,0,0,0.25,0.25,0.48,0,0.9594594594594593,0.9629729729729729,0.99,1.0,1.0,1.0,0.8203640375068949,0.8238775510204083,0.8238775510204083,1.0,1.0,1.0
5,0,0,0.25,0.25,0.54,0,0.9294594594594594,0.8308439051296194,0.9094594594594594,1.0,1.0,1.0,0.6923569728753713,0.6179214364104371,0.6682969741010867,0.9858666666666666,0.9929333333333332,0.9895333333333332
250,0,0,0.25,0.25,0.44,0,0.9243574186431328,0.8638168781025922,0.9513844456701599,1.0,1.0,1.0,0.7586948065143556,0.7183098054649887,0.7722083200278691,1.0,1.0,1.0
5,0,0,0.25,0.25,0.58,0,0.9394594594594594,0.9159459459459458,0.9629729729729729,1.0,1.0,1.0,0.6719576817951204,0.6719576817951204,0.6919576817951204,0.9910666666666669,0.9910666666666669,0.9910666666666669
250,0,0,0.25,0.25,0.4,0,0.9529729729729729,0.9059459459459458,0.9494594594594594,1.0,1.0,1.0,0.7750579150579153,0.7380308880308882,0.7515444015444018,1.0,1.0,1.0
5,0,0,0.25,0.25,0.62,0,0.9294594594594594,0.9194594594594594,0.9564864864864865,1.0,1.0,1.0,0.7600538246393757,0.7365403111258622,0.7735673381528891,0.9949999999999999,0.9949999999999999,0.9949999999999999
250,0,0,0.25,0.25,0.36,0,0.9629729729729729,0.8824324324324324,0.9059459459459458,1.0,1.0,1.0,0.7062382790954221,0.6627247655819086,0.6627247655819086,1.0,1.0,1.0
5,0,0,0.25,0.25,0.66,0,0.9229729729729729,0.8943574186431329,0.94138444567016,1.0,1.0,1.0,0.6762527063514808,0.6600124074150048,0.6800124074150049,0.9980000000000001,0.9980000000000001,0.9980000000000001
250,0,0,0.25,0.25,0.32,0,0.9629729729729729,0.8759459459459458,0.9764864864864865,1.0,1.0,1.0,0.7804755973880398,0.7404755973880398,0.7939891109015533,0.9999333333333333,0.9999333333333333,0.9999333333333333
5,0,0,0.25,0.25,0.7000000000000001,0,0.9764864864864865,0.9764864864864865,0.9764864864864865,1.0,1.0,1.0,0.7065306976513946,0.7045488382409637,0.7045488382409637,0.9954666666666665,0.9983333333333334,0.9983333333333334
250,0,0,0.25,0.25,0.28,0,0.9529729729729729,0.8654054054054053,0.9529729729729729,1.0,1.0,1.0,0.7651724872025625,0.697604919634995,0.7651724872025626,1.0,1.0,1.0
5,0,0,0.25,0.25,0.74,0,0.9194594594594594,0.8924324324324323,0.9429729729729729,1.0,1.0,1.0,0.7169894765127204,0.7043171102743923,0.7278306237879058,0.9939333333333333,0.9967333333333334,0.9967333333333334
250,0,0,0.25,0.25,0.24,0,0.9764864864864865,0.9529729729729729,0.98,1.0,1.0,1.0,0.7046497517926091,0.6811362382790956,0.7081632653061227,1.0,1.0,1.0
5,0,0,0.25,0.25,0.78,0,0.9664864864864865,0.9094594594594594,0.9394594594594594,1.0,1.0,1.0,0.669243621852306,0.622216594825279,0.6322165948252789,0.9948000000000001,0.9948000000000001,0.9948000000000001
250,0,0,0.25,0.25,0.2,0,0.9394594594594594,0.8316878102592387,0.9108439051296193,1.0,1.0,1.0,0.7049114129713171,0.6122418045874228,0.666295858641477,0.9999333333333333,0.9999333333333333,0.9999333333333333
5,0,0,0.25,0.25,0.8200000000000001,0,0.9224324324324322,0.8789189189189187,0.9124324324324323,1.0,1.0,1.0,0.6351337137373935,0.6016202002238799,0.6251337137373933,0.9956666666666666,0.9956666666666666,0.9956666666666666
250,0,0,0.25,0.25,0.16,0,0.9208439051296193,0.9143574186431329,0.9478709321566464,1.0,1.0,1.0,0.6804814806685764,0.6839949941820899,0.6960794315348484,1.0,1.0,0.9996
5,0,0,0.25,0.25,0.86,0,0.9629729729729729,0.9208439051296193,0.9864864864864864,1.0,1.0,1.0,0.7014943177427653,0.6761405523429437,0.7147561066727839,0.9981333333333333,0.9993333333333334,0.9993333333333334
250,0,0,0.25,0.25,0.12,0,0.9494594594594594,0.8503033645890787,0.9294594594594594,1.0,1.0,1.0,0.6258364798738234,0.5479792818374609,0.5889264769317148,0.9925333333333335,0.9974000000000001,0.9958000000000001
5,0,0,0.25,0.25,0.9,0,0.9764864864864865,0.9594594594594593,0.9729729729729729,1.0,1.0,1.0,0.707084177853515,0.7049757262110206,0.718489239724534,0.9978000000000001,0.9966000000000002,0.9966000000000002
250,0,0,0.25,0.25,0.08,0,0.8471287679169452,0.8253361589814793,0.8655402406141322,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.2817178789158075,0.27374551137437053,0.2747688736890424,0.9817333333333335,0.9894666666666667,0.9876000000000001
5,0,0,0.25,0.25,0.9400000000000001,0,0.98,0.9264864864864865,0.9864864864864864,1.0,1.0,1.0,0.73976023976024,0.6951243917910586,0.7462467262467264,1.0,1.0,1.0
250,0,0,0.25,0.25,0.04,0,0.2782851308210566,0.2635251813238234,0.2661542014423104,0.9058666666666667,0.9496666666666669,0.9446666666666669,0.2532759391614557,0.24984197269619968,0.2520524672839265,0.9342000000000001,0.9705333333333335,0.9556000000000001
5,0,0,0.25,0.25,0.98,0,0.96,0.9364864864864865,0.9364864864864865,1.0,1.0,1.0,0.7679914960432203,0.7534286562857991,0.7534286562857991,0.9964000000000002,0.9992666666666667,0.9992666666666667
