m,mean_1,mean_2,var_1,var_2,mean_delta,var_delta,omni_precision_ks_2samp,omni_precision_mannwhitneyu,omni_precision_ttest_ind,omni_recall_ks_2samp,omni_recall_mannwhitneyu,omni_recall_ttest_ind
5,0,0,0.25,0.25,0,0.0,0.06648648648648649,0.11297297297297298,0.09648648648648649,0.08,0.16,0.12
5,0,0,0.25,0.25,0,0.06,0.15,0.06,0.04,0.16,0.06,0.04
5,0,0,0.25,0.25,0,0.12,0.36297297297297293,0.05,0.04,0.4,0.06,0.04
5,0,0,0.25,0.25,0,0.18,0.7029729729729729,0.04297297297297297,0.06,0.76,0.08,0.06
5,0,0,0.25,0.25,0,0.24,0.8894594594594594,0.14,0.06,0.98,0.14,0.06
5,0,0,0.25,0.25,0,0.3,0.9594594594594593,0.06,0.04,1.0,0.06,0.04
5,0,0,0.25,0.25,0,0.36,0.9159459459459458,0.051384445670159956,0.04,0.98,0.08,0.04
5,0,0,0.25,0.25,0,0.42,0.9729729729729729,0.16787093215664645,0.11648648648648649,1.0,0.22,0.14
5,0,0,0.25,0.25,0,0.48,0.9429729729729729,0.08648648648648649,0.08,0.98,0.1,0.08
5,0,0,0.25,0.25,0,0.54,0.8994594594594594,0.15,0.04,1.0,0.18,0.04
5,0,0,0.25,0.25,0,0.6,0.9089189189189189,0.09945945945945946,0.06648648648648649,1.0,0.14,0.08
5,0,0,0.25,0.25,0,0.6599999999999999,0.9764864864864865,0.13,0.1,1.0,0.14,0.1
5,0,0,0.25,0.25,0,0.72,0.9229729729729729,0.08,0.04,1.0,0.08,0.04
5,0,0,0.25,0.25,0,0.78,0.9629729729729729,0.1064864864864865,0.05,1.0,0.14,0.06
5,0,0,0.25,0.25,0,0.84,0.9394594594594594,0.05,0.04,1.0,0.06,0.04
5,0,0,0.25,0.25,0,0.8999999999999999,0.9324324324324322,0.14,0.06,1.0,0.14,0.06
5,0,0,0.25,0.25,0,0.96,0.9429729729729729,0.04,0.04,1.0,0.04,0.04
5,0,0,0.25,0.25,0,1.02,0.8673303916161058,0.06648648648648649,0.02,1.0,0.08,0.02
5,0,0,0.25,0.25,0,1.08,0.8689189189189187,0.07297297297297298,0.026486486486486487,1.0,0.1,0.04
5,0,0,0.25,0.25,0,1.14,0.9594594594594593,0.08,0.02,1.0,0.08,0.02
5,0,0,0.25,0.25,0,1.2,0.9464864864864865,0.1,0.06,1.0,0.1,0.06
5,0,0,0.25,0.25,0,1.26,0.9089189189189187,0.06,0.02,1.0,0.06,0.02
5,0,0,0.25,0.25,0,1.3199999999999998,0.9394594594594595,0.18,0.14,1.0,0.18,0.14
5,0,0,0.25,0.25,0,1.38,0.9564864864864865,0.1464864864864865,0.06,1.0,0.16,0.06
5,0,0,0.25,0.25,0,1.44,0.9494594594594594,0.13648648648648648,0.07,1.0,0.16,0.08
5,0,0,0.25,0.25,0,1.5,0.9664864864864865,0.14,0.02,1.0,0.14,0.02
5,0,0,0.25,0.25,0,1.56,0.9494594594594594,0.05297297297297297,0.02,1.0,0.08,0.02
5,0,0,0.25,0.25,0,1.6199999999999999,0.9159459459459458,0.1,0.06,1.0,0.1,0.06
5,0,0,0.25,0.25,0,1.68,0.9564864864864865,0.06648648648648649,0.04,1.0,0.08,0.04
5,0,0,0.25,0.25,0,1.74,0.9494594594594594,0.1,0.08,1.0,0.1,0.08
5,0,0,0.25,0.25,0,1.7999999999999998,0.9359459459459458,0.06,0.02,1.0,0.06,0.02
5,0,0,0.25,0.25,0,1.8599999999999999,0.9664864864864865,0.1464864864864865,0.1,1.0,0.16,0.1
5,0,0,0.25,0.25,0,1.92,0.9264864864864865,0.11648648648648649,0.09,1.0,0.14,0.1
5,0,0,0.25,0.25,0,1.98,0.9578709321566464,0.04,0.02,1.0,0.04,0.02
5,0,0,0.25,0.25,0,2.04,0.9629729729729729,0.12,0.1,1.0,0.12,0.1
5,0,0,0.25,0.25,0,2.1,0.9343574186431328,0.07,0.04,1.0,0.08,0.04
5,0,0,0.25,0.25,0,2.16,0.9529729729729729,0.11297297297297298,0.1064864864864865,1.0,0.14,0.12
5,0,0,0.25,0.25,0,2.2199999999999998,0.9494594594594594,0.15,0.06,1.0,0.16,0.06
5,0,0,0.25,0.25,0,2.28,0.9664864864864865,0.15,0.1,1.0,0.16,0.1
5,0,0,0.25,0.25,0,2.34,0.9729729729729729,0.14,0.02,1.0,0.14,0.02
5,0,0,0.25,0.25,0,2.4,0.96,0.05,0.02,1.0,0.06,0.02
5,0,0,0.25,0.25,0,2.46,0.9464864864864865,0.05,0.04,1.0,0.06,0.04
5,0,0,0.25,0.25,0,2.52,0.9529729729729729,0.1264864864864865,0.04,1.0,0.14,0.04
5,0,0,0.25,0.25,0,2.58,0.9513844456701599,0.13648648648648648,0.05,1.0,0.16,0.06
5,0,0,0.25,0.25,0,2.6399999999999997,0.9548979591836735,0.05648648648648649,0.02,1.0,0.08,0.02
5,0,0,0.25,0.25,0,2.6999999999999997,0.9224324324324322,0.04,0.04,1.0,0.04,0.04
5,0,0,0.25,0.25,0,2.76,0.9229729729729729,0.05648648648648649,0.05648648648648649,1.0,0.08,0.08
5,0,0,0.25,0.25,0,2.82,0.9764864864864865,0.15138444567015996,0.12,1.0,0.2,0.12
5,0,0,0.25,0.25,0,2.88,0.94138444567016,0.09,0.08,1.0,0.1,0.08
5,0,0,0.25,0.25,0,2.94,0.9294594594594594,0.07138444567015996,0.03,1.0,0.1,0.04
5,0,0,0.25,0.25,0,3.0,0.9329729729729729,0.059459459459459456,0.06648648648648649,1.0,0.1,0.08
10,0,0,0.25,0.25,0,0.0,0.02,0.09,0.05,0.02,0.1,0.06
10,0,0,0.25,0.25,0,0.06,0.32,0.02,0.02,0.32,0.02,0.02
10,0,0,0.25,0.25,0,0.12,0.7494594594594594,0.1,0.07,0.82,0.12,0.08
10,0,0,0.25,0.25,0,0.18,0.9359459459459459,0.07297297297297298,0.04648648648648649,1.0,0.1,0.06
10,0,0,0.25,0.25,0,0.24,0.9664864864864865,0.16648648648648648,0.08,1.0,0.18,0.08
10,0,0,0.25,0.25,0,0.3,0.9494594594594594,0.11,0.04,1.0,0.12,0.04
10,0,0,0.25,0.25,0,0.36,0.9529729729729729,0.08,0.04,1.0,0.08,0.04
10,0,0,0.25,0.25,0,0.42,0.9664864864864865,0.09,0.06,1.0,0.1,0.06
10,0,0,0.25,0.25,0,0.48,0.9159459459459459,0.13,0.05,1.0,0.14,0.06
10,0,0,0.25,0.25,0,0.54,0.96,0.06138444567015996,0.03,1.0,0.1,0.04
10,0,0,0.25,0.25,0,0.6,0.9294594594594594,0.02,0.0,1.0,0.02,0.0
10,0,0,0.25,0.25,0,0.6599999999999999,0.9294594594594594,0.03,0.02,1.0,0.04,0.02
10,0,0,0.25,0.25,0,0.72,0.9329729729729729,0.06,0.0,1.0,0.06,0.0
10,0,0,0.25,0.25,0,0.78,0.9764864864864865,0.03648648648648649,0.02,1.0,0.06,0.02
10,0,0,0.25,0.25,0,0.84,0.9429729729729729,0.02,0.02,1.0,0.02,0.02
10,0,0,0.25,0.25,0,0.8999999999999999,0.9027688913403199,0.08138444567015996,0.05489795918367347,1.0,0.12,0.08
10,0,0,0.25,0.25,0,0.96,0.9229729729729729,0.08,0.04,1.0,0.08,0.04
10,0,0,0.25,0.25,0,1.02,0.9329729729729729,0.11648648648648649,0.08,1.0,0.16,0.08
10,0,0,0.25,0.25,0,1.08,0.9459459459459458,0.04648648648648649,0.04,1.0,0.06,0.04
10,0,0,0.25,0.25,0,1.14,0.9664864864864865,0.06,0.0,1.0,0.06,0.0
10,0,0,0.25,0.25,0,1.2,0.9478709321566464,0.07297297297297298,0.06,1.0,0.1,0.06
10,0,0,0.25,0.25,0,1.26,0.9529729729729729,0.08648648648648649,0.0,1.0,0.1,0.0
10,0,0,0.25,0.25,0,1.3199999999999998,0.9529729729729729,0.09297297297297298,0.02,1.0,0.12,0.02
10,0,0,0.25,0.25,0,1.38,0.9364864864864865,0.1,0.06,1.0,0.1,0.06
10,0,0,0.25,0.25,0,1.44,0.8924324324324324,0.02,0.0,1.0,0.02,0.0
10,0,0,0.25,0.25,0,1.5,0.9329729729729729,0.1,0.04,1.0,0.12,0.04
10,0,0,0.25,0.25,0,1.56,0.9359459459459458,0.06648648648648649,0.06,1.0,0.08,0.06
10,0,0,0.25,0.25,0,1.6199999999999999,0.9564864864864865,0.13,0.02,1.0,0.14,0.02
10,0,0,0.25,0.25,0,1.68,0.9764864864864865,0.08489795918367347,0.07,1.0,0.1,0.08
10,0,0,0.25,0.25,0,1.74,0.9729729729729729,0.06,0.04,1.0,0.06,0.04
10,0,0,0.25,0.25,0,1.7999999999999998,0.9464864864864865,0.16,0.04,1.0,0.18,0.04
10,0,0,0.25,0.25,0,1.8599999999999999,0.9329729729729729,0.1464864864864865,0.08648648648648649,1.0,0.16,0.1
