,p,effect size,sample size,pval,stat
0,0.5,0.0,10,0.2720516555312569,1.1330713943118378
1,0.5,0.005050505050505051,10,0.18077453725572779,-1.3923685712680625
2,0.5,0.010101010101010102,10,0.6007719584765621,0.5326772066368979
3,0.5,0.015151515151515152,10,0.8241007120462838,-0.22553925887976944
4,0.5,0.020202020202020204,10,0.033374286847429185,2.3037430579936977
5,0.5,0.025252525252525256,10,0.23924832948732566,1.2171946329011971
6,0.5,0.030303030303030304,10,0.18309135150286898,1.3846278700685568
7,0.5,0.03535353535353536,10,0.8545910046795909,-0.18591434051054276
8,0.5,0.04040404040404041,10,0.37767264783134863,-0.9045095905009642
9,0.5,0.045454545454545456,10,0.2576800920915403,-1.1689294614494685
10,0.5,0.05050505050505051,10,0.10946605329511766,1.6838824108433506
11,0.5,0.05555555555555556,10,0.29845767265007717,-1.0706866320879138
12,0.5,0.06060606060606061,10,0.5222603423967184,0.6526029568656481
13,0.5,0.06565656565656566,10,0.08270288435845054,-1.837494309309117
14,0.5,0.07070707070707072,10,0.8841724485509094,0.14776297102686659
15,0.5,0.07575757575757576,10,0.8503252967358128,-0.1914380642136753
16,0.5,0.08080808080808081,10,0.8416666597692222,0.20266939600627829
17,0.5,0.08585858585858587,10,0.00499717516294734,-3.1968313360292204
18,0.5,0.09090909090909091,10,0.12684794080651807,-1.600698174404007
19,0.5,0.09595959595959597,10,0.6353238375695582,0.48241737166061205
20,0.5,0.10101010101010102,10,0.5843724639364827,0.5570225217095996
21,0.5,0.10606060606060606,10,0.8146211361407633,0.23793210327780293
22,0.5,0.11111111111111112,10,0.34097368365643627,-0.9781308690799481
23,0.5,0.11616161616161617,10,0.575650007912536,-0.5701111423806873
24,0.5,0.12121212121212122,10,0.6531476690711462,0.4569865727231955
25,0.5,0.12626262626262627,10,0.11280125892275565,-1.6670884253844438
26,0.5,0.13131313131313133,10,0.18095971162830085,-1.3917469588784983
27,0.5,0.13636363636363638,10,0.0010065306090943093,-3.9187245583367876
28,0.5,0.14141414141414144,10,0.01531651243674531,-2.6790829481698513
29,0.5,0.14646464646464646,10,0.28624073289309493,-1.0990237280535908
30,0.5,0.15151515151515152,10,0.006827558945587956,-3.054335958433251
