,$p_{ij}$,test,power
0,0.001,t-test,0.067
1,0.01108080808080808,t-test,0.085
2,0.021161616161616163,t-test,0.096
3,0.031242424242424245,t-test,0.102
4,0.041323232323232324,t-test,0.108
5,0.0514040404040404,t-test,0.102
6,0.06148484848484849,t-test,0.096
7,0.07156565656565657,t-test,0.117
8,0.08164646464646465,t-test,0.105
9,0.09172727272727273,t-test,0.092
10,0.1018080808080808,t-test,0.099
11,0.11188888888888888,t-test,0.086
12,0.12196969696969698,t-test,0.088
13,0.13205050505050506,t-test,0.085
14,0.14213131313131314,t-test,0.073
15,0.15221212121212122,t-test,0.077
16,0.1622929292929293,t-test,0.07
17,0.17237373737373737,t-test,0.084
18,0.18245454545454545,t-test,0.055
19,0.19253535353535353,t-test,0.067
20,0.2026161616161616,t-test,0.087
21,0.2126969696969697,t-test,0.075
22,0.22277777777777777,t-test,0.077
23,0.23285858585858585,t-test,0.075
24,0.24293939393939395,t-test,0.071
25,0.25302020202020203,t-test,0.072
26,0.2631010101010101,t-test,0.062
27,0.2731818181818182,t-test,0.059
28,0.28326262626262627,t-test,0.079
29,0.29334343434343435,t-test,0.067
30,0.30342424242424243,t-test,0.065
31,0.3135050505050505,t-test,0.08
32,0.3235858585858586,t-test,0.073
33,0.33366666666666667,t-test,0.078
34,0.34374747474747475,t-test,0.068
35,0.3538282828282828,t-test,0.064
36,0.3639090909090909,t-test,0.077
37,0.373989898989899,t-test,0.052
38,0.38407070707070706,t-test,0.057
39,0.39415151515151514,t-test,0.068
40,0.4042323232323232,t-test,0.065
41,0.4143131313131313,t-test,0.071
42,0.4243939393939394,t-test,0.058
43,0.43447474747474746,t-test,0.059
44,0.44455555555555554,t-test,0.079
45,0.4546363636363636,t-test,0.058
46,0.4647171717171717,t-test,0.059
47,0.4747979797979798,t-test,0.073
48,0.4848787878787879,t-test,0.078
49,0.494959595959596,t-test,0.07
50,0.5050404040404041,t-test,0.073
51,0.5151212121212121,t-test,0.082
52,0.5252020202020202,t-test,0.068
53,0.5352828282828282,t-test,0.07
54,0.5453636363636364,t-test,0.076
55,0.5554444444444444,t-test,0.081
56,0.5655252525252525,t-test,0.076
57,0.5756060606060606,t-test,0.074
58,0.5856868686868687,t-test,0.067
59,0.5957676767676767,t-test,0.065
60,0.6058484848484849,t-test,0.074
61,0.6159292929292929,t-test,0.059
62,0.626010101010101,t-test,0.053
63,0.636090909090909,t-test,0.065
64,0.6461717171717172,t-test,0.067
65,0.6562525252525253,t-test,0.059
66,0.6663333333333333,t-test,0.067
67,0.6764141414141415,t-test,0.078
68,0.6864949494949495,t-test,0.071
69,0.6965757575757576,t-test,0.062
70,0.7066565656565656,t-test,0.06
71,0.7167373737373738,t-test,0.065
72,0.7268181818181818,t-test,0.064
73,0.7368989898989899,t-test,0.073
74,0.746979797979798,t-test,0.069
75,0.7570606060606061,t-test,0.077
76,0.7671414141414141,t-test,0.068
77,0.7772222222222223,t-test,0.075
78,0.7873030303030303,t-test,0.1
79,0.7973838383838384,t-test,0.066
80,0.8074646464646464,t-test,0.075
81,0.8175454545454546,t-test,0.07
82,0.8276262626262626,t-test,0.081
83,0.8377070707070707,t-test,0.08
84,0.8477878787878788,t-test,0.071
85,0.8578686868686869,t-test,0.08
86,0.8679494949494949,t-test,0.085
87,0.878030303030303,t-test,0.088
88,0.8881111111111111,t-test,0.104
89,0.8981919191919192,t-test,0.11
90,0.9082727272727272,t-test,0.103
91,0.9183535353535354,t-test,0.097
92,0.9284343434343434,t-test,0.107
93,0.9385151515151515,t-test,0.105
94,0.9485959595959595,t-test,0.116
95,0.9586767676767677,t-test,0.098
96,0.9687575757575758,t-test,0.11
97,0.9788383838383838,t-test,0.089
98,0.988919191919192,t-test,0.079
99,0.999,t-test,0.06
100,0.001,mann-whitney,0.188
101,0.01108080808080808,mann-whitney,0.208
102,0.021161616161616163,mann-whitney,0.228
103,0.031242424242424245,mann-whitney,0.218
104,0.041323232323232324,mann-whitney,0.205
105,0.0514040404040404,mann-whitney,0.191
106,0.06148484848484849,mann-whitney,0.186
107,0.07156565656565657,mann-whitney,0.193
108,0.08164646464646465,mann-whitney,0.181
109,0.09172727272727273,mann-whitney,0.166
110,0.1018080808080808,mann-whitney,0.162
111,0.11188888888888888,mann-whitney,0.157
112,0.12196969696969698,mann-whitney,0.156
113,0.13205050505050506,mann-whitney,0.157
114,0.14213131313131314,mann-whitney,0.127
115,0.15221212121212122,mann-whitney,0.133
116,0.1622929292929293,mann-whitney,0.127
117,0.17237373737373737,mann-whitney,0.129
118,0.18245454545454545,mann-whitney,0.111
119,0.19253535353535353,mann-whitney,0.123
120,0.2026161616161616,mann-whitney,0.142
121,0.2126969696969697,mann-whitney,0.136
122,0.22277777777777777,mann-whitney,0.14
123,0.23285858585858585,mann-whitney,0.136
124,0.24293939393939395,mann-whitney,0.133
125,0.25302020202020203,mann-whitney,0.141
126,0.2631010101010101,mann-whitney,0.115
127,0.2731818181818182,mann-whitney,0.119
128,0.28326262626262627,mann-whitney,0.137
129,0.29334343434343435,mann-whitney,0.121
130,0.30342424242424243,mann-whitney,0.12
131,0.3135050505050505,mann-whitney,0.149
132,0.3235858585858586,mann-whitney,0.13
133,0.33366666666666667,mann-whitney,0.134
134,0.34374747474747475,mann-whitney,0.117
135,0.3538282828282828,mann-whitney,0.108
136,0.3639090909090909,mann-whitney,0.123
137,0.373989898989899,mann-whitney,0.107
138,0.38407070707070706,mann-whitney,0.104
139,0.39415151515151514,mann-whitney,0.118
140,0.4042323232323232,mann-whitney,0.114
141,0.4143131313131313,mann-whitney,0.118
142,0.4243939393939394,mann-whitney,0.107
143,0.43447474747474746,mann-whitney,0.114
144,0.44455555555555554,mann-whitney,0.123
145,0.4546363636363636,mann-whitney,0.103
