m,p,q,delta,omni_precision_2,omni_recall_2,omni_precision_3,omni_recall_3,omni_precision_4,omni_recall_4,omni_precision_5,omni_recall_5,omni_precision_6,omni_recall_6,omni_precision_7,omni_recall_7,omni_precision_8,omni_recall_8,omni_precision_9,omni_recall_9,omni_precision_10,omni_recall_10,mase_precision_2,mase_recall_2,mase_precision_3,mase_recall_3,mase_precision_4,mase_recall_4,mase_precision_5,mase_recall_5,mase_precision_6,mase_recall_6,mase_precision_7,mase_recall_7,mase_precision_8,mase_recall_8,mase_precision_9,mase_recall_9,mase_precision_10,mase_recall_10
250.0,0.5,0.25,0.41000000000000003,0.9529729729729729,1.0,0.9280455992123988,1.0,0.6943498388144512,0.9997999999999999,0.7822899680901441,1.0,0.6784400223911727,0.9998666666666667,0.7345119524293736,0.9999666666666667,0.676164219849314,0.9999333333333333,0.6784654451464683,0.9994333333333336,0.6285781159153362,0.9995000000000003,0.9529729729729729,1.0,0.8966497335560384,1.0,0.7443549363055568,1.0,0.7861617764147957,1.0,0.7044209676656914,1.0,0.7341052098525469,0.9999666666666667,0.6710309179521663,0.9999000000000001,0.6634461837905089,0.9996000000000003,0.6426877326718238,0.9998
5.0,0.5,0.25,0.0,,0.02,,0.02836666666666667,,0.0323,,0.061466666666666656,,0.043,,0.04379999999999999,,0.0382,,0.041400000000000006,,0.04366666666666667,,0.02,,0.02546666666666667,,0.0324,,0.0418,,0.039933333333333335,,0.0415,,0.04373333333333333,,0.046599999999999996,,0.051000000000000004
250.0,0.5,0.25,0.31,0.9327027027027026,1.0,0.9243088360975616,1.0,0.710183847710101,0.9999666666666667,0.7740722626428395,1.0,0.6871677226448493,0.9997999999999999,0.7179616234106919,0.9999666666666667,0.6638127190124918,0.9996000000000003,0.6602688522181563,0.999366666666667,0.6117856366551864,0.999066666666667,0.9327027027027026,1.0,0.8881314946645912,1.0,0.6840373042368048,0.9998999999999999,0.7259928400794022,1.0,0.6678370522356348,0.9998666666666667,0.6941476980505363,1.0,0.6648291158907557,0.9996333333333334,0.6621633569685963,0.9991666666666669,0.6261166168881763,0.9990000000000002
5.0,0.5,0.25,0.1,0.9404219525648096,1.0,0.925017304430894,0.9168,0.8455686033252141,0.8086666666666669,0.84061647907833,0.7698,,0.6229666666666666,0.7912165012085421,0.5847333333333333,,0.49373333333333336,0.6700883607493172,0.4000666666666667,,0.3611333333333333,0.9381142602571173,0.9976,0.9009970685570086,0.9334000000000002,0.7969285463923589,0.8175666666666666,0.8086535187015952,0.7428,0.7392559464441741,0.6300333333333332,,0.5218333333333333,0.6685840590647115,0.4448666666666666,0.6461110555578483,0.3772,,0.3114333333333333
250.0,0.5,0.25,0.21,0.9429729729729729,1.0,0.9023901591524273,1.0,0.7432986595102308,0.9999666666666667,0.7567739615031615,0.9997,0.6865502834393531,0.9999333333333333,0.7076252408545056,0.9998,0.6490158411190328,0.9987333333333335,0.6503001475924596,0.9984666666666668,0.6379341938546532,0.9975333333333336,0.9429729729729729,1.0,0.8863438936251202,1.0,0.6926795414936927,0.9998666666666667,0.7733595939417357,0.9999666666666667,0.6926035994085505,0.9989333333333331,0.7262170489718045,0.9996,0.6764523294971262,0.9989666666666668,0.6459428584589305,0.9984333333333333,0.6217103710719275,0.9979333333333336
5.0,0.5,0.25,0.2,0.9194594594594594,1.0,0.8787038391135659,0.9952,0.814485986886388,0.9757333333333333,0.7807138059316678,0.9658333333333334,0.7564673187177631,0.9247666666666667,0.7717650680094374,0.9026333333333335,0.7600069172399313,0.8601333333333331,0.7425989554918047,0.8227000000000005,0.7061016311999893,0.7846999999999998,0.9119084390512961,1.0,0.9079541139500718,0.9945666666666668,0.8102323849473642,0.9699333333333332,0.802336590974746,0.9609000000000001,0.7322915686301382,0.9111666666666673,0.7496132956022601,0.8978333333333339,0.728000956459536,0.853233333333333,0.6952397577913119,0.7988000000000003,0.7174139736613919,0.7637666666666665
250.0,0.5,0.25,0.11,0.9379729729729729,1.0,0.9200014200762164,0.9999333333333333,0.7473700829753358,0.9992333333333334,0.7706883853504946,0.9991000000000001,0.7191141044637067,0.9970666666666668,0.7613433183385848,0.9963333333333337,0.6753757106610939,0.9939666666666664,0.6708337337036204,0.9932000000000002,0.6381581335136863,0.989766666666667,0.9379729729729729,1.0,0.9151453402992028,1.0,0.7336762479522291,0.9983333333333334,0.7752055274594045,0.9988333333333334,0.7317670852208448,0.9977000000000001,0.7416568391342018,0.9980000000000001,0.7171539314674482,0.9954000000000002,0.6925493777100084,0.9916666666666667,0.654852322102589,0.9904666666666667
5.0,0.5,0.25,0.3,0.9379729729729729,1.0,0.9114244099494448,0.9992333333333332,0.7438523739685219,0.9893000000000001,0.7871214720165581,0.9860333333333335,0.7439624129425375,0.9763000000000001,0.7734562730034661,0.9720333333333335,0.7203380090037848,0.9554,0.7368691202181819,0.9281666666666668,0.7131720656083017,0.9123666666666668,0.9354219525648096,1.0,0.8416669299504886,0.9962333333333335,0.7264754023666378,0.9885666666666667,0.7373678853915456,0.9769000000000002,0.7124626841116372,0.9614333333333337,0.7241422365892687,0.9534666666666669,0.7218651926553709,0.9466333333333331,0.7236071549403431,0.9267666666666663,0.686886534695595,0.9018
250.0,0.5,0.25,0.01,,0.95,,0.7513000000000002,,0.6252333333333335,,0.5359333333333334,,0.3995666666666665,,0.3366000000000001,,0.3047999999999999,,0.2664333333333333,,0.23063333333333325,,0.95,,0.7886333333333334,,0.6308333333333334,,0.5142,,0.42339999999999994,,0.3537333333333333,,0.3042,,0.2523,,0.23283333333333334
5.0,0.5,0.25,0.4,0.924881412024269,1.0,0.9100443415747297,0.9999333333333333,0.7165384851011355,0.9971666666666669,0.7500187337168148,0.9961666666666669,0.709747689515778,0.9913000000000004,0.720580760227155,0.9928666666666668,0.6971155453775856,0.9798333333333339,0.6983978546443171,0.9705000000000001,0.6754217556427689,0.9588999999999999,0.894677330391616,1.0,0.8564028899779685,0.9968,0.7130578523864821,0.9916000000000003,0.7117747184666077,0.9830333333333334,0.6930150073931272,0.9822666666666667,0.7009235194585428,0.981066666666667,0.6827463539395597,0.9737666666666669,0.6833092099250686,0.9648333333333334,0.6518256910760246,0.9579999999999997
