m,p,q,delta,prec,recall
5.0,0.5,0.5,0.0,0.5,0.09
5.0,0.5,0.5,0.01,0.5909090909090909,0.13
5.0,0.5,0.5,0.02,0.6061776061776063,0.19
5.0,0.5,0.5,0.03,0.7685377685377686,0.32
5.0,0.5,0.5,0.04,0.9765625,0.63
5.0,0.5,0.5,0.05,0.8879827858233174,0.83
5.0,0.5,0.5,0.06,0.92840713053479,0.94
5.0,0.5,0.5,0.07,0.9244346387203529,0.98
5.0,0.5,0.5,0.08,0.9014469014469013,0.99
5.0,0.5,0.5,0.09,0.9479729729729729,1.0
5.0,0.5,0.5,0.1,0.9279729729729729,1.0
5.0,0.5,0.5,0.11,0.9612162162162161,1.0
5.0,0.5,0.5,0.12,0.9404219525648096,1.0
5.0,0.5,0.5,0.13,0.9371787093215664,1.0
5.0,0.5,0.5,0.14,0.9312162162162161,1.0
5.0,0.5,0.5,0.15,0.9597297297297297,1.0
5.0,0.5,0.5,0.16,0.9562162162162161,1.0
5.0,0.5,0.5,0.17,0.9462162162162161,1.0
5.0,0.5,0.5,0.18,0.9133949255377826,1.0
5.0,0.5,0.5,0.19,0.9394594594594594,1.0
5.0,0.5,0.5,0.2,0.9354219525648096,1.0
5.0,0.5,0.5,0.21,0.9221787093215664,1.0
5.0,0.5,0.5,0.22,0.9464864864864865,1.0
5.0,0.5,0.5,0.23,0.9679729729729729,1.0
5.0,0.5,0.5,0.24,0.9347297297297297,1.0
5.0,0.5,0.5,0.25,0.9024324324324323,1.0
5.0,0.5,0.5,0.26,0.9529729729729729,1.0
5.0,0.5,0.5,0.27,0.9412162162162161,1.0
5.0,0.5,0.5,0.28,0.97569222283508,1.0
5.0,0.5,0.5,0.29,0.9764864864864865,1.0
5.0,0.5,0.5,0.3,0.9409459459459458,1.0
5.0,0.5,0.5,0.31,0.9427027027027026,1.0
5.0,0.5,0.5,0.32,0.9597297297297297,1.0
5.0,0.5,0.5,0.33,0.9327027027027026,1.0
5.0,0.5,0.5,0.34,0.9244594594594594,1.0
5.0,0.5,0.5,0.35000000000000003,0.9429729729729729,1.0
5.0,0.5,0.5,0.36,0.9309459459459458,1.0
5.0,0.5,0.5,0.37,0.9429729729729729,1.0
5.0,0.5,0.5,0.38,0.9251516822945394,1.0
5.0,0.5,0.5,0.39,0.9479729729729729,1.0
5.0,0.5,0.5,0.4,0.904189189189189,1.0
5.0,0.5,0.5,0.41000000000000003,0.9512162162162161,1.0
5.0,0.5,0.5,0.42,0.9394594594594594,1.0
5.0,0.5,0.5,0.43,0.9714864864864865,1.0
5.0,0.5,0.5,0.44,0.9294594594594594,1.0
5.0,0.5,0.5,0.45,0.9462162162162161,1.0
5.0,0.5,0.5,0.46,0.9177027027027026,1.0
5.0,0.5,0.5,0.47000000000000003,0.9504219525648097,1.0
5.0,0.5,0.5,0.48,0.9429729729729729,1.0
5.0,0.5,0.5,0.49,0.9444594594594594,1.0
5.0,0.5,0.5,0.5,0.9377027027027026,1.0
10.0,0.5,0.5,0.0,0.4034536891679749,0.06
10.0,0.5,0.5,0.01,0.49078624078624083,0.14
10.0,0.5,0.5,0.02,0.7673931515630358,0.31
10.0,0.5,0.5,0.03,0.886724960254372,0.64
10.0,0.5,0.5,0.04,0.9266853059956507,0.87
10.0,0.5,0.5,0.05,0.9610089786820273,0.96
10.0,0.5,0.5,0.06,0.9711984711984711,0.99
10.0,0.5,0.5,0.07,0.9764864864864865,1.0
10.0,0.5,0.5,0.08,0.9327027027027026,1.0
10.0,0.5,0.5,0.09,0.9262162162162162,1.0
10.0,0.5,0.5,0.1,0.9227027027027026,1.0
10.0,0.5,0.5,0.11,0.9277027027027026,1.0
10.0,0.5,0.5,0.12,0.9312162162162161,1.0
10.0,0.5,0.5,0.13,0.9327027027027026,1.0
10.0,0.5,0.5,0.14,0.9344594594594594,1.0
10.0,0.5,0.5,0.15,0.9294594594594594,1.0
10.0,0.5,0.5,0.16,0.9344594594594594,1.0
10.0,0.5,0.5,0.17,0.9597297297297297,1.0
10.0,0.5,0.5,0.18,0.9814864864864865,1.0
10.0,0.5,0.5,0.19,0.9479729729729729,1.0
10.0,0.5,0.5,0.2,0.9259459459459458,1.0
10.0,0.5,0.5,0.21,0.9529729729729729,1.0
10.0,0.5,0.5,0.22,0.9344594594594594,1.0
10.0,0.5,0.5,0.23,0.9259459459459458,1.0
10.0,0.5,0.5,0.24,0.9344594594594594,1.0
10.0,0.5,0.5,0.25,0.9697297297297297,1.0
10.0,0.5,0.5,0.26,0.9379729729729729,1.0
10.0,0.5,0.5,0.27,0.9327027027027026,1.0
10.0,0.5,0.5,0.28,0.9429729729729729,1.0
10.0,0.5,0.5,0.29,0.904189189189189,1.0
10.0,0.5,0.5,0.3,0.9447297297297297,1.0
10.0,0.5,0.5,0.31,0.9419084390512961,1.0
10.0,0.5,0.5,0.32,0.9597297297297297,1.0
10.0,0.5,0.5,0.33,0.9294594594594594,1.0
10.0,0.5,0.5,0.34,0.9227027027027026,1.0
10.0,0.5,0.5,0.35000000000000003,0.9513844456701599,1.0
10.0,0.5,0.5,0.36,0.9579729729729729,1.0
10.0,0.5,0.5,0.37,0.9362162162162161,1.0
10.0,0.5,0.5,0.38,0.9412162162162161,1.0
10.0,0.5,0.5,0.39,0.9269084390512962,1.0
10.0,0.5,0.5,0.4,0.9262162162162162,1.0
10.0,0.5,0.5,0.41000000000000003,0.9782432432432432,1.0
10.0,0.5,0.5,0.42,0.9212162162162162,1.0
10.0,0.5,0.5,0.43,0.9647297297297297,1.0
10.0,0.5,0.5,0.44,0.9262162162162162,1.0
10.0,0.5,0.5,0.45,0.8674324324324323,1.0
10.0,0.5,0.5,0.46,0.9529729729729729,1.0
10.0,0.5,0.5,0.47000000000000003,0.9614864864864865,1.0
10.0,0.5,0.5,0.48,0.9479729729729729,1.0
10.0,0.5,0.5,0.49,0.9377027027027026,1.0
10.0,0.5,0.5,0.5,0.9764864864864865,1.0
15.0,0.5,0.5,0.0,0.42162162162162165,0.07
15.0,0.5,0.5,0.01,0.6521739130434783,0.15
