m,p,delta,omni_precision_2,omni_recall_2,mase_precision_2,mase_recall_2
5.0,0.5,0.0,0.24049270783213406,0.28800000000000003,0.2370927661585064,0.33986666666666665
5.0,0.5,0.01,0.2650215750609022,0.327,0.23613172018749665,0.31820000000000004
5.0,0.5,0.02,0.2380030114826711,0.3339333333333333,0.2492314376175639,0.3350000000000001
5.0,0.5,0.03,0.2324553572740842,0.3237333333333334,0.2553169418464635,0.3914666666666667
5.0,0.5,0.04,0.24938936500372266,0.3636666666666668,0.2669387471234905,0.3503999999999998
5.0,0.5,0.05,0.257753790837396,0.4106,0.2591472570566165,0.3817333333333333
5.0,0.5,0.06,0.26813203826205445,0.3917333333333333,0.2623911906128837,0.3776000000000001
5.0,0.5,0.07,0.2535794361310545,0.4100000000000001,0.27055680961014555,0.4000666666666667
5.0,0.5,0.08,0.262890075447266,0.3812,0.2694231627336265,0.4157333333333333
5.0,0.5,0.09,0.2622816498681895,0.4242,0.27141165631142383,0.3725333333333332
5.0,0.5,0.1,0.2680714615608125,0.4061333333333335,0.28588426966165403,0.4355333333333333
5.0,0.5,0.11,0.2834457005481775,0.4547333333333334,0.3070816597840472,0.4319333333333335
5.0,0.5,0.12,0.2853341859035328,0.4302,0.27796683453768223,0.4694666666666669
5.0,0.5,0.13,0.3165943099918334,0.455,0.27531747219917435,0.4719999999999999
5.0,0.5,0.14,0.26242684101954844,0.4442000000000001,0.2739835795191817,0.4889333333333332
5.0,0.5,0.15,0.28678767238594377,0.4282000000000001,0.3144704834325216,0.461
5.0,0.5,0.16,0.3039344208940614,0.4654,0.32722679195654725,0.4691333333333332
5.0,0.5,0.17,0.3168293500491721,0.4986000000000002,0.33315795123652964,0.5072666666666668
5.0,0.5,0.18,0.2858866051504617,0.4974666666666667,0.28377063017807513,0.4636666666666665
5.0,0.5,0.19,0.3195535892282748,0.5072,0.2888037747518927,0.4706666666666667
5.0,0.5,0.2,0.3016236081770485,0.4961333333333334,0.3434249412956877,0.5347999999999999
5.0,0.5,0.21,0.29670703854228564,0.4854666666666666,0.292085102181862,0.5270666666666667
5.0,0.5,0.22,0.3328148519636378,0.4932000000000001,0.35244983457429385,0.4973333333333335
5.0,0.5,0.23,0.3014032367007507,0.4782,0.3438809810795517,0.4856000000000001
5.0,0.5,0.24,0.35651054949195554,0.5090666666666671,0.342908429366124,0.4692666666666667
5.0,0.5,0.25,0.3058420832655177,0.4919999999999999,0.3203350231686541,0.5305333333333333
5.0,0.5,0.26,0.3613796337109381,0.4771333333333334,0.3367691526595988,0.5170666666666667
5.0,0.5,0.27,0.30634140183684905,0.4828,0.3175014224155972,0.5406666666666667
5.0,0.5,0.28,0.3375403634248731,0.5594,0.3960064445130101,0.5849333333333334
5.0,0.5,0.29,0.3983426592895306,0.5236,0.3479589264377174,0.5604666666666666
5.0,0.5,0.3,0.3759029114328653,0.5785333333333333,0.42395514452767374,0.5904666666666667
5.0,0.5,0.31,0.38746171070181057,0.5445333333333333,0.3701853226695833,0.5303333333333333
5.0,0.5,0.32,0.4061849971128779,0.5223333333333333,0.4657812079187433,0.6128000000000001
5.0,0.5,0.33,0.3996499828779828,0.5347999999999999,0.4099421452211896,0.6274666666666665
5.0,0.5,0.34,0.4941825668258375,0.6370666666666667,0.4342609145660789,0.6386000000000002
5.0,0.5,0.35000000000000003,0.5067968140644069,0.6759999999999999,0.4545501204017162,0.6390666666666667
5.0,0.5,0.36,0.5091627040977422,0.6446666666666667,0.4124565959198123,0.6028000000000001
