m,p,q,delta,omni_precision_2,omni_recall_2,omni_precision_3,omni_recall_3,omni_precision_4,omni_recall_4,omni_precision_5,omni_recall_5,mase_precision_2,mase_recall_2,mase_precision_3,mase_recall_3,mase_precision_4,mase_recall_4,mase_precision_5,mase_recall_5
250.0,0.5,0.25,0.41000000000000003,0.9479729729729729,1.0,0.8986978156673286,1.0,0.7091293564268979,0.9998,0.7961341042508829,0.9998333333333334,0.9479729729729729,1.0,0.8649322503903284,1.0,0.679971475759883,0.9999000000000001,0.7488361441130382,1.0
5.0,0.5,0.25,0.0,0.42857142857142855,0.06,0.43001261034047916,0.06613333333333334,0.4450480769230769,0.05056666666666667,0.35586097090039026,0.038299999999999994,0.4025641025641026,0.06,0.6001642036124795,0.07686666666666665,0.34455355622824024,0.06653333333333332,0.3168718930651738,0.06966666666666665
250.0,0.5,0.25,0.31,0.9494594594594594,1.0,0.9271930402856562,1.0,0.6693316851949054,1.0,0.7462041666279486,1.0,0.9494594594594594,1.0,0.8959891500118283,1.0,0.7202103723768526,1.0,0.7314145720270434,0.9998999999999999
5.0,0.5,0.25,0.1,0.9344594594594594,1.0,0.9181426573245346,0.9229000000000002,0.8234626455628054,0.8453333333333335,0.7922611819596216,0.7595666666666671,0.9259500815564888,0.9825,0.918711230583308,0.9287666666666665,0.8235770521598658,0.7842333333333334,0.7956496651104623,0.7051666666666668
250.0,0.5,0.25,0.21,0.9462162162162161,1.0,0.9095078662099787,1.0,0.7499470940564739,0.9998666666666667,0.770375298603434,1.0,0.9462162162162161,1.0,0.9415008227098114,1.0,0.7326018896403693,0.9998,0.7636183271230798,0.9995666666666668
5.0,0.5,0.25,0.2,0.9312162162162161,1.0,0.9164447156049736,0.9972666666666667,0.7793681365607131,0.972866666666667,0.7944878004152592,0.970133333333334,0.916021411021411,0.9975,0.8704618987639655,0.9884000000000002,0.7640650773208794,0.9709333333333336,0.7901156754526497,0.9380000000000003
250.0,0.5,0.25,0.11,0.9394594594594594,1.0,0.9186550850288799,0.9999000000000001,0.7281059209007995,0.9981,0.7554031599886254,0.9987666666666667,0.9394594594594594,1.0,0.9068967546896367,0.9999333333333333,0.743039534127566,0.9983,0.7699073539342504,0.9996000000000003
5.0,0.5,0.25,0.3,0.9639354660783233,1.0,0.923866523759063,0.9994666666666668,0.7740609069507847,0.9930000000000002,0.8164685596154458,0.9943000000000001,0.9288151406380277,0.9979333333333333,0.9058956906789912,0.9964666666666667,0.7331651566615989,0.9797333333333336,0.7586775112230592,0.9761000000000003
250.0,0.5,0.25,0.01,0.9800929962220285,0.93,0.9564000186180475,0.7857999999999999,0.8008595259770016,0.611266666666667,0.8109072585315814,0.5389333333333335,0.9800929962220285,0.93,0.9662071587064986,0.7799000000000005,0.8163049737088404,0.6221333333333336,0.7956003818955011,0.5253333333333335
5.0,0.5,0.25,0.4,0.9161141753998896,1.0,0.8974524853451965,0.9997666666666667,0.7415300396242656,0.9942333333333334,0.773418368273158,0.9951000000000001,0.8775785166829944,0.9987999999999999,0.8377967894834147,0.9978,0.6877165798444412,0.9903333333333335,0.758217925178826,0.9910333333333332
245.0,0.5,0.25,0.42,0.9321787093215664,1.0,0.9258373137024098,1.0,0.726507695030587,0.9998999999999999,0.7234913630782306,0.9999666666666667,0.9321787093215664,1.0,0.8843819517428472,1.0,0.7104135804887108,0.9998,0.7553111402762811,0.9999666666666667
5.0,0.5,0.25,0.5,0.9579729729729729,1.0,0.928222924528733,1.0,0.7092848941226518,0.9997666666666667,0.8069334443656381,0.9981333333333334,0.9202178709321567,1.0,0.8727988344912387,0.9989666666666668,0.7327614831630583,0.9968333333333335,0.7419091416116433,0.9953666666666667
245.0,0.5,0.25,0.32,0.9259459459459458,1.0,0.9208490180607322,1.0,0.6984732037717647,0.9999666666666667,0.7461673798336084,0.9997,0.9259459459459458,1.0,0.8724653559187119,1.0,0.7122273467595076,1.0,0.7508922876242256,1.0
10.0,0.5,0.25,0.09,0.8933949255377825,1.0,0.9029393033201633,0.9678333333333338,0.7952050435363297,0.911,0.8168169121422195,0.8658666666666668,0.8933949255377825,1.0,0.8872079039763483,0.9671,0.7613555286145194,0.9126999999999998,0.8252098230700369,0.8596
245.0,0.5,0.25,0.22,0.9244594594594594,1.0,0.8957270037333918,1.0,0.7323736165663276,0.9998333333333334,0.7757834604686618,0.9998,0.9244594594594594,1.0,0.9064886457235742,1.0,0.7210959372937666,0.9994,0.7688387769472926,1.0
10.0,0.5,0.25,0.19,0.9494594594594594,1.0,0.9358365422925138,0.9985333333333333,0.7785355997707893,0.9887333333333335,0.8035720521230794,0.9934000000000002,0.9494594594594594,1.0,0.9071668395721467,0.9980333333333334,0.7589151233818839,0.9871000000000002,0.7806141620737861,0.9846666666666667
245.0,0.5,0.25,0.12,0.9497297297297297,1.0,0.9206954769015576,0.9999666666666667,0.7045701594535927,0.9994333333333333,0.7545614541170015,0.9990666666666668,0.9497297297297297,1.0,0.8921306908807379,1.0,0.726571092503998,0.9997666666666667,0.7548152069294903,0.9998333333333335
10.0,0.5,0.25,0.29,0.9227027027027026,1.0,0.9190455919300615,0.9993333333333332,0.7352303896586042,0.9920000000000002,0.7876896673531124,0.9926666666666669,0.9227027027027026,1.0,0.9131192837126197,0.9997666666666667,0.7370713539164597,0.9972333333333334,0.7790500846868185,0.9958333333333335
245.0,0.5,0.25,0.02,0.9571787093215665,1.0,0.9252832129714476,0.9773666666666668,0.8107857267127142,0.9215666666666665,0.8266030095520045,0.901966666666667,0.9571787093215665,1.0,0.9379395309478592,0.9761333333333333,0.8185683305777575,0.9136333333333332,0.8176464576575918,0.8885
10.0,0.5,0.25,0.39,0.9714864864864865,1.0,0.9493218700721759,0.9998333333333334,0.7396778860890468,0.9974666666666668,0.7788704742052371,0.9981,0.9714864864864865,1.0,0.9211164284112218,1.0,0.7603894460774018,0.9989666666666668,0.8008028831957101,0.9974
240.0,0.5,0.25,0.43,0.9427027027027026,1.0,0.9294828923615184,1.0,0.7170802463530034,1.0,0.7492783012435181,0.9999666666666667,0.9427027027027026,1.0,0.8988181944705238,1.0,0.6959221240668824,0.9998666666666667,0.7733999668522822,1.0
