m,num_sig_nodes,mase_ari,omni_ari
2,5,-0.003369541812804988,-0.017650359293079156
2,10,0.005866666666666667,0.0068
2,15,0.022686747882980782,0.00194288209895964
2,20,0.044372170923874445,0.023036869253445995
2,25,0.0635502677268246,0.053267047419813585
2,30,0.04124988260526845,0.041895551844756004
2,35,0.06947296567911625,0.06448793521341058
2,40,0.08003474282816034,0.13089082268127347
2,45,0.12452145582566887,0.22153810671062893
2,50,0.1547273096876822,0.23484850439169067
2,55,0.2534745084105732,0.3709526726347638
2,60,0.2550504371926554,0.3872870749856351
2,65,0.2887183730443592,0.5248575572992678
2,70,0.3872550363098742,0.5822036364928708
2,75,0.4637133534163596,0.6859011333256382
2,80,0.4438478137560105,0.7229881364302383
2,85,0.5161978365013768,0.7033404995307916
2,90,0.5811163067073751,0.769646114378522
2,95,0.6294273787140633,0.8490362744038689
2,100,0.6831721085650335,0.802868163689237
5,5,0.005987212481223003,0.011818289133374958
5,10,0.019200000000000002,0.020266666666666665
5,15,0.04418049248939803,0.03911730456430321
5,20,0.07230791536956664,0.05658414779040738
5,25,0.11672498391342634,0.11561083105564228
5,30,0.1929439632190535,0.1638454300780787
5,35,0.23741167446805633,0.21396793252898066
5,40,0.32541825009965725,0.42208601825172987
5,45,0.4719070789851743,0.48485491753101234
5,50,0.5693654099312915,0.5984177417564827
5,55,0.6658790900858969,0.7466320443279716
5,60,0.7323279666348458,0.7530588710834587
5,65,0.7980714451013797,0.8052040095693284
5,70,0.8367087922651142,0.839870074758124
5,75,0.8942373402143039,0.9011613151109299
5,80,0.8528603348952412,0.9563415587677682
5,85,0.9034094157695327,0.9131106366641216
5,90,0.9261280389613573,0.9347217603433796
5,95,0.9056036810698181,0.9494457431043899
5,100,0.9201130289201312,0.9985764718901975
7,5,-0.003014711355930053,0.0007355119954921662
7,10,0.015199999999999998,0.0356
7,15,0.0469760090736717,0.04615257023930203
7,20,0.12312498580304557,0.06916045200942346
7,25,0.1974583783724219,0.12130523612044981
7,30,0.24204317596334246,0.24816943709179307
7,35,0.3528768561960417,0.37872329874177924
7,40,0.4283638102109877,0.5376885740306977
7,45,0.5638792609851564,0.6104647594006507
7,50,0.6831760314534482,0.7175276316432262
7,55,0.6723258935973607,0.7387044255205056
7,60,0.7556354777821584,0.8488959768973868
7,65,0.8415155671576975,0.9040886735800453
7,70,0.872657407123042,0.9025599892114069
7,75,0.8721050047538825,0.9250417726565467
7,80,0.9390273767646673,0.9425960854293
7,85,0.9720586423421673,0.9483326191904881
7,90,0.9686074026343325,0.9498607218880116
7,95,0.9191649232135606,0.9801976002127806
7,100,0.9701583365541475,0.9899565386755704
10,5,0.007396138659189922,-0.0015623149022233078
10,10,0.015599999999999998,0.0068000000000000005
10,15,0.06737792460416918,0.03990264918660255
10,20,0.11307441554570202,0.07367523656441897
10,25,0.21030333632373185,0.1901216393351402
10,30,0.322276609399667,0.3401677992858113
10,35,0.4487527990011445,0.43042653465799274
10,40,0.6579221045383639,0.5305900482663066
10,45,0.6297280933425496,0.695055795264953
10,50,0.7189562280872884,0.6937066793715513
10,55,0.7442016725443097,0.8459248488994939
10,60,0.8726486845977598,0.8670636497310453
10,65,0.8998249256551297,0.8271146833709409
10,70,0.8483929323209112,0.9024626882334519
10,75,0.9277566217651827,0.9385065302911793
10,80,0.9488284270590032,0.9397319797899235
10,85,0.8727588057023712,0.9280797396530344
10,90,0.9526030830117156,0.9799329512290541
10,95,0.9589347814121115,0.979893839446579
10,100,0.9800890452112592,0.9844335439198275
12,5,0.0062977470604777255,0.010261986691755513
12,10,0.024933333333333335,0.025599999999999998
12,15,0.09295423173748173,0.11183624092369278
12,20,0.16366686841543526,0.09776305643729559
12,25,0.2498995492275712,0.17190261442314203
12,30,0.44824375607255923,0.3190019292657769
12,35,0.5945275167922532,0.36285961362017316
12,40,0.5163705978372871,0.5626197997178868
12,45,0.6652614285399236,0.66858385987324
12,50,0.708906728433171,0.7202678589258242
12,55,0.8181909679333458,0.8484439583315536
12,60,0.8861807320962091,0.8990368812528969
12,65,0.832654896130641,0.8994344108211536
12,70,0.881261411458224,0.9468703040775501
12,75,0.9220124069561935,0.9412449688298673
12,80,0.9513320842913395,0.9298047035740383
12,85,0.9378934758666695,0.9989995514377195
12,90,0.9900512394963061,0.9760996364056865
12,95,0.9900844579733605,0.9901445934791993
12,100,0.9799356331212319,0.9899282342626688
15,5,0.0018355654470992798,0.016686389911288194
15,10,0.04173333333333334,0.045200000000000004
15,15,0.1326634696971293,0.12388707571404706
15,20,0.18549124193614244,0.17896195553165697
15,25,0.22901593939484152,0.26487825199684883
15,30,0.3891000519142587,0.3702862445358441
15,35,0.536342087240764,0.4068276836087847
15,40,0.5986467285848782,0.646566922522033
15,45,0.6991265537362257,0.6692954872646389
15,50,0.765693719242858,0.8398834637764943
15,55,0.8792459323457537,0.7627896827904722
15,60,0.91509599681882,0.8591299995007974
15,65,0.9126829965677995,0.9270325531622947
15,70,0.9687365318149329,0.9227926616548655
15,75,0.9597080581372319,0.9666556274476613
15,80,0.9245089492529992,0.9496381484425974
15,85,0.9298740372481792,1.0
15,90,0.989953129882304,0.979817372916981
15,95,0.9701153235269219,0.9807263374133564
15,100,0.9505808373046746,0.9798030951917304
17,5,0.025709218433635352,0.009745287350029897
17,10,0.07346666666666667,0.07120000000000001
17,15,0.07445194460533563,0.07059872958275906
17,20,0.13737622307340344,0.12150023831878286
17,25,0.2745395209975424,0.30065971596827146
17,30,0.46870000896754405,0.382273593640071
17,35,0.5021320479432085,0.6750661802477098
17,40,0.6726095056872764,0.7314430288999111
17,45,0.7491945113894845,0.7409121749040062
17,50,0.7640557880572797,0.7989042956875528
17,55,0.8281810790864703,0.837391949047546
17,60,0.8639328238058909,0.9048421814380089
17,65,0.9302559112622447,0.8401915558361442
17,70,0.8550103636441054,0.943894942911203
17,75,0.9122996146534397,0.9624652303699022
17,80,0.9644531772023186,0.9518340777410601
17,85,0.9598555936252364,0.9898718675586801
17,90,0.9522944145198106,1.0
17,95,0.9704295508512412,1.0
17,100,0.9901302733687545,0.9700883050408409
20,5,0.03449174034626819,0.03794282768965879
20,10,0.06973333333333334,0.06266666666666666
20,15,0.12684697315617316,0.13435545217586622
20,20,0.1918043822544023,0.12936072475069874
20,25,0.363136482620812,0.2896853053371043
20,30,0.460763800321126,0.3096188375411406
20,35,0.5683666107222222,0.47977075968097255
20,40,0.6979296714775627,0.658770355063654
20,45,0.7793528165875078,0.8392658818930844
20,50,0.7882722113990475,0.8454201076819785
20,55,0.8187698875983318,0.8218381633306585
20,60,0.9064676203244844,0.848328611363483
20,65,0.9267538393220153,0.9332403037175727
20,70,0.9500376831787833,0.9630980145885089
20,75,0.8862031263291849,0.9599928325684353
20,80,0.9612224695591539,0.9806157044534035
20,85,0.9461448341298828,0.9600243742654474
20,90,0.9700705383749696,1.0
20,95,0.9861537182020618,1.0
20,100,0.9699317944154412,0.9699916416524291
22,5,0.023827212584648434,0.02991513324588803
22,10,0.09946666666666669,0.06706666666666669
22,15,0.1139279033752293,0.1312909100856092
22,20,0.22412939448575805,0.11476936207473072
22,25,0.29008851964265864,0.34604091478659993
22,30,0.47969834682040097,0.36662904029103105
22,35,0.5425856320109347,0.5453022964111955
22,40,0.6247860742009987,0.595383233905358
22,45,0.7165606916438605,0.7325230118555375
22,50,0.7801602135198165,0.8197887091268509
22,55,0.7542481782330579,0.8810965246948096
22,60,0.8440332099628578,0.9123326722708905
22,65,0.9212137459515108,0.939920717061124
22,70,0.9604639982014527,0.9516296034846456
22,75,0.9362587175150772,0.9860884918433592
22,80,0.9670404691126153,0.9701880548124877
22,85,0.9462412618403268,1.0
22,90,0.9623486398308009,0.9900505935165346
22,95,0.9808017352019314,1.0
22,100,1.0,1.0
25,5,0.05217401723836751,0.03658121525598402
25,10,0.051200000000000016,0.08173333333333334
25,15,0.12546344004611748,0.07996029800966681
25,20,0.22985821011464622,0.2024190334867627
25,25,0.3597401552155049,0.21991843036656777
25,30,0.5064574089647141,0.4504835149363652
25,35,0.5448883414910112,0.5154186472360877
25,40,0.6238500003199272,0.678666090243504
25,45,0.7816876650654985,0.7728837997001108
25,50,0.8075421781838282,0.8754989464053655
25,55,0.8516806340511933,0.8989917874431879
25,60,0.9101052169130389,0.8803777794678637
25,65,0.8976612811042404,0.9436479038759842
25,70,0.9610171255705248,0.9658095729296943
25,75,0.9220549835504701,0.9899828921303799
25,80,0.9332582121863996,0.9712241718049096
25,85,0.9418394861071324,1.0
25,90,0.9899598722990197,1.0
25,95,0.9798311094734464,1.0
25,100,0.9723302685025965,1.0
27,5,0.0324139393235445,0.03498139472596979
27,10,0.12040000000000001,0.08026666666666665
27,15,0.12232657601285445,0.1327038120938719
27,20,0.21728861221800205,0.17331914402405552
27,25,0.37444233000860244,0.3989900660118404
27,30,0.49836564015280566,0.48582303374050056
27,35,0.5344711903903113,0.5640322823186328
27,40,0.6979781037591348,0.6648661626554957
27,45,0.7766641063633614,0.7602042955358987
27,50,0.8417525962302611,0.8705425061774644
27,55,0.8244909450316402,0.9306637314576294
27,60,0.8952711686248551,0.9601586996996168
27,65,0.9070186218792228,0.9734009430556586
27,70,0.9140221034179167,0.9667101964142821
27,75,0.9700937535493075,0.9828689722523207
27,80,0.9535161715114375,0.9897899358001012
27,85,0.9680888756074296,0.9931405794029899
27,90,0.9596730951966154,1.0
27,95,0.9699093499102716,1.0
27,100,0.9908763702524448,1.0
30,5,0.045623484543758364,0.06221003379607128
30,10,0.13066666666666665,0.11293333333333337
30,15,0.17117748722227147,0.10215240411747877
30,20,0.2436829111022112,0.21755918260896764
30,25,0.35867603507211315,0.37769173580244514
30,30,0.46821648470132415,0.3838777391258334
30,35,0.5455019796191575,0.5754434917997561
