m,p,q,delta,prec,recall
5.0,0.5,0.25,0.0,0.5625,0.09
5.0,0.5,0.25,0.01,0.4782608695652174,0.11
5.0,0.5,0.25,0.02,0.7601351351351351,0.26
5.0,0.5,0.25,0.03,0.8667953667953667,0.46
5.0,0.5,0.25,0.04,0.8245458573327424,0.55
5.0,0.5,0.25,0.05,0.9581081081081081,0.8
5.0,0.5,0.25,0.06,0.9159811985898941,0.9
5.0,0.5,0.25,0.07,0.9520132377275233,0.98
5.0,0.5,0.25,0.08,0.9647297297297297,1.0
5.0,0.5,0.25,0.09,0.919189189189189,1.0
5.0,0.5,0.25,0.1,0.9209459459459458,1.0
5.0,0.5,0.25,0.11,0.9747297297297297,1.0
5.0,0.5,0.25,0.12,0.9479729729729729,1.0
5.0,0.5,0.25,0.13,0.9512162162162161,1.0
5.0,0.5,0.25,0.14,0.9194594594594594,1.0
5.0,0.5,0.25,0.15,0.9327027027027026,1.0
5.0,0.5,0.25,0.16,0.9209459459459458,1.0
5.0,0.5,0.25,0.17,0.9414864864864865,1.0
5.0,0.5,0.25,0.18,0.909189189189189,1.0
5.0,0.5,0.25,0.19,0.9689354660783231,1.0
5.0,0.5,0.25,0.2,0.9090871483728625,1.0
5.0,0.5,0.25,0.21,0.9344594594594594,1.0
5.0,0.5,0.25,0.22,0.9832432432432432,1.0
5.0,0.5,0.25,0.23,0.9362162162162161,1.0
5.0,0.5,0.25,0.24,0.9564864864864865,1.0
5.0,0.5,0.25,0.25,0.9664864864864865,1.0
5.0,0.5,0.25,0.26,0.8989189189189187,1.0
5.0,0.5,0.25,0.27,0.9297297297297297,1.0
5.0,0.5,0.25,0.28,0.9562162162162161,1.0
5.0,0.5,0.25,0.29,0.9201516822945394,1.0
5.0,0.5,0.25,0.3,0.9362162162162161,1.0
5.0,0.5,0.25,0.31,0.9512162162162161,1.0
5.0,0.5,0.25,0.32,0.9379729729729729,1.0
5.0,0.5,0.25,0.33,0.9412162162162161,1.0
5.0,0.5,0.25,0.34,0.9554219525648097,1.0
5.0,0.5,0.25,0.35000000000000003,0.9336651958080529,1.0
5.0,0.5,0.25,0.36,0.9597297297297297,1.0
5.0,0.5,0.25,0.37,0.9479729729729729,1.0
5.0,0.5,0.25,0.38,0.9394594594594594,1.0
5.0,0.5,0.25,0.39,0.9262162162162162,1.0
5.0,0.5,0.25,0.4,0.9547297297297297,1.0
5.0,0.5,0.25,0.41000000000000003,0.9324324324324322,1.0
5.0,0.5,0.25,0.42,0.9277027027027026,1.0
5.0,0.5,0.25,0.43,0.9312162162162161,1.0
5.0,0.5,0.25,0.44,0.8913678985107555,1.0
5.0,0.5,0.25,0.45,0.9664864864864865,1.0
5.0,0.5,0.25,0.46,0.9462162162162161,1.0
5.0,0.5,0.25,0.47000000000000003,0.97,1.0
5.0,0.5,0.25,0.48,0.9344594594594594,1.0
5.0,0.5,0.25,0.49,0.9344594594594594,1.0
5.0,0.5,0.25,0.5,0.9377027027027026,1.0
10.0,0.5,0.25,0.0,0.3803088803088803,0.06
10.0,0.5,0.25,0.01,0.5541259982253771,0.14
10.0,0.5,0.25,0.02,0.7754121468407182,0.37
10.0,0.5,0.25,0.03,0.8513756854092989,0.62
10.0,0.5,0.25,0.04,0.9167382855090495,0.86
10.0,0.5,0.25,0.05,0.9203147337258124,0.98
10.0,0.5,0.25,0.06,0.9643734643734643,0.99
10.0,0.5,0.25,0.07,0.9514864864864865,1.0
10.0,0.5,0.25,0.08,0.9579729729729729,1.0
10.0,0.5,0.25,0.09,0.9612162162162161,1.0
10.0,0.5,0.25,0.1,0.975,1.0
10.0,0.5,0.25,0.11,0.9479729729729729,1.0
10.0,0.5,0.25,0.12,0.9504219525648097,1.0
10.0,0.5,0.25,0.13,0.9244594594594594,1.0
10.0,0.5,0.25,0.14,0.9244594594594594,1.0
10.0,0.5,0.25,0.15,0.9312162162162161,1.0
10.0,0.5,0.25,0.16,0.9571787093215665,1.0
10.0,0.5,0.25,0.17,0.9514864864864865,1.0
10.0,0.5,0.25,0.18,0.9377027027027026,1.0
10.0,0.5,0.25,0.19,0.9562162162162161,1.0
10.0,0.5,0.25,0.2,0.9309459459459458,1.0
