m,p,q,delta,omni_precision_2,omni_recall_2,omni_precision_3,omni_recall_3,omni_precision_4,omni_recall_4,omni_precision_5,omni_recall_5,mase_precision_2,mase_recall_2,mase_precision_3,mase_recall_3,mase_precision_4,mase_recall_4,mase_precision_5,mase_recall_5
250.0,0.5,0.25,0.43,0.9169084390512962,1.0,0.9234529541981188,1.0,0.6892589235257865,0.9997666666666666,0.7469481611967075,0.9999666666666667,0.9169084390512962,1.0,0.9112375952049038,1.0,0.7209594802392668,1.0,0.7556676338841318,0.9999333333333333
5.0,0.5,0.25,0.02,0.47891891891891897,0.15,0.5567621399539904,0.12986666666666666,0.3753353750250979,0.09043333333333335,0.35925994617697365,0.09509999999999998,0.500476437976438,0.1508,0.6120077323258302,0.1428,0.4724358204847623,0.13043333333333332,0.42217867494405226,0.08003333333333332
250.0,0.5,0.25,0.33,0.9647297297297297,1.0,0.9508525066440869,1.0,0.7117307153817345,1.0,0.7794206717914167,1.0,0.9647297297297297,1.0,0.9185714988366596,1.0,0.7369085291893512,1.0,0.7880093374664113,1.0
5.0,0.5,0.25,0.12,0.9564864864864865,1.0,0.9405333000461863,0.9590000000000002,0.8232274948405395,0.8825666666666669,0.7847569984396273,0.8640333333333335,0.9405939246939247,0.9875333333333335,0.887564145244114,0.9401000000000002,0.7551299208003313,0.8904333333333335,0.77738489964203,0.8276333333333334
250.0,0.5,0.25,0.23,0.8959459459459458,1.0,0.9315367095527278,1.0,0.7688336720897325,0.9998,0.7641510342064833,0.9998,0.8959459459459458,1.0,0.8855928253993557,1.0,0.6949032913595787,0.9997999999999999,0.7556932394834069,0.9998999999999999
5.0,0.5,0.25,0.22,0.9344594594594594,1.0,0.9159063249123808,0.9962666666666666,0.7641173527626226,0.9691333333333337,0.7943564614379943,0.9774333333333334,0.9272130826478652,0.9995,0.9109757057685601,0.9934333333333332,0.751813219418269,0.9714666666666666,0.7614563798509135,0.9622000000000002
250.0,0.5,0.25,0.13,0.9504219525648097,1.0,0.9173541011341851,1.0,0.7318917635195955,0.9999666666666667,0.7683413797863727,0.9991333333333333,0.9504219525648097,1.0,0.8927926253914316,1.0,0.7256236793654351,0.9992666666666666,0.7586569601491064,0.9995
5.0,0.5,0.25,0.32,0.9294594594594594,1.0,0.8947466252564226,0.9991333333333333,0.7119118723400972,0.9959333333333334,0.7880814686704825,0.9907333333333337,0.9118135589940102,0.9998,0.8618869878466132,0.9941333333333334,0.7212247405585289,0.9829000000000002,0.7540770534149922,0.9829666666666667
250.0,0.5,0.25,0.03,0.9477027027027026,1.0,0.9140371998600849,0.9970666666666668,0.7866837053381031,0.9742000000000001,0.7746425547634023,0.9717000000000003,0.9477027027027026,1.0,0.9338986340695555,0.9971000000000001,0.7671656822316999,0.9779666666666668,0.7949709144503417,0.9735666666666667
5.0,0.5,0.25,0.42,0.9404219525648096,1.0,0.9122134231056499,0.9994666666666667,0.7446424775166206,0.9952333333333333,0.7494942572020722,0.9984000000000001,0.9222164634726211,1.0,0.8745412805598474,0.9977333333333332,0.6988279753843841,0.9960666666666669,0.7614353389923068,0.9927666666666667
