m,p,delta,omni_correct_nodes_1,omni_correct_nodes_2,mase_correct_nodes_1,mase_correct_nodes_2
5.0,0.5,0.0,0.6364000000000006,0.39599999999999985,0.6360000000000007,0.40400000000000014
5.0,0.5,0.1,0.6476000000000003,0.3939999999999999,0.6588,0.3939999999999997
5.0,0.5,0.2,0.6552000000000003,0.43919999999999987,0.6552000000000006,0.4348000000000002
5.0,0.5,0.3,0.7288000000000003,0.49,0.7280000000000001,0.47919999999999985
5.0,0.5,0.4,0.9336000000000001,0.8876,0.7692000000000001,0.6036
5.0,0.5,0.5,1.0,1.0,0.9159999999999999,0.8448
10.0,0.5,0.09,0.6376000000000004,0.42279999999999984,0.6664000000000004,0.3883999999999998
10.0,0.5,0.19,0.6736000000000005,0.5063999999999997,0.6900000000000004,0.4796
10.0,0.5,0.29,0.7656000000000003,0.5604,0.7495999999999998,0.5084000000000001
10.0,0.5,0.39,1.0,1.0,0.8088000000000002,0.5975999999999998
10.0,0.5,0.49,1.0,1.0,0.9715999999999998,0.9328
15.0,0.5,0.08,0.6536000000000005,0.4359999999999999,0.6680000000000006,0.3964000000000001
15.0,0.5,0.18,0.6692000000000001,0.4707999999999999,0.7136000000000005,0.46319999999999983
15.0,0.5,0.28,0.7824000000000002,0.6583999999999999,0.7264000000000003,0.5419999999999998
15.0,0.5,0.38,1.0,1.0,0.8284000000000001,0.6844
15.0,0.5,0.48,1.0,1.0,0.9899999999999999,0.9712000000000001
20.0,0.5,0.07,0.6472000000000004,0.4548000000000002,0.6720000000000005,0.3823999999999998
20.0,0.5,0.17,0.6628000000000007,0.44679999999999986,0.7016000000000001,0.5240000000000001
20.0,0.5,0.27,0.8596000000000003,0.7643999999999999,0.7768000000000004,0.6135999999999998
20.0,0.5,0.37,1.0,1.0,0.8704,0.7332000000000001
20.0,0.5,0.47000000000000003,1.0,1.0,0.972,0.9371999999999998
25.0,0.5,0.06,0.6584000000000007,0.4335999999999999,0.6488000000000008,0.41999999999999993
25.0,0.5,0.16,0.6788000000000005,0.4979999999999999,0.7112000000000002,0.518
25.0,0.5,0.26,0.9056000000000001,0.8375999999999999,0.7667999999999999,0.5556000000000001
25.0,0.5,0.36,1.0,1.0,0.8444000000000003,0.6840000000000002
25.0,0.5,0.46,1.0,1.0,0.9944,0.9843999999999999
30.0,0.5,0.05,0.6620000000000005,0.37999999999999995,0.6728000000000006,0.37920000000000015
30.0,0.5,0.15,0.6760000000000005,0.5123999999999997,0.6944000000000002,0.4699999999999997
30.0,0.5,0.25,0.8684000000000001,0.7956,0.7572000000000005,0.5799999999999997
30.0,0.5,0.35000000000000003,1.0,1.0,0.8455999999999999,0.6631999999999998
30.0,0.5,0.45,1.0,1.0,0.9843999999999999,0.9512
35.0,0.5,0.04,0.6612000000000008,0.42080000000000006,0.6632000000000002,0.36800000000000005
35.0,0.5,0.14,0.6740000000000005,0.45800000000000013,0.7031999999999999,0.4856000000000001
35.0,0.5,0.24,0.8272000000000003,0.7228000000000001,0.7516000000000002,0.5695999999999999
35.0,0.5,0.34,1.0,1.0,0.8340000000000001,0.624
35.0,0.5,0.44,1.0,1.0,0.9936,0.97
40.0,0.5,0.03,0.6436000000000006,0.4464,0.6664000000000005,0.3692
40.0,0.5,0.13,0.6880000000000003,0.4991999999999999,0.7284,0.5344000000000001
40.0,0.5,0.23,0.8148000000000003,0.6847999999999999,0.7224000000000004,0.5519999999999999
40.0,0.5,0.33,1.0,1.0,0.8308000000000003,0.6459999999999998
40.0,0.5,0.43,1.0,1.0,0.9864,0.9652
45.0,0.5,0.02,0.6504000000000003,0.3956,0.6624000000000002,0.3592000000000001
45.0,0.5,0.12,0.6872000000000004,0.5324,0.6828000000000004,0.4584000000000002
45.0,0.5,0.22,0.7672000000000003,0.6148,0.7304000000000005,0.5123999999999999
45.0,0.5,0.32,1.0,1.0,0.8404,0.6483999999999999
45.0,0.5,0.42,1.0,1.0,0.9752,0.9568000000000002
50.0,0.5,0.01,0.6464000000000008,0.39159999999999995,0.6544000000000003,0.3692000000000001
50.0,0.5,0.11,0.6768000000000002,0.47439999999999993,0.6872000000000003,0.43040000000000006
50.0,0.5,0.21,0.7312000000000003,0.596,0.7572000000000003,0.5628000000000001
50.0,0.5,0.31,1.0,1.0,0.8104,0.6396000000000001
50.0,0.5,0.41000000000000003,1.0,1.0,0.9828,0.9423999999999999
55.0,0.5,0.0,0.6572000000000002,0.39079999999999976,0.6552000000000002,0.3732
55.0,0.5,0.1,0.6804000000000007,0.486,0.6828000000000003,0.4347999999999999
55.0,0.5,0.2,0.7220000000000006,0.5428,0.7424000000000004,0.5660000000000001
55.0,0.5,0.3,1.0,1.0,0.812,0.6092
55.0,0.5,0.4,1.0,1.0,0.9744000000000002,0.9191999999999999
55.0,0.5,0.5,1.0,1.0,1.0,1.0
60.0,0.5,0.09,0.6640000000000004,0.4771999999999999,0.6496000000000006,0.40959999999999996
