m,p,delta,omni_correct_nodes_1,omni_correct_nodes_2,mase_correct_nodes_1,mase_correct_nodes_2
60.0,0.5,0.19,0.7064000000000005,0.5779999999999998,0.7312000000000006,0.5076
60.0,0.5,0.29,1.0,1.0,0.8323999999999998,0.6424
60.0,0.5,0.39,1.0,1.0,0.9712000000000002,0.9252000000000002
60.0,0.5,0.49,1.0,1.0,1.0,1.0
65.0,0.5,0.08,0.6836000000000004,0.4696,0.6664000000000005,0.4204
65.0,0.5,0.18,0.7240000000000005,0.5343999999999999,0.7448000000000005,0.5039999999999999
65.0,0.5,0.28,1.0,1.0,0.7808000000000003,0.5623999999999999
65.0,0.5,0.38,1.0,1.0,0.9339999999999997,0.8359999999999999
65.0,0.5,0.48,1.0,1.0,1.0,1.0
70.0,0.5,0.07,0.6548000000000005,0.4375999999999997,0.6700000000000004,0.42
70.0,0.5,0.17,0.6776000000000006,0.5064,0.7308000000000001,0.5127999999999998
70.0,0.5,0.27,1.0,1.0,0.8116000000000004,0.6267999999999998
70.0,0.5,0.37,1.0,1.0,0.9272000000000001,0.8072000000000003
70.0,0.5,0.47000000000000003,1.0,1.0,1.0,1.0
75.0,0.5,0.06,0.6408000000000004,0.4771999999999998,0.6592000000000006,0.3915999999999999
75.0,0.5,0.16,0.7172000000000002,0.5251999999999998,0.7392000000000006,0.5452000000000001
75.0,0.5,0.26,1.0,1.0,0.8088,0.5751999999999999
75.0,0.5,0.36,1.0,1.0,0.9100000000000001,0.8420000000000001
75.0,0.5,0.46,1.0,1.0,1.0,1.0
80.0,0.5,0.05,0.6620000000000001,0.4343999999999997,0.6452000000000002,0.42279999999999995
80.0,0.5,0.15,0.6944000000000002,0.5488000000000001,0.7332000000000002,0.5451999999999999
80.0,0.5,0.25,1.0,1.0,0.7956,0.5871999999999999
80.0,0.5,0.35000000000000003,1.0,1.0,0.9064000000000001,0.7908
80.0,0.5,0.45,1.0,1.0,1.0,1.0
85.0,0.5,0.04,0.6632000000000007,0.3760000000000001,0.6848000000000003,0.33640000000000003
85.0,0.5,0.14,0.7076000000000005,0.5359999999999997,0.7520000000000002,0.47599999999999965
85.0,0.5,0.24,1.0,1.0,0.7720000000000001,0.6116000000000001
85.0,0.5,0.34,1.0,1.0,0.8815999999999999,0.746
85.0,0.5,0.44,1.0,1.0,1.0,1.0
90.0,0.5,0.03,0.6612000000000002,0.38359999999999983,0.6444000000000009,0.39959999999999996
90.0,0.5,0.13,0.7156000000000001,0.5744000000000001,0.7196000000000002,0.4639999999999999
90.0,0.5,0.23,0.9964,0.99,0.7772,0.5864
90.0,0.5,0.33,1.0,1.0,0.8672000000000001,0.7107999999999999
90.0,0.5,0.43,1.0,1.0,0.9968,0.9852
95.0,0.5,0.02,0.6404000000000006,0.3871999999999998,0.6792000000000005,0.37439999999999996
95.0,0.5,0.12,0.7080000000000003,0.46759999999999996,0.7152,0.4811999999999999
95.0,0.5,0.22,0.9812000000000001,0.9680000000000001,0.7708000000000002,0.5720000000000002
95.0,0.5,0.32,1.0,1.0,0.8476,0.6872000000000001
95.0,0.5,0.42,1.0,1.0,1.0,0.9868000000000001
100.0,0.5,0.01,0.6404000000000005,0.38759999999999983,0.6708000000000005,0.37199999999999983
100.0,0.5,0.11,0.6860000000000003,0.5151999999999999,0.6836000000000004,0.4432000000000002
100.0,0.5,0.21,0.8928,0.8347999999999999,0.7448000000000005,0.5372
100.0,0.5,0.31,1.0,1.0,0.8264000000000002,0.6328
100.0,0.5,0.41000000000000003,1.0,1.0,0.9924,0.972
105.0,0.5,0.0,0.6740000000000005,0.3660000000000001,0.6648000000000005,0.3651999999999999
105.0,0.5,0.1,0.7168000000000005,0.5187999999999999,0.7024000000000002,0.4111999999999999
105.0,0.5,0.2,0.8156,0.6624000000000002,0.7564000000000006,0.5243999999999996
105.0,0.5,0.3,1.0,1.0,0.8296000000000003,0.6584000000000002
105.0,0.5,0.4,1.0,1.0,0.996,0.9864000000000002
105.0,0.5,0.5,1.0,1.0,1.0,1.0
110.0,0.5,0.09,0.6956000000000006,0.4579999999999999,0.6760000000000005,0.45919999999999994
110.0,0.5,0.19,0.7508000000000001,0.6140000000000002,0.7340000000000003,0.5152000000000002
110.0,0.5,0.29,1.0,1.0,0.8360000000000002,0.6164000000000001
110.0,0.5,0.39,1.0,1.0,0.9864,0.9579999999999999
110.0,0.5,0.49,1.0,1.0,1.0,1.0
115.0,0.5,0.08,0.6956000000000003,0.5147999999999999,0.6724000000000006,0.46159999999999984
115.0,0.5,0.18,0.7348000000000002,0.5880000000000001,0.7460000000000002,0.5700000000000001
115.0,0.5,0.28,1.0,1.0,0.8192000000000003,0.6444000000000001
115.0,0.5,0.38,1.0,1.0,0.9803999999999999,0.9520000000000001
115.0,0.5,0.48,1.0,1.0,1.0,1.0
120.0,0.5,0.07,0.6864000000000003,0.4856000000000001,0.6592000000000005,0.42800000000000005
120.0,0.5,0.17,0.7144000000000004,0.5575999999999999,0.7444000000000003,0.5632
120.0,0.5,0.27,1.0,1.0,0.8216000000000001,0.6075999999999998
120.0,0.5,0.37,1.0,1.0,0.9788,0.9068
120.0,0.5,0.47000000000000003,1.0,1.0,1.0,1.0
125.0,0.5,0.06,0.6776000000000001,0.43999999999999995,0.6648000000000006,0.3947999999999999
125.0,0.5,0.16,0.7172000000000002,0.5644,0.7204000000000004,0.5187999999999999
125.0,0.5,0.26,1.0,1.0,0.7832000000000001,0.5971999999999997
125.0,0.5,0.36,1.0,1.0,0.9384,0.826
125.0,0.5,0.46,1.0,1.0,1.0,1.0
130.0,0.5,0.05,0.6720000000000003,0.4543999999999999,0.6564000000000003,0.402
130.0,0.5,0.15,0.7380000000000001,0.5456,0.7540000000000003,0.5276000000000001
130.0,0.5,0.25,1.0,1.0,0.7771999999999999,0.5492000000000001
130.0,0.5,0.35000000000000003,1.0,1.0,0.9448000000000001,0.8736000000000002
130.0,0.5,0.45,1.0,1.0,1.0,1.0
135.0,0.5,0.04,0.6484000000000006,0.41999999999999993,0.6588000000000005,0.3631999999999999
135.0,0.5,0.14,0.6932000000000004,0.49839999999999995,0.6900000000000006,0.5171999999999999
135.0,0.5,0.24,1.0,1.0,0.8151999999999998,0.594
135.0,0.5,0.34,1.0,1.0,0.9256000000000002,0.7852000000000001
135.0,0.5,0.44,1.0,1.0,1.0,1.0
140.0,0.5,0.03,0.6644000000000002,0.37560000000000004,0.6700000000000002,0.36
140.0,0.5,0.13,0.7068000000000005,0.5183999999999999,0.7036000000000004,0.49919999999999987
140.0,0.5,0.23,1.0,1.0,0.7604000000000003,0.5896000000000001
140.0,0.5,0.33,1.0,1.0,0.9076000000000002,0.7956000000000002
140.0,0.5,0.43,1.0,1.0,1.0,1.0
145.0,0.5,0.02,0.6656000000000002,0.3839999999999998,0.6716000000000004,0.364
145.0,0.5,0.12,0.7228000000000001,0.4879999999999999,0.7164000000000001,0.4775999999999999
145.0,0.5,0.22,1.0,1.0,0.7736,0.5796000000000001
145.0,0.5,0.32,1.0,1.0,0.8928,0.7336000000000003
145.0,0.5,0.42,1.0,1.0,1.0,1.0
150.0,0.5,0.01,0.6320000000000006,0.3896,0.6552000000000007,0.3771999999999999
150.0,0.5,0.11,0.7456000000000005,0.5496000000000001,0.6840000000000002,0.5047999999999998
150.0,0.5,0.21,1.0,1.0,0.7912000000000003,0.592
150.0,0.5,0.31,1.0,1.0,0.8755999999999999,0.7240000000000002
150.0,0.5,0.41000000000000003,1.0,1.0,1.0,1.0
155.0,0.5,0.0,0.6816000000000004,0.3679999999999998,0.6580000000000007,0.3779999999999999
155.0,0.5,0.1,0.6940000000000002,0.48160000000000025,0.6932000000000006,0.48519999999999996
155.0,0.5,0.2,0.9595999999999999,0.93,0.7652000000000004,0.5575999999999999
155.0,0.5,0.3,1.0,1.0,0.8539999999999998,0.6571999999999997
155.0,0.5,0.4,1.0,1.0,1.0,0.9876
155.0,0.5,0.5,1.0,1.0,1.0,1.0
160.0,0.5,0.09,0.6708000000000004,0.5075999999999999,0.6820000000000003,0.4727999999999997
160.0,0.5,0.19,0.8528000000000003,0.7515999999999998,0.7835999999999999,0.5692
160.0,0.5,0.29,1.0,1.0,0.8284,0.6580000000000004
160.0,0.5,0.39,1.0,1.0,0.9968,0.9940000000000001
160.0,0.5,0.49,1.0,1.0,1.0,1.0
165.0,0.5,0.08,0.6908000000000003,0.46840000000000015,0.6831999999999999,0.44199999999999995
165.0,0.5,0.18,0.7396000000000003,0.58,0.742,0.5408000000000001
165.0,0.5,0.28,1.0,1.0,0.8491999999999997,0.6603999999999999
165.0,0.5,0.38,1.0,1.0,0.9987999999999999,0.9843999999999999
165.0,0.5,0.48,1.0,1.0,1.0,1.0
170.0,0.5,0.07,0.6856000000000002,0.5083999999999999,0.6632000000000002,0.4235999999999999
170.0,0.5,0.17,0.7472000000000004,0.6003999999999998,0.7516000000000005,0.5572
170.0,0.5,0.27,1.0,1.0,0.8027999999999998,0.6392
170.0,0.5,0.37,1.0,1.0,0.9912000000000001,0.9712000000000001
170.0,0.5,0.47000000000000003,1.0,1.0,1.0,1.0
175.0,0.5,0.06,0.6700000000000006,0.4772,0.6628000000000003,0.39359999999999984
175.0,0.5,0.16,0.7256000000000004,0.5867999999999998,0.7308000000000004,0.48
175.0,0.5,0.26,1.0,1.0,0.8344000000000003,0.6460000000000004
175.0,0.5,0.36,1.0,1.0,0.9603999999999999,0.9127999999999998
175.0,0.5,0.46,1.0,1.0,1.0,1.0
180.0,0.5,0.05,0.6460000000000007,0.45679999999999993,0.6896000000000002,0.3651999999999999
180.0,0.5,0.15,0.7516000000000004,0.5943999999999999,0.7280000000000002,0.5416
180.0,0.5,0.25,1.0,1.0,0.7828000000000004,0.6043999999999997
180.0,0.5,0.35000000000000003,1.0,1.0,0.9656,0.8952
180.0,0.5,0.45,1.0,1.0,1.0,1.0
185.0,0.5,0.04,0.6952000000000007,0.43959999999999994,0.6672000000000001,0.3767999999999999
185.0,0.5,0.14,0.7148000000000003,0.5172000000000001,0.7360000000000003,0.5088000000000001
185.0,0.5,0.24,1.0,1.0,0.7892000000000005,0.588
185.0,0.5,0.34,1.0,1.0,0.9451999999999999,0.8260000000000001
185.0,0.5,0.44,1.0,1.0,1.0,1.0
190.0,0.5,0.03,0.6536000000000005,0.4252,0.6700000000000006,0.3807999999999997
190.0,0.5,0.13,0.7296000000000005,0.5215999999999998,0.7152000000000001,0.45199999999999996
190.0,0.5,0.23,1.0,1.0,0.8011999999999999,0.5704000000000001
190.0,0.5,0.33,1.0,1.0,0.934,0.7875999999999999
190.0,0.5,0.43,1.0,1.0,1.0,1.0
195.0,0.5,0.02,0.6588000000000004,0.4028000000000001,0.6616000000000003,0.3743999999999999
195.0,0.5,0.12,0.7444000000000002,0.5539999999999998,0.7116000000000003,0.4935999999999999
195.0,0.5,0.22,1.0,1.0,0.7772000000000002,0.556
195.0,0.5,0.32,1.0,1.0,0.9172000000000001,0.7911999999999999
195.0,0.5,0.42,1.0,1.0,1.0,1.0
200.0,0.5,0.01,0.6524000000000004,0.3507999999999999,0.6616000000000003,0.3724
200.0,0.5,0.11,0.7168000000000003,0.5288,0.7020000000000006,0.5007999999999999
200.0,0.5,0.21,1.0,1.0,0.7639999999999998,0.5448000000000001
200.0,0.5,0.31,1.0,1.0,0.8963999999999999,0.7772000000000001
200.0,0.5,0.41000000000000003,1.0,1.0,1.0,1.0
205.0,0.5,0.0,0.6732000000000002,0.3768000000000001,0.6960000000000005,0.34679999999999983
205.0,0.5,0.1,0.7172000000000003,0.5295999999999998,0.7100000000000003,0.4899999999999997
205.0,0.5,0.2,0.9904000000000001,0.9944,0.7788000000000003,0.5719999999999997
205.0,0.5,0.3,1.0,1.0,0.89,0.7368000000000001
205.0,0.5,0.4,1.0,1.0,1.0,1.0
205.0,0.5,0.5,1.0,1.0,1.0,1.0
210.0,0.5,0.09,0.7296000000000004,0.5319999999999999,0.6888000000000006,0.46119999999999983
210.0,0.5,0.19,0.9179999999999999,0.8820000000000001,0.7516000000000003,0.5312
210.0,0.5,0.29,1.0,1.0,0.8756,0.6816
210.0,0.5,0.39,1.0,1.0,0.9987999999999999,0.9812000000000001
210.0,0.5,0.49,1.0,1.0,1.0,1.0
215.0,0.5,0.08,0.7108000000000003,0.4995999999999998,0.6876000000000004,0.4267999999999998
215.0,0.5,0.18,0.8252000000000002,0.6784,0.7728000000000006,0.5883999999999999
215.0,0.5,0.28,1.0,1.0,0.8196000000000001,0.6452
215.0,0.5,0.38,1.0,1.0,0.9992,0.9712
215.0,0.5,0.48,1.0,1.0,1.0,1.0
220.0,0.5,0.07,0.7280000000000002,0.49199999999999994,0.6752000000000001,0.42479999999999996
220.0,0.5,0.17,0.7608000000000003,0.6012000000000001,0.7376000000000005,0.5428000000000002
220.0,0.5,0.27,1.0,1.0,0.8412000000000001,0.6396000000000001
220.0,0.5,0.37,1.0,1.0,1.0,0.9843999999999999
220.0,0.5,0.47000000000000003,1.0,1.0,1.0,1.0
225.0,0.5,0.06,0.7092000000000002,0.5307999999999999,0.6676000000000005,0.3947999999999999
225.0,0.5,0.16,0.7616000000000004,0.6136,0.7288000000000003,0.5252
225.0,0.5,0.26,1.0,1.0,0.8416000000000002,0.6576
225.0,0.5,0.36,1.0,1.0,0.9912000000000001,0.95
225.0,0.5,0.46,1.0,1.0,1.0,1.0
230.0,0.5,0.05,0.6824000000000003,0.44439999999999985,0.6488000000000005,0.40799999999999975
230.0,0.5,0.15,0.7296000000000005,0.5599999999999998,0.7508000000000001,0.55
230.0,0.5,0.25,1.0,1.0,0.8180000000000001,0.5811999999999999
230.0,0.5,0.35000000000000003,1.0,1.0,0.9884000000000001,0.9148000000000002
230.0,0.5,0.45,1.0,1.0,1.0,1.0
235.0,0.5,0.04,0.6632000000000005,0.4376,0.6616000000000003,0.3856
235.0,0.5,0.14,0.7492000000000002,0.5728,0.7392000000000002,0.5316000000000001
235.0,0.5,0.24,1.0,1.0,0.8148000000000002,0.606
235.0,0.5,0.34,1.0,1.0,0.9440000000000001,0.8876
235.0,0.5,0.44,1.0,1.0,1.0,1.0
240.0,0.5,0.03,0.6840000000000004,0.406,0.6580000000000001,0.3767999999999999
240.0,0.5,0.13,0.7200000000000002,0.5155999999999998,0.7224000000000003,0.5039999999999998
240.0,0.5,0.23,1.0,1.0,0.7728000000000003,0.5464000000000001
240.0,0.5,0.33,1.0,1.0,0.9443999999999998,0.8568000000000001
240.0,0.5,0.43,1.0,1.0,1.0,1.0
245.0,0.5,0.02,0.6644000000000004,0.4048,0.6588000000000007,0.3988000000000001
245.0,0.5,0.12,0.7360000000000002,0.5704000000000002,0.7292000000000002,0.5564000000000001
245.0,0.5,0.22,1.0,1.0,0.7668000000000004,0.5463999999999998
245.0,0.5,0.32,1.0,1.0,0.9180000000000001,0.8112000000000001
245.0,0.5,0.42,1.0,1.0,1.0,1.0
250.0,0.5,0.01,0.6452000000000006,0.3843999999999999,0.6512000000000004,0.37879999999999997
250.0,0.5,0.11,0.7056000000000006,0.5315999999999997,0.6912000000000005,0.4356000000000001
250.0,0.5,0.21,1.0,1.0,0.7804000000000005,0.6043999999999997
250.0,0.5,0.31,1.0,1.0,0.9072,0.7515999999999999
250.0,0.5,0.41000000000000003,1.0,1.0,1.0,1.0
5.0,0.5,0.01,0.6364000000000006,0.40600000000000014,0.6632000000000005,0.38439999999999985
5.0,0.5,0.11,0.6388000000000006,0.42639999999999995,0.6632000000000003,0.40519999999999995
5.0,0.5,0.21,0.6424000000000004,0.45800000000000013,0.6840000000000006,0.4464
5.0,0.5,0.31,0.6976000000000003,0.4639999999999999,0.7344000000000002,0.5067999999999998
5.0,0.5,0.41000000000000003,0.9408000000000001,0.8835999999999998,0.8100000000000004,0.6184000000000002
10.0,0.5,0.0,0.6568000000000006,0.4023999999999999,0.6888,0.3276
10.0,0.5,0.1,0.6444000000000005,0.43200000000000005,0.6504000000000005,0.41200000000000003
10.0,0.5,0.2,0.6908000000000007,0.502,0.7072000000000006,0.4907999999999998
10.0,0.5,0.3,0.7612000000000004,0.6079999999999997,0.7624000000000002,0.5372
10.0,0.5,0.4,1.0,1.0,0.8372000000000003,0.6920000000000001
10.0,0.5,0.5,1.0,1.0,0.9616,0.9080000000000001
15.0,0.5,0.09,0.6416000000000005,0.4183999999999998,0.6840000000000004,0.3979999999999999
15.0,0.5,0.19,0.6860000000000005,0.5004000000000001,0.6984000000000004,0.4603999999999999
15.0,0.5,0.29,0.8632000000000002,0.8036,0.7580000000000005,0.5196
15.0,0.5,0.39,1.0,1.0,0.8887999999999999,0.7524
15.0,0.5,0.49,1.0,1.0,0.9936000000000001,0.9732
20.0,0.5,0.08,0.6424000000000005,0.4056,0.6744000000000004,0.40159999999999996
20.0,0.5,0.18,0.6936000000000004,0.5047999999999999,0.7108000000000005,0.43839999999999985
20.0,0.5,0.28,0.9104000000000001,0.8543999999999999,0.7492000000000004,0.5892000000000002
20.0,0.5,0.38,1.0,1.0,0.8528000000000001,0.6919999999999996
20.0,0.5,0.48,1.0,1.0,0.992,0.9919999999999999
25.0,0.5,0.07,0.6404000000000003,0.4343999999999999,0.6720000000000002,0.4012000000000001
25.0,0.5,0.17,0.6656000000000004,0.47359999999999985,0.7120000000000004,0.4784000000000001
25.0,0.5,0.27,0.9292000000000002,0.8748,0.7972000000000002,0.6307999999999999
25.0,0.5,0.37,1.0,1.0,0.8312000000000002,0.6664
25.0,0.5,0.47000000000000003,1.0,1.0,0.9952,0.9808
30.0,0.5,0.06,0.6380000000000005,0.4372,0.6532000000000003,0.40839999999999976
30.0,0.5,0.16,0.6748000000000006,0.4984000000000001,0.7292000000000004,0.49360000000000004
30.0,0.5,0.26,0.9332000000000003,0.8608,0.7668,0.5723999999999999
30.0,0.5,0.36,1.0,1.0,0.8308000000000005,0.7148
30.0,0.5,0.46,1.0,1.0,0.9972,0.9952
35.0,0.5,0.05,0.6360000000000005,0.39880000000000004,0.6524000000000005,0.41199999999999987
35.0,0.5,0.15,0.6560000000000008,0.4660000000000001,0.6996000000000003,0.47560000000000024
35.0,0.5,0.25,0.9556,0.9199999999999998,0.7552000000000002,0.5268
35.0,0.5,0.35000000000000003,1.0,1.0,0.8595999999999999,0.6971999999999998
35.0,0.5,0.45,1.0,1.0,0.9932,0.9704
40.0,0.5,0.04,0.6532000000000003,0.38160000000000005,0.6596000000000005,0.3976000000000001
40.0,0.5,0.14,0.6608000000000004,0.4843999999999998,0.7084000000000006,0.5272
40.0,0.5,0.24,0.9148000000000002,0.8536000000000001,0.7568000000000005,0.5771999999999999
40.0,0.5,0.34,1.0,1.0,0.8204000000000002,0.6312
40.0,0.5,0.44,1.0,1.0,0.9884,0.9724
45.0,0.5,0.03,0.6532000000000007,0.4079999999999999,0.6528000000000005,0.42039999999999983
45.0,0.5,0.13,0.7016000000000006,0.4876,0.7116000000000002,0.46440000000000003
45.0,0.5,0.23,0.8608,0.796,0.7792,0.5944000000000002
45.0,0.5,0.33,1.0,1.0,0.8388000000000001,0.6708
45.0,0.5,0.43,1.0,1.0,0.9932,0.9868000000000001
50.0,0.5,0.02,0.6676000000000002,0.37999999999999984,0.6524,0.3791999999999999
50.0,0.5,0.12,0.6956000000000004,0.5244000000000001,0.6868000000000001,0.46120000000000005
50.0,0.5,0.22,0.8460000000000001,0.7480000000000001,0.7708000000000002,0.5616
50.0,0.5,0.32,1.0,1.0,0.8220000000000002,0.6312000000000002
50.0,0.5,0.42,1.0,1.0,0.9915999999999999,0.9808000000000001
55.0,0.5,0.01,0.6476000000000006,0.3971999999999998,0.6636000000000007,0.3692
55.0,0.5,0.11,0.6732000000000002,0.5112000000000001,0.6772000000000002,0.47079999999999983
55.0,0.5,0.21,0.7680000000000003,0.6272000000000001,0.7408000000000006,0.5108
55.0,0.5,0.31,1.0,1.0,0.8488000000000003,0.6684000000000002
55.0,0.5,0.41000000000000003,1.0,1.0,0.9843999999999999,0.9427999999999999
60.0,0.5,0.0,0.6880000000000005,0.36239999999999983,0.6504000000000006,0.36919999999999975
60.0,0.5,0.1,0.6828000000000003,0.48399999999999993,0.6732000000000005,0.46840000000000026
60.0,0.5,0.2,0.7240000000000003,0.5156,0.7364000000000006,0.5272
60.0,0.5,0.3,1.0,1.0,0.8108000000000003,0.6324
60.0,0.5,0.4,1.0,1.0,0.9595999999999999,0.9003999999999999
60.0,0.5,0.5,1.0,1.0,1.0,1.0
65.0,0.5,0.09,0.6780000000000002,0.4576,0.6736000000000004,0.4128
65.0,0.5,0.19,0.7456000000000005,0.6000000000000001,0.7172000000000002,0.5692000000000002
65.0,0.5,0.29,1.0,1.0,0.8280000000000001,0.5891999999999998
65.0,0.5,0.39,1.0,1.0,0.9796,0.9168
65.0,0.5,0.49,1.0,1.0,1.0,1.0
70.0,0.5,0.08,0.6624000000000003,0.4503999999999999,0.6780000000000003,0.40959999999999996
70.0,0.5,0.18,0.7399999999999998,0.5067999999999998,0.7060000000000005,0.49440000000000006
70.0,0.5,0.28,1.0,1.0,0.7840000000000003,0.6191999999999998
70.0,0.5,0.38,1.0,1.0,0.9684,0.8967999999999999
70.0,0.5,0.48,1.0,1.0,1.0,1.0
75.0,0.5,0.07,0.6404000000000006,0.4447999999999999,0.6568000000000006,0.4195999999999999
75.0,0.5,0.17,0.6972000000000004,0.49080000000000007,0.7152000000000007,0.5328
75.0,0.5,0.27,1.0,1.0,0.7836,0.5688
75.0,0.5,0.37,1.0,1.0,0.9264000000000001,0.7948000000000001
75.0,0.5,0.47000000000000003,1.0,1.0,1.0,1.0
80.0,0.5,0.06,0.6864000000000001,0.47960000000000025,0.6724000000000002,0.4123999999999998
80.0,0.5,0.16,0.6968000000000001,0.542,0.7288000000000003,0.4912
80.0,0.5,0.26,1.0,1.0,0.7856000000000004,0.5968000000000001
80.0,0.5,0.36,1.0,1.0,0.9220000000000002,0.8340000000000001
80.0,0.5,0.46,1.0,1.0,1.0,1.0
85.0,0.5,0.05,0.6344000000000005,0.4283999999999999,0.6652,0.37440000000000007
85.0,0.5,0.15,0.6892000000000006,0.5336,0.7036000000000002,0.5164000000000001
85.0,0.5,0.25,1.0,1.0,0.7808000000000002,0.5728
85.0,0.5,0.35000000000000003,1.0,1.0,0.9368000000000001,0.7979999999999999
85.0,0.5,0.45,1.0,1.0,1.0,1.0
90.0,0.5,0.04,0.6524000000000004,0.4164,0.6392000000000005,0.4096000000000001
90.0,0.5,0.14,0.7064000000000007,0.5027999999999999,0.6948000000000008,0.49359999999999987
90.0,0.5,0.24,1.0,1.0,0.7884000000000002,0.6247999999999999
90.0,0.5,0.34,1.0,1.0,0.8804000000000001,0.7435999999999997
90.0,0.5,0.44,1.0,1.0,1.0,1.0
95.0,0.5,0.03,0.6488000000000005,0.40519999999999984,0.6564000000000004,0.4048
95.0,0.5,0.13,0.7112000000000005,0.5403999999999999,0.7132000000000004,0.5075999999999998
