,m,p,delta,omni_precision_2,omni_recall_2,omni_precision_3,omni_recall_3,omni_precision_4,omni_recall_4,mase_precision_2,mase_recall_2,mase_precision_3,mase_recall_3,mase_precision_4,mase_recall_4,omni_precision_6,omni_recall_6,omni_precision_8,omni_recall_8,omni_precision_10,omni_recall_10,mase_precision_6,mase_recall_6,mase_precision_8,mase_recall_8,mase_precision_10,mase_recall_10
1,5.0,0.5,0.0,0.23644709462715902,0.05286666666666665,0.21047457399173083,0.03699999999999999,0.2235461751800719,0.039599999999999996,0.2327535647365677,0.11386666666666667,0.25014262770184365,0.0839333333333333,0.24786105106027964,0.07793333333333335,,,,,,,,,,,,
1276,5.0,0.5,0.01,0.25039601147615903,0.05566666666666666,,,0.2329317631718061,0.03953333333333333,0.2726601463040655,0.06206666666666667,,,0.3311125217343737,0.06226666666666667,0.22200873902024104,0.04300000000000001,0.2625362765965172,0.05753333333333331,0.2501503952322164,0.0418,0.2418280191697865,0.06239999999999999,0.2852039342045568,0.0646,0.2678233516266349,0.05373333333333332
3,5.0,0.5,0.02,0.22323625462537025,0.07986666666666667,0.2800443309772096,0.08959999999999999,0.26269608479236967,0.05466666666666666,0.2589763534584773,0.12453333333333332,0.23806452697602842,0.11793333333333333,0.2497402423397279,0.08806666666666668,,,,,,,,,,,,
1278,5.0,0.5,0.03,0.2767590801414834,0.13146666666666668,,,0.26105399129112905,0.0949333333333333,0.2558583879329397,0.18906666666666666,,,0.2470906163186592,0.08646666666666665,0.2831175375344889,0.06766666666666668,0.2966758534313342,0.056000000000000015,0.2938946939385971,0.051466666666666654,0.2681671378653973,0.08193333333333333,0.22011228613825545,0.05640000000000001,0.2175940031110976,0.06386666666666667
5,5.0,0.5,0.04,0.2681184620364936,0.14026666666666665,0.23929606314857899,0.09146666666666667,0.3177772269739465,0.09653333333333335,0.2597785259239447,0.1398,0.24789713507013528,0.12660000000000002,0.2730211210212725,0.12153333333333338,,,,,,,,,,,,
1280,5.0,0.5,0.05,0.2433954772093367,0.12393333333333333,,,0.21677208153083888,0.07593333333333332,0.2592318950765535,0.20166666666666655,,,0.27936384901790673,0.12620000000000006,0.24682760714630356,0.08706666666666665,0.2771931039712183,0.08073333333333332,0.28147173940540765,0.07073333333333331,0.29539111646713706,0.11546666666666668,0.2693314729020497,0.0954,0.2710551351222596,0.08093333333333334
7,5.0,0.5,0.06,0.2658556467554242,0.17786666666666665,0.2707735957734653,0.13106666666666666,0.2692100140852993,0.10366666666666666,0.24465361386190365,0.2607999999999999,0.26464997384569605,0.2192,0.23837041590171,0.16213333333333332,,,,,,,,,,,,
1282,5.0,0.5,0.07,0.2645619604562152,0.2308,,,0.2660459502337561,0.1779333333333333,0.245717607842956,0.2756666666666667,,,0.2873790526517918,0.18586666666666665,0.2730102293657598,0.12293333333333333,0.29000591022588673,0.08866666666666663,0.2683965735522391,0.0762,0.2579104260677628,0.1475333333333333,0.2605412343261673,0.11086666666666664,0.2307307997075893,0.07706666666666666
9,5.0,0.5,0.08,0.24993266505052095,0.3732666666666667,0.26278686645495336,0.2630666666666666,0.27249686228708064,0.20113333333333336,0.248785265170205,0.3891333333333333,0.25157739136057955,0.3006,0.2788298386554697,0.24186666666666667,,,,,,,,,,,,
1284,5.0,0.5,0.09,0.25587767481312823,0.3303333333333333,,,0.3071160108974219,0.2719333333333335,0.2624919204161302,0.4308000000000001,,,0.2634915489232829,0.24526666666666666,0.2876089979685069,0.1542,0.29317258457907563,0.1496666666666667,0.3150720953836338,0.11646666666666665,0.29343614266060425,0.18913333333333332,0.2749281755001156,0.12686666666666666,0.27613146081715323,0.10773333333333332
