p,delta,m,omni_power_1,omni_power_2,omni_power_3,mase_power_1,mase_power_2,mase_power_3
0.5,0.24,250.0,1.0,0.08,0.08,1.0,0.6,0.56
0.5,0.23,250.0,1.0,0.06,0.06,1.0,0.74,0.58
0.5,0.22,250.0,1.0,0.06,0.04,1.0,0.66,0.54
0.5,0.21,250.0,1.0,0.08,0.08,1.0,0.74,0.62
0.5,0.2,250.0,1.0,0.08,0.02,1.0,0.78,0.68
0.5,0.19,250.0,1.0,0.16,0.16,1.0,0.66,0.48
0.5,0.18,250.0,1.0,0.58,0.58,1.0,0.76,0.68
0.5,0.17,250.0,1.0,0.52,0.52,1.0,0.88,0.78
0.5,0.16,250.0,1.0,0.68,0.66,1.0,0.86,0.8
0.5,0.15,250.0,1.0,0.68,0.66,1.0,0.86,0.76
0.5,0.14,250.0,1.0,0.82,0.8,1.0,0.84,0.68
0.5,0.13,250.0,1.0,0.74,0.72,1.0,0.84,0.76
0.5,0.12,250.0,1.0,0.74,0.76,1.0,0.88,0.7
0.5,0.11,250.0,1.0,0.78,0.72,1.0,0.92,0.8
0.5,0.1,250.0,1.0,0.88,0.82,1.0,0.88,0.8
0.5,0.09,250.0,1.0,0.76,0.64,1.0,0.96,0.78
0.5,0.08,250.0,1.0,0.9,0.78,1.0,0.96,0.8
0.5,0.07,250.0,1.0,0.88,0.78,1.0,1.0,0.84
0.5,0.06,250.0,1.0,0.92,0.76,1.0,1.0,0.74
0.5,0.05,250.0,1.0,0.96,0.76,1.0,0.98,0.7
0.5,0.04,250.0,0.96,0.92,0.6,0.98,1.0,0.66
0.5,0.03,250.0,0.86,0.96,0.54,0.98,0.88,0.44
0.5,0.02,250.0,0.64,0.72,0.16,0.64,0.66,0.28
0.5,0.01,250.0,0.28,0.24,0.18,0.4,0.18,0.1
0.5,0.0,250.0,0.02,0.0,0.0,0.0,0.08,0.04
0.5,0.24,245.0,1.0,0.02,0.06,1.0,0.68,0.6
0.5,0.23,245.0,1.0,0.04,0.06,1.0,0.6,0.52
0.5,0.22,245.0,1.0,0.06,0.0,1.0,0.68,0.58
0.5,0.21,245.0,1.0,0.02,0.04,1.0,0.8,0.7
0.5,0.2,245.0,1.0,0.06,0.02,1.0,0.76,0.72
0.5,0.19,245.0,1.0,0.12,0.14,1.0,0.76,0.66
0.5,0.18,245.0,1.0,0.54,0.48,1.0,0.74,0.6
0.5,0.17,245.0,1.0,0.62,0.62,1.0,0.82,0.64
0.5,0.16,245.0,1.0,0.7,0.68,1.0,0.82,0.74
0.5,0.15,245.0,1.0,0.76,0.76,1.0,0.9,0.78
0.5,0.14,245.0,1.0,0.72,0.7,1.0,0.78,0.74
0.5,0.13,245.0,1.0,0.82,0.82,1.0,0.82,0.76
0.5,0.12,245.0,1.0,0.86,0.86,1.0,0.82,0.72
0.5,0.11,245.0,1.0,0.82,0.78,1.0,0.96,0.84
0.5,0.1,245.0,1.0,0.8,0.72,1.0,0.98,0.82
0.5,0.09,245.0,1.0,0.8,0.76,1.0,0.94,0.78
0.5,0.08,245.0,1.0,0.82,0.76,1.0,0.92,0.7
0.5,0.07,245.0,1.0,0.8,0.62,1.0,0.98,0.8
0.5,0.06,245.0,1.0,0.92,0.7,1.0,0.98,0.72
0.5,0.05,245.0,1.0,0.96,0.78,1.0,0.98,0.68
0.5,0.04,245.0,0.98,0.96,0.54,1.0,0.98,0.66
0.5,0.03,245.0,0.92,0.96,0.5,0.94,0.9,0.36
0.5,0.02,245.0,0.62,0.64,0.16,0.64,0.64,0.2
0.5,0.01,245.0,0.28,0.2,0.12,0.3,0.14,0.14
